smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
w.;0.000197;0.000197;0.000197;0.236525;0.000197;0.000197;0.000197;0.002172;0.000197;0.000197;0.000197;0.000790;0.015795;0.000197;0.000197;0.094571;0.000197;0.000197;0.000592;0.000197;0.000197;0.000197;0.002369;0.637315;0.000197;0.000197;0.003751;0.000197;0.000592;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197;0.000197
w);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
wz;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
wg;0.023810;0.023810;0.047619;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
wp;0.015625;0.015625;0.015625;0.015625;0.031250;0.328125;0.015625;0.062500;0.015625;0.015625;0.015625;0.031250;0.015625;0.015625;0.015625;0.015625;0.031250;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
wb;0.006944;0.006944;0.097222;0.006944;0.006944;0.319444;0.006944;0.243056;0.006944;0.006944;0.013889;0.013889;0.006944;0.006944;0.006944;0.006944;0.083333;0.006944;0.006944;0.006944;0.006944;0.006944;0.013889;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944
w,;0.000118;0.000118;0.000118;0.945261;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.050474;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118
wq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
wj;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
w?;0.004065;0.004065;0.004065;0.231707;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.621951;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065
