smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
li;0.000009;0.000009;0.063629;0.001106;0.147700;0.032211;0.124060;0.016027;0.168579;0.000009;0.000200;0.000148;0.000026;0.051155;0.000183;0.063585;0.000157;0.001019;0.118338;0.017891;0.003641;0.104218;0.000078;0.000052;0.020783;0.020016;0.013989;0.030347;0.000157;0.000462;0.000157;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009
lv;0.000209;0.000209;0.919874;0.000209;0.000209;0.002301;0.000209;0.026151;0.000209;0.000209;0.000209;0.000209;0.042887;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.001674;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000418;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209;0.000209
lh;0.008264;0.008264;0.082645;0.008264;0.008264;0.487603;0.008264;0.107438;0.008264;0.008264;0.033058;0.008264;0.016529;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264
lc;0.000843;0.000843;0.000843;0.006745;0.000843;0.607926;0.000843;0.256324;0.002530;0.003373;0.058179;0.000843;0.000843;0.000843;0.021922;0.001686;0.008432;0.000843;0.001686;0.000843;0.001686;0.000843;0.005902;0.001686;0.000843;0.000843;0.000843;0.000843;0.001686;0.000843;0.000843;0.000843;0.000843;0.000843;0.000843;0.000843;0.000843;0.000843
lr;0.000363;0.000363;0.907145;0.000725;0.000363;0.012695;0.000363;0.001451;0.000363;0.018136;0.002902;0.000363;0.045702;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363
lx;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ls;0.000051;0.000051;0.115428;0.478621;0.000051;0.195549;0.002775;0.000771;0.000308;0.000051;0.000206;0.000051;0.003546;0.000051;0.006681;0.000257;0.000051;0.000051;0.000463;0.000051;0.001182;0.000051;0.087419;0.042759;0.000051;0.000154;0.000925;0.000411;0.058331;0.000051;0.000051;0.003186;0.000103;0.000051;0.000051;0.000051;0.000051;0.000051
lm;0.000401;0.000401;0.067790;0.298837;0.001604;0.399920;0.000401;0.037706;0.000401;0.001604;0.002006;0.003610;0.043722;0.000401;0.001203;0.000401;0.000401;0.000401;0.047734;0.011231;0.000401;0.000401;0.016045;0.026474;0.000401;0.000401;0.000401;0.000802;0.029683;0.000401;0.000401;0.001604;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401
ld;0.000030;0.034105;0.020433;0.684896;0.046138;0.001519;0.000298;0.000536;0.000030;0.000089;0.000387;0.001519;0.037560;0.000417;0.000417;0.000298;0.056712;0.000089;0.021565;0.001608;0.000030;0.001936;0.032288;0.030560;0.000030;0.000060;0.000119;0.001311;0.022756;0.000030;0.000030;0.002025;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030
lf;0.000171;0.006329;0.006671;0.577660;0.000342;0.005474;0.000513;0.055594;0.000171;0.000171;0.004105;0.004447;0.027882;0.000684;0.002395;0.002566;0.047725;0.000171;0.005303;0.002566;0.008553;0.001882;0.091173;0.044646;0.000171;0.001368;0.029764;0.000513;0.065857;0.000171;0.000171;0.003763;0.000171;0.000171;0.000171;0.000171;0.000171;0.000171
l.;0.000160;0.000160;0.000160;0.305001;0.000160;0.045534;0.000160;0.002397;0.000160;0.000160;0.000160;0.000160;0.000160;0.003834;0.000160;0.004633;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.003834;0.629813;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
l);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
lz;0.010638;0.010638;0.180851;0.021277;0.010638;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.382979;0.010638;0.010638;0.010638;0.010638;0.021277;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
lg;0.002519;0.002519;0.068010;0.002519;0.002519;0.511335;0.002519;0.095718;0.002519;0.002519;0.007557;0.005038;0.037783;0.002519;0.002519;0.002519;0.052897;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.146096;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519
lp;0.000151;0.000151;0.060542;0.568976;0.000151;0.000753;0.001205;0.006175;0.000151;0.000151;0.000753;0.005572;0.066416;0.000151;0.119127;0.000151;0.002711;0.000151;0.122440;0.000151;0.000151;0.002410;0.011596;0.016416;0.000151;0.000151;0.000151;0.000151;0.009789;0.000151;0.000151;0.001355;0.000602;0.000151;0.000151;0.000151;0.000151;0.000151
lb;0.001842;0.001842;0.445672;0.012891;0.001842;0.127072;0.001842;0.062615;0.001842;0.040516;0.077348;0.084715;0.016575;0.001842;0.001842;0.001842;0.022099;0.001842;0.001842;0.001842;0.001842;0.001842;0.005525;0.003683;0.001842;0.012891;0.001842;0.001842;0.001842;0.003683;0.040516;0.001842;0.001842;0.001842;0.001842;0.001842;0.001842;0.001842
l,;0.000122;0.000122;0.000122;0.936837;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.058773;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122;0.000122
lq;0.008850;0.008850;0.008850;0.017699;0.008850;0.008850;0.008850;0.654867;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.017699;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850
lj;0.022222;0.022222;0.022222;0.044444;0.022222;0.066667;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
l?;0.003559;0.003559;0.003559;0.263345;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.608541;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559;0.003559
l!;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.155556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
lé;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
lö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
lá;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
lí;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
l#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
i(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
iw;0.007353;0.007353;0.051471;0.007353;0.007353;0.058824;0.007353;0.492647;0.007353;0.007353;0.007353;0.007353;0.014706;0.007353;0.139706;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353
ie;0.000024;0.054125;0.000024;0.052197;0.220780;0.000024;0.046061;0.000893;0.000259;0.000024;0.000917;0.045872;0.000047;0.081940;0.000047;0.015048;0.046084;0.000024;0.295573;0.000306;0.103736;0.018434;0.008018;0.002821;0.000024;0.000917;0.000235;0.000400;0.004256;0.000094;0.000024;0.000541;0.000118;0.000024;0.000024;0.000024;0.000024;0.000024
i ;0.000016;0.150923;0.006605;0.000227;0.012609;0.005242;0.104412;0.053083;0.043216;0.001363;0.009429;0.027523;0.012934;0.001785;0.059119;0.061570;0.024829;0.000049;0.075056;0.114117;0.106960;0.017851;0.000065;0.000065;0.000016;0.046721;0.014459;0.019993;0.000016;0.000536;0.029097;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
in;0.000003;0.001848;0.043572;0.183623;0.006004;0.003428;0.056218;0.021751;0.029450;0.000576;0.008718;0.001646;0.012873;0.008372;0.000437;0.018388;0.000055;0.000003;0.037372;0.000236;0.029277;0.061941;0.006336;0.006603;0.000005;0.450894;0.000079;0.000133;0.009288;0.000107;0.000468;0.000267;0.000013;0.000005;0.000003;0.000003;0.000003;0.000003
io;0.000016;0.000323;0.000226;0.026817;0.731492;0.000016;0.074613;0.003209;0.000016;0.000016;0.053892;0.027365;0.000548;0.001903;0.000065;0.000484;0.015335;0.004435;0.008901;0.006628;0.035396;0.000016;0.002435;0.001500;0.000016;0.000194;0.001258;0.000048;0.002532;0.000016;0.000016;0.000097;0.000097;0.000016;0.000016;0.000016;0.000016;0.000016
it;0.000005;0.000048;0.065982;0.250384;0.002353;0.005683;0.036211;0.039579;0.000005;0.064182;0.010437;0.005957;0.056452;0.000011;0.181722;0.005721;0.001595;0.000005;0.205707;0.000677;0.000822;0.000070;0.035438;0.011469;0.001053;0.000113;0.000011;0.000843;0.015111;0.000005;0.000005;0.002272;0.000043;0.000005;0.000005;0.000005;0.000005;0.000005
ia;0.000031;0.000063;0.000188;0.226392;0.216782;0.000031;0.073454;0.000126;0.000157;0.000031;0.001099;0.308828;0.000597;0.000785;0.001005;0.002544;0.026536;0.000031;0.010646;0.023019;0.000314;0.000188;0.030588;0.017021;0.000094;0.005464;0.006720;0.008165;0.036649;0.000031;0.000031;0.002198;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031
ik;0.000047;0.000047;0.961303;0.003229;0.000047;0.001029;0.000234;0.002761;0.002714;0.000140;0.000187;0.000047;0.024285;0.000047;0.000749;0.000047;0.000047;0.000047;0.000936;0.000047;0.000047;0.000047;0.000515;0.000187;0.000047;0.000047;0.000047;0.000047;0.000608;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047
iy;0.013889;0.013889;0.013889;0.013889;0.013889;0.138889;0.013889;0.305556;0.013889;0.013889;0.013889;0.069444;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
iu;0.000559;0.000559;0.000559;0.003354;0.001118;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.012856;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.058692;0.904416;0.000559;0.000559;0.001118;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.001118;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559
il;0.000016;0.000512;0.091878;0.080183;0.000048;0.004160;0.050314;0.039516;0.002304;0.061401;0.002432;0.443662;0.074056;0.033740;0.000160;0.000112;0.000432;0.000016;0.017166;0.006607;0.069096;0.000096;0.007583;0.004975;0.000016;0.000128;0.000064;0.002736;0.006191;0.000016;0.000016;0.000272;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
ii;0.002242;0.002242;0.002242;0.322870;0.087444;0.008969;0.031390;0.015695;0.002242;0.002242;0.002242;0.002242;0.145740;0.002242;0.002242;0.002242;0.006726;0.002242;0.080717;0.017937;0.002242;0.002242;0.130045;0.017937;0.002242;0.002242;0.002242;0.002242;0.071749;0.002242;0.002242;0.006726;0.002242;0.002242;0.002242;0.002242;0.002242;0.002242
iv;0.000027;0.000027;0.763343;0.001264;0.000027;0.027494;0.000027;0.068358;0.000027;0.000538;0.000108;0.000027;0.137819;0.000027;0.000027;0.000027;0.000027;0.000027;0.000054;0.000027;0.000027;0.000054;0.000081;0.000054;0.000027;0.000027;0.000027;0.000027;0.000135;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027;0.000027
ih;0.002066;0.002066;0.004132;0.002066;0.002066;0.041322;0.002066;0.380165;0.002066;0.002066;0.181818;0.002066;0.322314;0.002066;0.002066;0.004132;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066;0.002066
ic;0.000014;0.000014;0.121152;0.178825;0.000287;0.013267;0.044788;0.291465;0.074806;0.004755;0.013868;0.037369;0.058178;0.000014;0.088920;0.000109;0.008280;0.000014;0.030209;0.000205;0.000014;0.000492;0.011422;0.011846;0.000014;0.000014;0.000041;0.000383;0.008799;0.000014;0.000014;0.000328;0.000014;0.000014;0.000014;0.000014;0.000014;0.000014
ir;0.000029;0.000779;0.176465;0.366576;0.000606;0.019011;0.057899;0.049706;0.001183;0.003606;0.005597;0.030031;0.027810;0.000115;0.000087;0.011684;0.007558;0.000029;0.134953;0.023713;0.030002;0.000231;0.012145;0.017713;0.000029;0.003231;0.007183;0.001616;0.009693;0.000029;0.000029;0.000490;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029
ix;0.000410;0.000410;0.031570;0.600656;0.000410;0.047560;0.187372;0.003280;0.000410;0.006560;0.000410;0.000410;0.020090;0.000410;0.000410;0.000410;0.000410;0.000410;0.001230;0.004510;0.001230;0.000820;0.019270;0.029110;0.000410;0.001230;0.000820;0.000410;0.035670;0.000410;0.000410;0.000410;0.000410;0.000410;0.000410;0.000410;0.000410;0.000410
is;0.000006;0.000006;0.019833;0.611235;0.008035;0.008917;0.157436;0.007404;0.001906;0.000575;0.000319;0.010585;0.022376;0.000037;0.022732;0.015134;0.005630;0.000006;0.024231;0.020739;0.000475;0.000350;0.018608;0.020139;0.000006;0.001675;0.003405;0.000162;0.015959;0.000094;0.000012;0.001931;0.000012;0.000006;0.000006;0.000006;0.000006;0.000006
im;0.000019;0.000097;0.221348;0.403715;0.000039;0.005180;0.000039;0.065382;0.000039;0.000193;0.019945;0.000039;0.064435;0.000019;0.000213;0.000019;0.001469;0.000019;0.027019;0.049206;0.000058;0.000502;0.016988;0.014263;0.000039;0.000019;0.093541;0.003769;0.011016;0.000019;0.000019;0.001160;0.000077;0.000019;0.000019;0.000019;0.000019;0.000019
id;0.000020;0.000488;0.420393;0.278725;0.062404;0.004943;0.006018;0.052986;0.000020;0.000215;0.015259;0.001543;0.027509;0.000020;0.000020;0.000020;0.000020;0.000020;0.035520;0.000039;0.017877;0.000176;0.012133;0.012680;0.000020;0.002384;0.000059;0.000313;0.047086;0.000020;0.000059;0.000899;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020
if;0.000029;0.000029;0.350712;0.353269;0.000029;0.017006;0.027060;0.019763;0.000029;0.043893;0.009681;0.009106;0.086637;0.000029;0.000029;0.000029;0.001810;0.000029;0.000057;0.000029;0.000029;0.073423;0.000373;0.005946;0.000029;0.000057;0.000029;0.000029;0.000575;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029
i.;0.002237;0.002237;0.011186;0.351230;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.013423;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.008949;0.541387;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237
i);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
iz;0.000132;0.000132;0.670669;0.000792;0.000132;0.030215;0.000132;0.187360;0.000264;0.000132;0.001979;0.001583;0.087479;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132;0.001583;0.000132;0.000132;0.000132;0.000264;0.013986;0.000132;0.000132;0.000264;0.000264;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132;0.000132
ig;0.000021;0.000103;0.063602;0.105129;0.115269;0.005101;0.000103;0.034981;0.000021;0.000041;0.019680;0.001012;0.029984;0.000021;0.546029;0.000021;0.021559;0.000021;0.001569;0.001280;0.000021;0.000145;0.001920;0.004357;0.000021;0.043200;0.000021;0.001755;0.002808;0.000021;0.000021;0.000041;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021
ip;0.000097;0.000968;0.039961;0.327044;0.000097;0.002225;0.065312;0.018191;0.000194;0.000194;0.030189;0.101016;0.010934;0.000097;0.018094;0.000097;0.002322;0.000097;0.082051;0.010063;0.000097;0.000871;0.053217;0.024770;0.000097;0.000097;0.175617;0.000097;0.033672;0.000097;0.000097;0.001451;0.000097;0.000097;0.000097;0.000097;0.000097;0.000097
ib;0.000088;0.000088;0.426866;0.002195;0.000088;0.002107;0.001932;0.009131;0.000088;0.010009;0.035470;0.402897;0.077875;0.000088;0.000088;0.000176;0.014399;0.000088;0.003600;0.003073;0.000088;0.000088;0.000527;0.000088;0.000088;0.000088;0.000088;0.007375;0.000439;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088
i,;0.001437;0.001437;0.001437;0.886494;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.061782;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437
iq;0.000962;0.000962;0.000962;0.108654;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.794231;0.000962;0.000962;0.000962;0.000962;0.000962;0.001923;0.000962;0.033654;0.000962;0.000962;0.000962;0.005769;0.006731;0.000962;0.000962;0.000962;0.000962;0.019231;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962;0.000962
ij;0.003704;0.003704;0.014815;0.003704;0.003704;0.007407;0.003704;0.644444;0.003704;0.003704;0.125926;0.003704;0.081481;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.007407;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704;0.003704
i?;0.013158;0.013158;0.013158;0.092105;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.434211;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
i!;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
