smoothed;3
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
ig;0.000096;0.629185;0.015543;0.061403;0.026384;0.000096;0.015830;0.000096;0.000096;0.002590;0.000192;0.000096;0.000288;0.000096;0.001151;0.000384;0.000096;0.001151;0.014199;0.046436;0.000096;0.038185;0.017653;0.000096;0.127890;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096
iu;0.005291;0.005291;0.005291;0.015873;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.010582;0.005291;0.010582;0.005291;0.645503;0.010582;0.005291;0.158730;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.015873;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291
if;0.000177;0.000177;0.089945;0.548330;0.057784;0.000177;0.000530;0.033045;0.000177;0.042410;0.000177;0.000177;0.001060;0.000177;0.000177;0.042234;0.000177;0.000353;0.073335;0.002297;0.000177;0.000177;0.005301;0.099841;0.000177;0.000177;0.000353;0.000177;0.000177;0.000177;0.000177;0.000177
in;0.000015;0.000534;0.016092;0.194991;0.032458;0.011226;0.000046;0.000442;0.000244;0.001968;0.037034;0.000198;0.002273;0.019066;0.000153;0.065266;0.000503;0.035112;0.032763;0.015695;0.000122;0.461136;0.005613;0.010433;0.005232;0.000015;0.051173;0.000015;0.000015;0.000137;0.000015;0.000015
ix;0.001988;0.001988;0.029821;0.489066;0.079523;0.001988;0.001988;0.013917;0.001988;0.087475;0.003976;0.003976;0.001988;0.001988;0.001988;0.133201;0.001988;0.001988;0.091451;0.015905;0.005964;0.001988;0.001988;0.005964;0.001988;0.001988;0.001988;0.001988;0.001988;0.001988;0.001988;0.001988
ik;0.000159;0.000159;0.026919;0.001911;0.959701;0.000159;0.000159;0.000159;0.000159;0.000956;0.000159;0.000159;0.000159;0.000159;0.000159;0.000956;0.000159;0.000478;0.000637;0.001593;0.000159;0.000159;0.000319;0.000159;0.000159;0.000159;0.003026;0.000159;0.000159;0.000159;0.000159;0.000159
i.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
iz;0.000755;0.000755;0.105660;0.010566;0.593208;0.000755;0.000755;0.000755;0.000755;0.023396;0.000755;0.000755;0.000755;0.000755;0.002264;0.000755;0.000755;0.000755;0.002264;0.234717;0.000755;0.000755;0.001509;0.000755;0.000755;0.000755;0.000755;0.000755;0.009057;0.000755;0.000755;0.000755
iq;0.010309;0.010309;0.010309;0.041237;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.649485;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
i,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
i#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
 (;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
 h;0.000028;0.000028;0.117316;0.000083;0.385489;0.000055;0.000249;0.001547;0.000166;0.128561;0.000083;0.000028;0.000028;0.000028;0.001409;0.000028;0.000028;0.000055;0.000028;0.336750;0.000028;0.000028;0.027713;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028;0.000028
 i;0.000016;0.000031;0.000704;0.172218;0.000110;0.006653;0.006981;0.000031;0.000110;0.000454;0.010472;0.000016;0.007201;0.001597;0.049809;0.233423;0.000016;0.183677;0.029820;0.000141;0.000407;0.001049;0.000031;0.050435;0.244349;0.000016;0.000094;0.000016;0.000047;0.000047;0.000016;0.000016
  ;0.000376;0.036466;0.057895;0.027444;0.018797;0.007895;0.015789;0.083083;0.044737;0.107143;0.029323;0.059774;0.011654;0.024436;0.075940;0.106391;0.006767;0.059774;0.004887;0.097744;0.079699;0.009398;0.003008;0.010150;0.011654;0.000376;0.006391;0.000376;0.000752;0.000376;0.001128;0.000376
 e;0.000084;0.000251;0.028981;0.001173;0.000670;0.320630;0.007957;0.009800;0.000251;0.000419;0.021610;0.000168;0.117849;0.030740;0.050423;0.004272;0.000084;0.035346;0.000168;0.049334;0.002345;0.002680;0.007790;0.018678;0.135774;0.145573;0.000084;0.000084;0.000251;0.006366;0.000084;0.000084
 v;0.000220;0.000220;0.265962;0.001761;0.246367;0.000220;0.000220;0.000220;0.000220;0.406429;0.000440;0.000220;0.004403;0.000220;0.000220;0.000220;0.000220;0.000661;0.000220;0.060546;0.001101;0.000220;0.006825;0.000881;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220;0.000220
 r;0.000057;0.002149;0.260616;0.000339;0.454905;0.000057;0.000057;0.002940;0.000057;0.061408;0.001470;0.000113;0.000057;0.000113;0.000113;0.002601;0.000170;0.000113;0.000057;0.086571;0.000170;0.000057;0.125021;0.000170;0.000226;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
 y;0.000039;0.000039;0.000276;0.000197;0.178407;0.000039;0.000039;0.000079;0.000039;0.815057;0.000039;0.000039;0.000039;0.000039;0.000039;0.000039;0.000079;0.000039;0.000039;0.004489;0.000039;0.000039;0.000394;0.000039;0.000118;0.000039;0.000039;0.000039;0.000039;0.000039;0.000039;0.000039
 b;0.000034;0.000068;0.073546;0.001026;0.418915;0.000034;0.049167;0.070127;0.000513;0.060177;0.000103;0.000034;0.030978;0.000103;0.000068;0.000034;0.000034;0.001163;0.000239;0.113379;0.000068;0.000034;0.179848;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034
 o;0.000026;0.028760;0.002372;0.000079;0.000053;0.035086;0.072150;0.000026;0.021642;0.000211;0.001081;0.016159;0.007328;0.005035;0.001054;0.023672;0.000105;0.000395;0.000053;0.000527;0.020957;0.000132;0.128272;0.392566;0.216555;0.000158;0.025359;0.000026;0.000079;0.000026;0.000026;0.000026
 d;0.000037;0.000851;0.185806;0.001518;0.205649;0.000074;0.026396;0.002480;0.000037;0.494891;0.000037;0.000222;0.000074;0.001444;0.000148;0.001777;0.000037;0.000296;0.000222;0.051236;0.000074;0.000037;0.015993;0.000037;0.010366;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037
 w;0.000017;0.312607;0.102698;0.000439;0.250545;0.000017;0.011929;0.000051;0.000017;0.102732;0.000017;0.000051;0.000017;0.000017;0.000338;0.000034;0.000017;0.000017;0.000084;0.218103;0.000034;0.000017;0.000051;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
 l;0.000056;0.000056;0.454939;0.000338;0.194033;0.000056;0.000056;0.015142;0.000450;0.212665;0.000056;0.000056;0.000281;0.000056;0.000056;0.000113;0.000056;0.000113;0.000056;0.109879;0.000169;0.000507;0.010301;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056
 c;0.000037;0.105209;0.026265;0.001147;0.020605;0.000037;0.055194;0.002811;0.001480;0.416765;0.000259;0.000037;0.060891;0.000222;0.000148;0.000185;0.000037;0.000185;0.000259;0.264797;0.000074;0.000037;0.032443;0.000074;0.010247;0.000037;0.000148;0.000037;0.000222;0.000037;0.000037;0.000037
 m;0.000046;0.000091;0.120823;0.000364;0.268551;0.000046;0.005190;0.070336;0.000046;0.206638;0.000046;0.000046;0.000273;0.007921;0.010152;0.000182;0.000046;0.011108;0.000046;0.251753;0.000091;0.000046;0.045570;0.000137;0.000091;0.000046;0.000091;0.000046;0.000046;0.000046;0.000046;0.000046
 t;0.000007;0.718553;0.014224;0.000112;0.017986;0.000800;0.032756;0.000763;0.000007;0.173016;0.000007;0.010575;0.000007;0.000015;0.000030;0.000007;0.000007;0.000299;0.000022;0.026190;0.000179;0.000007;0.004353;0.000007;0.000015;0.000007;0.000007;0.000007;0.000007;0.000007;0.000007;0.000007
 j;0.000123;0.000123;0.106105;0.002216;0.055884;0.000123;0.003693;0.000123;0.000123;0.193378;0.000123;0.000123;0.000123;0.000123;0.000123;0.000246;0.000123;0.000246;0.000369;0.052191;0.001231;0.000123;0.581364;0.000246;0.000246;0.000123;0.000123;0.000123;0.000123;0.000369;0.000123;0.000123
 s;0.000021;0.123566;0.035867;0.002060;0.098556;0.000021;0.000021;0.016481;0.000103;0.279228;0.000041;0.003667;0.005294;0.023588;0.009374;0.142539;0.000021;0.000185;0.000391;0.155415;0.030366;0.000021;0.067634;0.000021;0.001875;0.000021;0.002410;0.000021;0.000021;0.001133;0.000021;0.000021
 );0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
 a;0.000013;0.003160;0.002704;0.182215;0.000051;0.001231;0.073376;0.000127;0.057510;0.000025;0.010979;0.006105;0.081626;0.026363;0.018887;0.041822;0.000051;0.044665;0.042609;0.000228;0.007032;0.029561;0.003643;0.012553;0.353007;0.000089;0.000102;0.000076;0.000051;0.000114;0.000013;0.000013
 p;0.000040;0.014365;0.021408;0.000438;0.262783;0.000040;0.233616;0.000159;0.000477;0.159086;0.000040;0.000040;0.055788;0.000119;0.000119;0.000119;0.000040;0.001353;0.000040;0.169074;0.000080;0.000080;0.078230;0.000080;0.000199;0.000040;0.000040;0.001950;0.000040;0.000040;0.000040;0.000040
 g;0.000050;0.000198;0.060870;0.000446;0.184247;0.000050;0.075394;0.001190;0.000397;0.501338;0.000694;0.000099;0.011252;0.000099;0.000198;0.000050;0.000050;0.000050;0.000099;0.045207;0.000397;0.000099;0.117081;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050
 u;0.000131;0.035789;0.000261;0.000261;0.000131;0.000131;0.005878;0.000131;0.001959;0.000131;0.000131;0.000131;0.004963;0.000261;0.015674;0.004833;0.000131;0.310737;0.000261;0.000261;0.295977;0.002874;0.000131;0.000261;0.298067;0.000131;0.011102;0.008621;0.000261;0.000131;0.000131;0.000131
 f;0.000051;0.000051;0.141609;0.001696;0.049276;0.000051;0.165964;0.000154;0.009608;0.429709;0.001593;0.000051;0.023071;0.000462;0.000103;0.000051;0.000051;0.000051;0.000565;0.128250;0.000051;0.000051;0.046758;0.000051;0.000308;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051
 n;0.000056;0.000056;0.034487;0.000621;0.231247;0.000056;0.000564;0.000226;0.004459;0.632218;0.001185;0.000056;0.000056;0.000113;0.000056;0.000169;0.000056;0.004515;0.000113;0.061241;0.000734;0.000113;0.024722;0.002427;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056
 x;0.013514;0.013514;0.054054;0.324324;0.081081;0.013514;0.027027;0.013514;0.040541;0.013514;0.013514;0.013514;0.013514;0.013514;0.027027;0.013514;0.013514;0.027027;0.067568;0.027027;0.013514;0.013514;0.027027;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
 k;0.000105;0.001054;0.180084;0.001054;0.083772;0.000105;0.008641;0.004531;0.000211;0.015385;0.000105;0.000105;0.000948;0.000211;0.000105;0.000105;0.000105;0.000211;0.000211;0.021602;0.000316;0.000527;0.002529;0.000211;0.676712;0.000105;0.000421;0.000105;0.000105;0.000105;0.000105;0.000105
 .;0.010000;0.010000;0.010000;0.500000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.200000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
 z;0.005650;0.011299;0.045198;0.016949;0.474576;0.005650;0.005650;0.005650;0.005650;0.112994;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.079096;0.005650;0.005650;0.118644;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
 q;0.001078;0.001078;0.002155;0.003233;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.002155;0.001078;0.002155;0.001078;0.002155;0.001078;0.050647;0.001078;0.001078;0.910560;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078;0.001078
 ,;0.004348;0.004348;0.004348;0.734783;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.134783;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348
 #;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
e(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
eh;0.001637;0.001637;0.214403;0.018003;0.134206;0.001637;0.021277;0.003273;0.001637;0.337152;0.001637;0.001637;0.001637;0.001637;0.003273;0.001637;0.001637;0.001637;0.001637;0.217676;0.001637;0.001637;0.008183;0.001637;0.006547;0.001637;0.001637;0.001637;0.001637;0.001637;0.001637;0.001637
ei;0.000198;0.000198;0.000395;0.001779;0.000395;0.017589;0.489723;0.000198;0.000395;0.000198;0.008696;0.000198;0.021739;0.000791;0.002964;0.056324;0.000198;0.006324;0.000593;0.000198;0.000198;0.117589;0.000395;0.000198;0.267984;0.000198;0.000395;0.000198;0.003162;0.000198;0.000198;0.000198
e ;0.000007;0.044103;0.070631;0.003078;0.018949;0.006724;0.028405;0.027506;0.037027;0.052243;0.047058;0.083949;0.023544;0.044225;0.030239;0.141693;0.011470;0.074823;0.000733;0.095260;0.045117;0.033870;0.012771;0.030080;0.027599;0.000086;0.007234;0.000058;0.000252;0.001064;0.000194;0.000007
ee;0.000096;0.000192;0.011110;0.238866;0.000096;0.000575;0.020113;0.000670;0.000383;0.000096;0.126999;0.000958;0.040992;0.018197;0.041375;0.097979;0.000670;0.018868;0.035629;0.000287;0.072407;0.000096;0.000096;0.001149;0.224021;0.000479;0.044632;0.000096;0.002490;0.000192;0.000096;0.000096
ev;0.000117;0.000117;0.071412;0.001055;0.876642;0.000117;0.002814;0.000352;0.000117;0.020755;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000352;0.000235;0.023687;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117
er;0.000020;0.000947;0.038323;0.277361;0.282630;0.015077;0.009492;0.068299;0.001756;0.005170;0.003907;0.003236;0.001894;0.011880;0.012768;0.017918;0.000296;0.096835;0.048131;0.040099;0.001796;0.005210;0.000750;0.006019;0.049098;0.000020;0.000967;0.000020;0.000020;0.000020;0.000020;0.000020
ey;0.000061;0.000121;0.000424;0.640630;0.009385;0.019134;0.196791;0.000061;0.000061;0.004178;0.003573;0.000061;0.011868;0.000061;0.000484;0.000061;0.000061;0.003694;0.106388;0.001453;0.000121;0.000303;0.000061;0.000061;0.000484;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
eb;0.000663;0.000663;0.003316;0.013263;0.043767;0.000663;0.070292;0.005305;0.062997;0.432361;0.000663;0.000663;0.035146;0.000663;0.000663;0.061008;0.000663;0.067639;0.001326;0.131300;0.000663;0.000663;0.059682;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663;0.000663
eo;0.000129;0.000129;0.000386;0.049891;0.000129;0.003472;0.040375;0.000129;0.000129;0.000129;0.000386;0.001286;0.023145;0.001543;0.000514;0.003086;0.000129;0.017616;0.007586;0.000129;0.770220;0.000386;0.004758;0.000900;0.072393;0.000129;0.000257;0.000129;0.000129;0.000129;0.000129;0.000129
ed;0.000046;0.000092;0.069665;0.746989;0.013557;0.000137;0.000779;0.006321;0.000595;0.006321;0.004763;0.001374;0.004214;0.000092;0.001008;0.000046;0.000046;0.010809;0.106444;0.006641;0.000183;0.006550;0.012046;0.000137;0.000824;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046
ew;0.000299;0.018823;0.042725;0.460711;0.050194;0.000299;0.001793;0.000299;0.000896;0.004183;0.000598;0.000299;0.000896;0.000299;0.000896;0.004780;0.000299;0.298775;0.082163;0.026292;0.000896;0.000299;0.000299;0.000299;0.000598;0.000299;0.000299;0.000299;0.000299;0.000299;0.000299;0.000299
el;0.000070;0.000420;0.079084;0.079084;0.137644;0.019193;0.000140;0.073200;0.000911;0.024166;0.010017;0.000771;0.371743;0.019403;0.007005;0.008546;0.000070;0.049384;0.013799;0.020594;0.050714;0.000490;0.002242;0.030541;0.000070;0.000070;0.000070;0.000070;0.000280;0.000070;0.000070;0.000070
ec;0.000087;0.026377;0.085727;0.005640;0.044078;0.000087;0.025770;0.000868;0.000087;0.125380;0.000347;0.000087;0.008416;0.000434;0.000174;0.259957;0.000087;0.000087;0.001735;0.332668;0.000087;0.000087;0.043037;0.000087;0.000087;0.000087;0.038004;0.000087;0.000087;0.000087;0.000087;0.000087
em;0.000087;0.000087;0.035897;0.248418;0.143761;0.000087;0.000087;0.011099;0.095118;0.282234;0.000087;0.000173;0.005376;0.000173;0.002515;0.000260;0.000087;0.049337;0.043614;0.044308;0.034076;0.000087;0.000173;0.000087;0.002168;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087
et;0.000077;0.107510;0.043081;0.382737;0.074029;0.000077;0.008908;0.013592;0.000538;0.005222;0.000307;0.029949;0.001229;0.002995;0.000077;0.111888;0.000077;0.120335;0.062433;0.023345;0.000538;0.000154;0.005836;0.000768;0.003225;0.000077;0.000154;0.000077;0.000538;0.000077;0.000077;0.000077
ej;0.016129;0.016129;0.080645;0.032258;0.354839;0.016129;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
es;0.000029;0.001114;0.029159;0.504205;0.060722;0.000176;0.000029;0.000088;0.000176;0.006301;0.001758;0.000029;0.000498;0.004777;0.000410;0.122645;0.000029;0.135656;0.077045;0.000293;0.021891;0.000029;0.005187;0.000029;0.026844;0.000029;0.000528;0.000029;0.000029;0.000205;0.000029;0.000029
e);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ea;0.000046;0.123065;0.000093;0.023191;0.000046;0.009760;0.150997;0.000046;0.000558;0.000046;0.117953;0.000744;0.164196;0.031649;0.023888;0.095366;0.000046;0.087373;0.004415;0.000046;0.008319;0.003718;0.002835;0.000744;0.116605;0.000046;0.033880;0.000046;0.000139;0.000046;0.000046;0.000046
ep;0.000218;0.020520;0.017245;0.144292;0.090155;0.000218;0.075311;0.003274;0.000218;0.141236;0.001091;0.000218;0.026632;0.000437;0.000437;0.121153;0.000218;0.024449;0.028815;0.104344;0.013752;0.000218;0.183584;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218;0.000218
eg;0.000393;0.002358;0.206761;0.017689;0.146226;0.000393;0.073899;0.043632;0.000393;0.064465;0.000393;0.000393;0.004324;0.000393;0.019654;0.000393;0.000393;0.008648;0.004717;0.284591;0.000393;0.009434;0.104560;0.000393;0.002358;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393
eu;0.002660;0.002660;0.005319;0.013298;0.005319;0.018617;0.329787;0.002660;0.002660;0.002660;0.021277;0.002660;0.005319;0.007979;0.021277;0.356383;0.002660;0.037234;0.010638;0.002660;0.058511;0.021277;0.002660;0.002660;0.039894;0.002660;0.005319;0.002660;0.002660;0.002660;0.002660;0.002660
ef;0.000317;0.000317;0.107312;0.030073;0.134536;0.000317;0.009813;0.000633;0.000317;0.253878;0.000317;0.000317;0.012662;0.003799;0.000317;0.200380;0.000317;0.005065;0.006648;0.010130;0.000317;0.000317;0.066793;0.152580;0.000317;0.000317;0.000317;0.000317;0.000317;0.000317;0.000317;0.000317
en;0.000032;0.000907;0.024823;0.311740;0.048090;0.003953;0.001620;0.002074;0.000292;0.012152;0.084740;0.001944;0.001264;0.059885;0.000421;0.310930;0.001264;0.036553;0.052594;0.019800;0.000032;0.009527;0.001880;0.002074;0.010435;0.000032;0.000389;0.000032;0.000097;0.000356;0.000032;0.000032
ex;0.000315;0.001577;0.063091;0.058360;0.024921;0.000315;0.000315;0.001262;0.000315;0.002524;0.000315;0.000631;0.000315;0.125552;0.000631;0.224606;0.000315;0.000946;0.011356;0.232808;0.223028;0.000315;0.021767;0.000315;0.000631;0.001577;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315
ek;0.001912;0.001912;0.051625;0.533461;0.072658;0.001912;0.001912;0.001912;0.001912;0.001912;0.003824;0.001912;0.043977;0.001912;0.001912;0.001912;0.001912;0.168260;0.072658;0.003824;0.001912;0.001912;0.001912;0.001912;0.005736;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912
