smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
)n;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)d;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)y;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
));0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)c;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)m;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)k;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)h;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)w;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)p;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)l;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)f;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)v;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)u;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)x;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)z;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)q;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
).;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
)#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
c(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ci;0.000461;0.000461;0.086175;0.005530;0.130876;0.004608;0.024885;0.167742;0.279724;0.021659;0.002304;0.000461;0.050230;0.064516;0.000461;0.000922;0.000461;0.000922;0.000461;0.000461;0.000461;0.046083;0.009217;0.072350;0.012442;0.000461;0.000461;0.013825;0.000461;0.000461;0.000461
ct;0.000300;0.267648;0.000300;0.181736;0.045359;0.000300;0.008711;0.069390;0.014419;0.052268;0.000901;0.000300;0.004205;0.000300;0.000300;0.029438;0.001802;0.003304;0.000300;0.000300;0.000300;0.000300;0.060078;0.002403;0.000601;0.253229;0.000300;0.000300;0.000300;0.000300;0.000300
c ;0.001052;0.137750;0.084122;0.002103;0.094637;0.013670;0.029443;0.033649;0.112513;0.052576;0.044164;0.010515;0.025237;0.041009;0.012618;0.001052;0.058885;0.033649;0.006309;0.021030;0.038906;0.080967;0.013670;0.023134;0.014721;0.005258;0.001052;0.001052;0.003155;0.001052;0.001052
cs;0.002755;0.002755;0.005510;0.779614;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.134986;0.002755;0.002755;0.002755;0.002755;0.002755;0.005510;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755;0.002755
cg;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
cr;0.000664;0.297279;0.000664;0.000664;0.000664;0.000664;0.000664;0.264101;0.267419;0.088918;0.000664;0.000664;0.000664;0.000664;0.010617;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.055076;0.000664;0.000664;0.000664;0.000664;0.000664
ce;0.000258;0.017829;0.001550;0.429974;0.137209;0.000258;0.083721;0.005685;0.002326;0.003359;0.011628;0.000258;0.106202;0.040827;0.000775;0.079328;0.000517;0.010594;0.000258;0.000517;0.000258;0.039276;0.021189;0.001550;0.000258;0.002067;0.001292;0.000258;0.000258;0.000258;0.000258
ca;0.000166;0.002487;0.055878;0.010943;0.046593;0.001326;0.068645;0.000166;0.000663;0.000166;0.005140;0.000166;0.286520;0.008622;0.000166;0.001658;0.001658;0.066490;0.000995;0.000829;0.000166;0.021555;0.206765;0.000497;0.017244;0.193666;0.000166;0.000166;0.000166;0.000166;0.000166
co;0.000160;0.003191;0.007180;0.007659;0.011170;0.007021;0.061592;0.000798;0.003032;0.012446;0.001117;0.000160;0.308281;0.005425;0.000319;0.000319;0.001915;0.272060;0.000319;0.028562;0.003830;0.004787;0.033509;0.001436;0.015318;0.207276;0.000160;0.000479;0.000160;0.000160;0.000160
cb;0.023256;0.023256;0.023256;0.023256;0.279070;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
cj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
cn;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.056338;0.014085;0.014085;0.014085;0.521127;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
cd;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.340426;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
cy;0.002336;0.002336;0.002336;0.705607;0.004673;0.002336;0.004673;0.002336;0.002336;0.002336;0.030374;0.002336;0.021028;0.002336;0.002336;0.133178;0.044393;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336
c);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
cc;0.001938;0.052326;0.001938;0.003876;0.003876;0.001938;0.019380;0.304264;0.040698;0.257752;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.009690;0.001938;0.001938;0.007752;0.001938;0.001938;0.259690;0.001938;0.001938;0.001938;0.001938;0.001938
cm;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.142857;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ck;0.000691;0.084945;0.002762;0.497238;0.068370;0.010359;0.000691;0.116713;0.040746;0.003453;0.007597;0.000691;0.012431;0.001381;0.010359;0.061464;0.009669;0.006215;0.000691;0.002072;0.008978;0.008287;0.033840;0.003453;0.000691;0.002762;0.000691;0.000691;0.000691;0.000691;0.000691
ch;0.000271;0.103878;0.000271;0.406835;0.002441;0.000271;0.030377;0.073773;0.204231;0.056414;0.000542;0.000271;0.016273;0.001085;0.004611;0.057499;0.000271;0.003797;0.000271;0.003526;0.003526;0.000814;0.000271;0.000271;0.000271;0.026580;0.000271;0.000271;0.000271;0.000271;0.000271
cw;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
cp;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
cl;0.000796;0.158313;0.000796;0.000796;0.000796;0.000796;0.000796;0.329356;0.237072;0.100239;0.000796;0.000796;0.000796;0.000796;0.008751;0.000796;0.000796;0.000796;0.000796;0.000796;0.000796;0.000796;0.000796;0.000796;0.000796;0.146380;0.000796;0.000796;0.000796;0.000796;0.000796
cf;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
cv;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
cu;0.000870;0.001741;0.107050;0.000870;0.255004;0.000870;0.218451;0.003481;0.000870;0.006092;0.003481;0.000870;0.001741;0.001741;0.000870;0.000870;0.002611;0.111401;0.000870;0.000870;0.000870;0.002611;0.252393;0.001741;0.000870;0.002611;0.000870;0.014795;0.000870;0.000870;0.000870
cx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
cz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
cq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778
c.;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
c#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
m(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mi;0.000369;0.000369;0.102659;0.001477;0.109306;0.104874;0.016617;0.012555;0.000739;0.000369;0.000369;0.000369;0.327179;0.040620;0.000369;0.001108;0.133309;0.000369;0.007016;0.000369;0.000369;0.000369;0.125923;0.000739;0.000369;0.003323;0.003323;0.004062;0.000369;0.000369;0.000369
mt;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
m ;0.000252;0.086715;0.188304;0.006050;0.072347;0.030502;0.024200;0.014621;0.128056;0.063776;0.042601;0.026468;0.055205;0.019410;0.021931;0.001008;0.028737;0.020166;0.004285;0.026720;0.062264;0.014621;0.017898;0.025712;0.007058;0.008067;0.000756;0.000504;0.001260;0.000252;0.000252
ms;0.001431;0.001431;0.051502;0.610873;0.001431;0.001431;0.001431;0.157368;0.001431;0.001431;0.001431;0.001431;0.024320;0.004292;0.002861;0.110157;0.002861;0.001431;0.002861;0.001431;0.001431;0.002861;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431
mg;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mr;0.014085;0.014085;0.014085;0.126761;0.042254;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.422535;0.014085
me;0.000114;0.000229;0.066285;0.313337;0.059073;0.002977;0.059874;0.022553;0.087922;0.019233;0.008815;0.000114;0.190269;0.055180;0.004465;0.057012;0.002175;0.035604;0.000114;0.001832;0.004808;0.000114;0.004350;0.000458;0.000114;0.000114;0.002404;0.000114;0.000114;0.000114;0.000114
ma;0.000231;0.038124;0.117606;0.022874;0.023105;0.029344;0.088031;0.000231;0.000693;0.000693;0.004621;0.018484;0.253235;0.057994;0.108133;0.007163;0.016636;0.001155;0.145102;0.002542;0.000231;0.001155;0.043207;0.001848;0.000231;0.000231;0.002542;0.013863;0.000231;0.000231;0.000231
mo;0.000316;0.002212;0.026540;0.002844;0.138705;0.003791;0.296367;0.006951;0.000316;0.010742;0.003791;0.000316;0.229384;0.025592;0.000316;0.001264;0.101106;0.013270;0.005055;0.000632;0.000632;0.001264;0.014534;0.000316;0.083728;0.028436;0.000316;0.000316;0.000316;0.000316;0.000316
mb;0.001043;0.054223;0.001043;0.021898;0.004171;0.001043;0.058394;0.677789;0.077164;0.011470;0.003128;0.001043;0.002086;0.001043;0.001043;0.002086;0.001043;0.001043;0.001043;0.001043;0.001043;0.002086;0.055266;0.001043;0.001043;0.011470;0.001043;0.001043;0.001043;0.001043;0.001043
mj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mn;0.015873;0.079365;0.015873;0.206349;0.063492;0.015873;0.015873;0.190476;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.047619;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
md;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303
my;0.001166;0.001166;0.010490;0.748252;0.058275;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.151515;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166;0.001166
m);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mc;0.010753;0.010753;0.010753;0.010753;0.010753;0.075269;0.010753;0.010753;0.043011;0.010753;0.010753;0.010753;0.021505;0.129032;0.010753;0.010753;0.236559;0.053763;0.139785;0.032258;0.010753;0.010753;0.021505;0.010753;0.010753;0.010753;0.010753;0.010753;0.021505;0.010753;0.010753
mm;0.001592;0.264331;0.009554;0.025478;0.001592;0.001592;0.001592;0.267516;0.057325;0.106688;0.001592;0.001592;0.001592;0.001592;0.020701;0.014331;0.001592;0.012739;0.001592;0.007962;0.001592;0.001592;0.001592;0.001592;0.001592;0.181529;0.001592;0.001592;0.001592;0.001592;0.001592
mk;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mh;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mw;0.026316;0.052632;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
mp;0.000288;0.003172;0.026240;0.394752;0.077278;0.000288;0.018743;0.034025;0.119377;0.065456;0.000288;0.000288;0.000288;0.000288;0.000288;0.070358;0.000288;0.000288;0.000288;0.003172;0.000288;0.000288;0.172434;0.000288;0.000288;0.009516;0.000288;0.000288;0.000288;0.000288;0.000288
ml;0.019231;0.326923;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.115385;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
mf;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.419355;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.112903;0.016129;0.016129;0.016129;0.016129;0.016129
mv;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mu;0.001149;0.001149;0.005747;0.002299;0.186207;0.003448;0.028736;0.004598;0.003448;0.001149;0.006897;0.001149;0.135632;0.005747;0.001149;0.001149;0.374713;0.031034;0.001149;0.001149;0.001149;0.002299;0.189655;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149
mx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mz;0.023810;0.023810;0.023810;0.238095;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
mq;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
m.;0.023810;0.023810;0.023810;0.214286;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
m#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
k(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ki;0.000551;0.000551;0.002204;0.013223;0.006612;0.000551;0.000551;0.007163;0.000551;0.000551;0.000551;0.000551;0.810468;0.043526;0.000551;0.007713;0.011570;0.046832;0.001102;0.000551;0.000551;0.004408;0.034711;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551;0.000551
kt;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
k ;0.000296;0.151434;0.220053;0.001479;0.032535;0.007986;0.011239;0.006803;0.187518;0.073943;0.030760;0.005620;0.006507;0.013014;0.044366;0.000887;0.014789;0.021000;0.000887;0.025732;0.064774;0.022183;0.012718;0.025436;0.002958;0.011535;0.000296;0.000887;0.001775;0.000296;0.000296
ks;0.002012;0.002012;0.020121;0.786720;0.002012;0.010060;0.002012;0.002012;0.004024;0.010060;0.002012;0.002012;0.002012;0.002012;0.002012;0.116700;0.002012;0.002012;0.002012;0.002012;0.002012;0.004024;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012;0.002012
kg;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.333333;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
kr;0.015152;0.075758;0.015152;0.015152;0.015152;0.015152;0.015152;0.242424;0.151515;0.030303;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.106061;0.015152;0.015152;0.015152;0.015152;0.015152
