smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
h#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ih;0.014085;0.014085;0.323944;0.014085;0.014085;0.014085;0.014085;0.014085;0.056338;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.197183;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
ii;0.022222;0.022222;0.066667;0.133333;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.088889;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
i ;0.000274;0.066265;0.021906;0.000548;0.006572;0.001643;0.030942;0.001917;0.003560;0.005203;0.194140;0.021084;0.055586;0.079409;0.198521;0.014239;0.000274;0.053122;0.018620;0.001095;0.040800;0.009584;0.008762;0.033133;0.023549;0.000821;0.095564;0.000274;0.011501;0.000274;0.000274;0.000274;0.000274
ie;0.000368;0.000736;0.000368;0.020596;0.000736;0.079073;0.080544;0.000368;0.000368;0.240530;0.078705;0.011769;0.013240;0.000368;0.093784;0.000736;0.006620;0.258919;0.039353;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000736;0.063626;0.000368;0.000368;0.001839;0.002942;0.000368;0.000368
iv;0.000401;0.000401;0.176636;0.000803;0.754316;0.000401;0.000401;0.001204;0.007226;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.048976;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401
ir;0.000555;0.000555;0.047751;0.324264;0.169350;0.004442;0.013326;0.007218;0.029983;0.005552;0.000555;0.018878;0.023320;0.015547;0.027762;0.000555;0.056080;0.188784;0.000555;0.000555;0.021655;0.003331;0.001110;0.003887;0.001666;0.000555;0.026097;0.000555;0.000555;0.001666;0.002221;0.000555;0.000555
iy;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
io;0.000216;0.000216;0.000216;0.016178;0.000647;0.000216;0.023512;0.000216;0.000216;0.784297;0.000216;0.024806;0.002157;0.005608;0.002373;0.001294;0.001941;0.001726;0.000216;0.000216;0.000216;0.000431;0.123598;0.001510;0.000216;0.000216;0.005824;0.000431;0.000216;0.000216;0.000216;0.000216;0.000216
