smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
sf;0.006024;0.006024;0.114458;0.006024;0.006024;0.066265;0.006024;0.006024;0.024096;0.006024;0.192771;0.006024;0.006024;0.006024;0.397590;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.030120;0.006024;0.006024;0.006024;0.018072;0.006024;0.006024;0.006024;0.006024;0.006024
sr;0.008696;0.008696;0.347826;0.008696;0.008696;0.017391;0.008696;0.008696;0.217391;0.008696;0.121739;0.008696;0.008696;0.008696;0.052174;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
sk;0.001479;0.023669;0.036982;0.248521;0.001479;0.204142;0.004438;0.001479;0.044379;0.001479;0.284024;0.001479;0.001479;0.001479;0.010355;0.048817;0.001479;0.001479;0.001479;0.001479;0.001479;0.001479;0.001479;0.060651;0.001479;0.001479;0.001479;0.001479;0.001479;0.001479;0.001479;0.001479;0.001479
sy;0.001704;0.431005;0.003407;0.197615;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.035775;0.001704;0.003407;0.001704;0.030664;0.161840;0.020443;0.059625;0.005111;0.001704;0.013629;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704;0.001704
sv;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
sj;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
sz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
sx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
sq;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.529412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
s.;0.020833;0.020833;0.020833;0.270833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.062500;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
