smoothed;3
(;);n;o;r;d;s;t;m; ;h;a;p;e;c;i;l;y;f;u;g;w;b;k;v;#
l(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
l);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ln;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.169811;0.018868;0.018868;0.018868;0.377358;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
lo;0.000370;0.004444;0.108519;0.139630;0.033333;0.001852;0.100370;0.208519;0.005185;0.014444;0.000741;0.015926;0.017778;0.000370;0.051852;0.001481;0.001481;0.017407;0.000741;0.028889;0.048889;0.131852;0.026296;0.000370;0.038519;0.000741
lr;0.007042;0.007042;0.007042;0.021127;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.781690;0.007042;0.021127;0.007042;0.021127;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042
ld;0.000414;0.011604;0.060091;0.003315;0.019892;0.000414;0.012433;0.000414;0.000414;0.845835;0.001243;0.000414;0.000414;0.014919;0.000829;0.015334;0.003730;0.000829;0.000414;0.000414;0.000414;0.000829;0.004144;0.000414;0.000414;0.000414
ls;0.000874;0.020105;0.000874;0.458916;0.000874;0.000874;0.000874;0.002622;0.000874;0.383741;0.003497;0.002622;0.000874;0.102273;0.000874;0.010490;0.000874;0.000874;0.000874;0.000874;0.000874;0.000874;0.000874;0.000874;0.000874;0.000874
lt;0.001618;0.022654;0.001618;0.009709;0.009709;0.003236;0.040453;0.001618;0.001618;0.263754;0.294498;0.021036;0.001618;0.074434;0.001618;0.079288;0.001618;0.074434;0.001618;0.082524;0.001618;0.001618;0.001618;0.001618;0.001618;0.003236
lm;0.006993;0.048951;0.006993;0.391608;0.006993;0.020979;0.041958;0.006993;0.006993;0.230769;0.006993;0.020979;0.006993;0.062937;0.006993;0.055944;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993
l ;0.000145;0.000145;0.022013;0.073135;0.030123;0.043592;0.064156;0.128168;0.024765;0.000145;0.035337;0.105576;0.047357;0.021289;0.070384;0.066908;0.041999;0.014337;0.030992;0.006517;0.032875;0.050688;0.060536;0.009124;0.007386;0.012310
lh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
la;0.000282;0.000846;0.105753;0.000282;0.146080;0.012690;0.138466;0.179075;0.016074;0.005076;0.005922;0.000282;0.011562;0.000282;0.090807;0.062888;0.000282;0.065990;0.000282;0.020587;0.005922;0.092781;0.013818;0.013254;0.004512;0.006204
lp;0.005952;0.017857;0.005952;0.011905;0.017857;0.005952;0.077381;0.011905;0.005952;0.285714;0.208333;0.023810;0.005952;0.107143;0.005952;0.083333;0.005952;0.005952;0.065476;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952;0.005952
le;0.000150;0.011396;0.028040;0.002699;0.024441;0.050982;0.062528;0.050082;0.037787;0.419253;0.000450;0.120858;0.000600;0.015295;0.055930;0.000600;0.001200;0.005698;0.012296;0.000150;0.053681;0.002549;0.003449;0.000150;0.034488;0.005248
lc;0.012346;0.012346;0.012346;0.518519;0.012346;0.012346;0.037037;0.012346;0.012346;0.012346;0.012346;0.024691;0.012346;0.012346;0.012346;0.024691;0.012346;0.012346;0.012346;0.135802;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
li;0.000143;0.000143;0.115076;0.013328;0.000573;0.009315;0.048581;0.136142;0.022069;0.001720;0.000717;0.012898;0.005589;0.051017;0.138148;0.000143;0.000573;0.000143;0.033677;0.000143;0.026799;0.000143;0.014187;0.316710;0.041989;0.010032
ll;0.000147;0.011042;0.001325;0.043728;0.000147;0.000147;0.012809;0.000147;0.000589;0.445966;0.000147;0.035336;0.000147;0.081419;0.000147;0.047114;0.000147;0.306684;0.000442;0.010601;0.000147;0.000736;0.000442;0.000147;0.000147;0.000147
ly;0.000207;0.036179;0.005789;0.000207;0.000620;0.000207;0.005375;0.001240;0.002688;0.928468;0.000207;0.000207;0.000827;0.000207;0.000207;0.011784;0.000620;0.000207;0.000207;0.000207;0.000413;0.001654;0.000413;0.000207;0.000207;0.001447
lf;0.003279;0.032787;0.003279;0.003279;0.013115;0.003279;0.009836;0.022951;0.003279;0.796721;0.003279;0.006557;0.003279;0.009836;0.003279;0.032787;0.003279;0.003279;0.013115;0.009836;0.003279;0.003279;0.003279;0.003279;0.003279;0.003279
lu;0.001618;0.001618;0.014563;0.001618;0.088997;0.105178;0.307443;0.161812;0.053398;0.006472;0.001618;0.019417;0.003236;0.144013;0.046926;0.001618;0.003236;0.001618;0.001618;0.001618;0.009709;0.001618;0.009709;0.004854;0.001618;0.004854
lg;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.142857;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
lw;0.007092;0.007092;0.007092;0.014184;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.801418;0.007092;0.021277;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
lb;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.081633;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.346939;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
lk;0.001757;0.008787;0.005272;0.003515;0.001757;0.001757;0.086116;0.001757;0.001757;0.381371;0.001757;0.001757;0.001757;0.152900;0.001757;0.328647;0.001757;0.001757;0.001757;0.001757;0.001757;0.001757;0.001757;0.001757;0.001757;0.001757
lv;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.217712;0.003690;0.627306;0.003690;0.070111;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690
l#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
y(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
y);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yn;0.012195;0.073171;0.060976;0.012195;0.012195;0.048780;0.012195;0.024390;0.024390;0.195122;0.012195;0.121951;0.012195;0.097561;0.048780;0.097561;0.012195;0.024390;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
yo;0.000172;0.000172;0.018072;0.000172;0.029432;0.000172;0.000172;0.000172;0.000516;0.000688;0.000172;0.000172;0.000172;0.000172;0.000172;0.000172;0.000344;0.000344;0.000172;0.947332;0.000172;0.000172;0.000172;0.000172;0.000172;0.000172
yr;0.002597;0.002597;0.002597;0.005195;0.002597;0.002597;0.002597;0.002597;0.002597;0.007792;0.002597;0.005195;0.002597;0.898701;0.002597;0.028571;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597
yd;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.061224;0.020408;0.020408;0.244898;0.020408;0.204082;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
ys;0.001412;0.036723;0.001412;0.001412;0.001412;0.001412;0.007062;0.146893;0.001412;0.696328;0.001412;0.002825;0.001412;0.043785;0.001412;0.036723;0.001412;0.001412;0.002825;0.001412;0.001412;0.001412;0.002825;0.001412;0.001412;0.001412
yt;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.819820;0.013514;0.004505;0.022523;0.004505;0.045045;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505
ym;0.004587;0.004587;0.004587;0.146789;0.004587;0.004587;0.009174;0.004587;0.027523;0.027523;0.004587;0.339450;0.146789;0.137615;0.004587;0.022936;0.004587;0.004587;0.004587;0.004587;0.004587;0.004587;0.064220;0.004587;0.004587;0.004587
y ;0.000063;0.000063;0.019416;0.059825;0.023325;0.044695;0.069470;0.142722;0.028683;0.000063;0.045956;0.114732;0.034924;0.023703;0.045641;0.081132;0.022946;0.017966;0.039148;0.007628;0.027738;0.079052;0.043939;0.008573;0.006619;0.011978
yh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ya;0.012987;0.012987;0.298701;0.012987;0.103896;0.012987;0.012987;0.012987;0.038961;0.025974;0.038961;0.012987;0.012987;0.012987;0.051948;0.012987;0.155844;0.012987;0.012987;0.012987;0.012987;0.012987;0.038961;0.025974;0.012987;0.012987
yp;0.012346;0.012346;0.012346;0.185185;0.049383;0.012346;0.037037;0.074074;0.012346;0.012346;0.024691;0.012346;0.012346;0.320988;0.012346;0.074074;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
ye;0.000776;0.001552;0.000776;0.000776;0.105508;0.038790;0.114818;0.072925;0.006206;0.007758;0.000776;0.626843;0.002327;0.006982;0.000776;0.000776;0.004655;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776;0.000776
yc;0.016949;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.271186;0.050847;0.016949;0.033898;0.016949;0.016949;0.237288;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
yi;0.001546;0.001546;0.936631;0.001546;0.001546;0.001546;0.023184;0.001546;0.001546;0.004637;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546
yl;0.006579;0.013158;0.006579;0.059211;0.006579;0.006579;0.006579;0.006579;0.006579;0.013158;0.006579;0.151316;0.006579;0.131579;0.006579;0.019737;0.164474;0.006579;0.006579;0.026316;0.006579;0.006579;0.006579;0.006579;0.309211;0.006579
yy;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yf;0.031250;0.031250;0.031250;0.031250;0.156250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yu;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
yg;0.031250;0.031250;0.031250;0.125000;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
yw;0.006494;0.006494;0.006494;0.051948;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.188312;0.610390;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
yb;0.002994;0.002994;0.002994;0.299401;0.002994;0.002994;0.002994;0.002994;0.002994;0.002994;0.002994;0.005988;0.002994;0.622754;0.002994;0.002994;0.002994;0.002994;0.002994;0.005988;0.002994;0.002994;0.002994;0.002994;0.002994;0.002994
yk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yv;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.647887;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
y#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.187500;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
f(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fn;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fo;0.000267;0.000267;0.001867;0.014400;0.857067;0.000533;0.002933;0.000267;0.000267;0.000800;0.000267;0.000267;0.000267;0.000267;0.012533;0.000800;0.040267;0.000267;0.000267;0.057867;0.001067;0.000267;0.000267;0.000267;0.000267;0.006133
fr;0.000762;0.000762;0.000762;0.685453;0.000762;0.000762;0.000762;0.000762;0.000762;0.000762;0.000762;0.083016;0.000762;0.115004;0.000762;0.086824;0.000762;0.000762;0.000762;0.013709;0.000762;0.000762;0.000762;0.000762;0.000762;0.000762
fd;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fs;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.576271;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
ft;0.001613;0.016129;0.001613;0.003226;0.001613;0.001613;0.069355;0.001613;0.001613;0.272581;0.041935;0.003226;0.001613;0.437097;0.001613;0.033871;0.001613;0.093548;0.001613;0.001613;0.001613;0.003226;0.001613;0.001613;0.001613;0.001613
fm;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
f ;0.000121;0.000121;0.009535;0.034520;0.018467;0.020157;0.051660;0.308992;0.024864;0.000121;0.040193;0.076282;0.055160;0.015450;0.050815;0.060591;0.024985;0.075800;0.019312;0.010501;0.016053;0.038986;0.024744;0.003259;0.006397;0.012915
fh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fa;0.000751;0.000751;0.072072;0.000751;0.086336;0.007508;0.071321;0.028529;0.103604;0.000751;0.000751;0.000751;0.000751;0.000751;0.296547;0.145646;0.054805;0.000751;0.000751;0.015015;0.002252;0.000751;0.006757;0.024775;0.075075;0.001502
fp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fe;0.000527;0.012638;0.054766;0.000527;0.261190;0.048447;0.061085;0.009479;0.020537;0.082675;0.000527;0.033175;0.000527;0.191153;0.097946;0.004739;0.046340;0.001053;0.000527;0.001053;0.002106;0.061085;0.004213;0.000527;0.001580;0.001580
fc;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fi;0.000465;0.000465;0.232666;0.000465;0.197766;0.009307;0.011168;0.047929;0.000465;0.000931;0.000465;0.006515;0.000465;0.042811;0.184272;0.000465;0.037227;0.000465;0.061889;0.000465;0.082829;0.000465;0.000465;0.000465;0.063751;0.015356
fl;0.002681;0.005362;0.002681;0.209115;0.002681;0.002681;0.002681;0.002681;0.002681;0.010724;0.002681;0.235925;0.002681;0.107239;0.002681;0.233244;0.002681;0.053619;0.002681;0.096515;0.002681;0.002681;0.002681;0.002681;0.002681;0.002681
fy;0.006250;0.150000;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.331250;0.006250;0.006250;0.006250;0.006250;0.006250;0.375000;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250
ff;0.000765;0.011468;0.000765;0.061162;0.001529;0.000765;0.012232;0.000765;0.000765;0.240826;0.000765;0.028287;0.000765;0.427370;0.000765;0.199541;0.003058;0.001529;0.000765;0.000765;0.000765;0.000765;0.001529;0.000765;0.000765;0.000765
fu;0.001408;0.001408;0.284507;0.001408;0.060563;0.001408;0.077465;0.045070;0.004225;0.001408;0.001408;0.001408;0.001408;0.007042;0.033803;0.001408;0.449296;0.001408;0.001408;0.001408;0.008451;0.001408;0.001408;0.002817;0.001408;0.005634
fg;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.166667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
fw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
fb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
fv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
u(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
u);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
un;0.000347;0.004159;0.040901;0.002426;0.004853;0.361525;0.042634;0.183709;0.000693;0.076256;0.003120;0.007626;0.006239;0.012478;0.066898;0.100867;0.015251;0.000693;0.011438;0.002080;0.018371;0.003813;0.004506;0.025650;0.000347;0.003120
uo;0.014493;0.014493;0.014493;0.014493;0.028986;0.014493;0.014493;0.507246;0.014493;0.043478;0.014493;0.014493;0.014493;0.014493;0.014493;0.028986;0.014493;0.028986;0.014493;0.072464;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
ur;0.000214;0.004912;0.057454;0.006194;0.030115;0.014310;0.074541;0.072832;0.000854;0.294746;0.000214;0.030756;0.016446;0.273815;0.031824;0.042503;0.001068;0.007475;0.000854;0.000214;0.020504;0.000214;0.009611;0.002563;0.005553;0.000214
ud;0.001754;0.008772;0.001754;0.005263;0.005263;0.061404;0.008772;0.001754;0.001754;0.119298;0.001754;0.003509;0.001754;0.156140;0.001754;0.349123;0.007018;0.057895;0.001754;0.003509;0.191228;0.001754;0.001754;0.001754;0.001754;0.001754
us;0.000179;0.008230;0.000537;0.000895;0.000179;0.000179;0.031490;0.324029;0.000179;0.182143;0.025586;0.040258;0.006262;0.276078;0.001252;0.048667;0.035785;0.002684;0.000179;0.008946;0.000179;0.000179;0.005189;0.000179;0.000179;0.000358
ut;0.000176;0.019673;0.000351;0.015282;0.007202;0.000703;0.013701;0.011944;0.000176;0.791674;0.028105;0.004391;0.001054;0.041806;0.004040;0.042333;0.003162;0.005445;0.000527;0.006499;0.000176;0.000703;0.000176;0.000176;0.000176;0.000351
um;0.000773;0.006187;0.003094;0.003094;0.000773;0.000773;0.023975;0.000773;0.021655;0.061098;0.000773;0.075019;0.448569;0.188708;0.000773;0.017015;0.000773;0.000773;0.000773;0.002320;0.000773;0.000773;0.138438;0.000773;0.000773;0.000773
u ;0.000254;0.000254;0.013188;0.011920;0.018260;0.060360;0.061121;0.077859;0.030687;0.000254;0.082932;0.057570;0.020796;0.009637;0.132894;0.022064;0.026883;0.008623;0.020543;0.004819;0.043875;0.082678;0.027137;0.167639;0.002536;0.015217
uh;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ua;0.001086;0.001086;0.031488;0.001086;0.089034;0.004343;0.017372;0.072747;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.001086;0.004343;0.704669;0.001086;0.001086;0.001086;0.036916;0.001086;0.016287;0.005429;0.001086;0.001086
up;0.000726;0.025399;0.000726;0.012337;0.089985;0.005806;0.028302;0.051524;0.000726;0.450653;0.005806;0.001451;0.190856;0.056604;0.002903;0.015239;0.049347;0.003628;0.000726;0.000726;0.001451;0.000726;0.002177;0.000726;0.000726;0.000726
ue;0.000746;0.031343;0.047015;0.000746;0.008209;0.021642;0.524627;0.001493;0.000746;0.317910;0.001493;0.002985;0.000746;0.007463;0.000746;0.000746;0.020149;0.000746;0.000746;0.002239;0.000746;0.000746;0.001493;0.000746;0.001493;0.002239
uc;0.001062;0.001062;0.001062;0.002123;0.013800;0.001062;0.001062;0.152866;0.001062;0.001062;0.426752;0.056263;0.001062;0.074310;0.072187;0.023355;0.014862;0.006369;0.001062;0.006369;0.001062;0.001062;0.001062;0.135881;0.001062;0.001062
ui;0.001848;0.001848;0.103512;0.003697;0.086876;0.046211;0.099815;0.306839;0.001848;0.001848;0.001848;0.001848;0.014787;0.029575;0.107209;0.001848;0.160813;0.001848;0.001848;0.001848;0.001848;0.001848;0.001848;0.001848;0.012939;0.001848
ul;0.000352;0.004926;0.004222;0.007037;0.000352;0.582336;0.007389;0.081985;0.000704;0.080929;0.000352;0.098170;0.001407;0.021816;0.000352;0.013723;0.070725;0.011612;0.003167;0.003167;0.001759;0.000352;0.000352;0.002111;0.000352;0.000352
uy;0.004717;0.028302;0.004717;0.004717;0.004717;0.004717;0.287736;0.004717;0.004717;0.533019;0.004717;0.009434;0.004717;0.004717;0.004717;0.037736;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.009434;0.004717;0.004717;0.004717
uf;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.014493;0.007246;0.007246;0.072464;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.746377;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246
uu;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.137931;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ug;0.000887;0.001775;0.001775;0.000887;0.000887;0.000887;0.014197;0.000887;0.000887;0.021295;0.706300;0.004437;0.000887;0.127773;0.000887;0.000887;0.007098;0.000887;0.000887;0.010648;0.090506;0.000887;0.000887;0.000887;0.000887;0.000887
uw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ub;0.001222;0.009780;0.001222;0.001222;0.001222;0.001222;0.042787;0.055012;0.007335;0.019560;0.001222;0.006112;0.015892;0.023227;0.001222;0.033007;0.699267;0.003667;0.001222;0.015892;0.001222;0.004890;0.009780;0.001222;0.002445;0.039120
uk;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
uv;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.018018;0.009009;0.756757;0.009009;0.018018;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009
u#;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.080000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.300000
