smoothed;3
(;s;o; ;w;h;y;a;r;e;n;t;f;l;i;g;c;u;j;);m;p;d;b;k;v;x;#
mk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
mv;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
mx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
m#;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
p(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ps;0.010989;0.010989;0.010989;0.329670;0.010989;0.010989;0.219780;0.010989;0.010989;0.043956;0.010989;0.021978;0.010989;0.010989;0.032967;0.010989;0.010989;0.032967;0.010989;0.087912;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
po;0.003610;0.191336;0.018051;0.003610;0.061372;0.003610;0.003610;0.003610;0.166065;0.003610;0.072202;0.039711;0.007220;0.079422;0.140794;0.003610;0.014440;0.021661;0.003610;0.003610;0.003610;0.028881;0.090253;0.003610;0.018051;0.003610;0.003610;0.003610
p ;0.002538;0.038071;0.063452;0.007614;0.063452;0.017766;0.058376;0.154822;0.017766;0.015228;0.027919;0.149746;0.030457;0.022843;0.116751;0.012690;0.020305;0.007614;0.012690;0.005076;0.040609;0.022843;0.012690;0.055838;0.007614;0.005076;0.002538;0.007614
pw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ph;0.009804;0.009804;0.294118;0.009804;0.009804;0.009804;0.137255;0.107843;0.009804;0.117647;0.009804;0.009804;0.009804;0.009804;0.117647;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
py;0.021739;0.021739;0.021739;0.347826;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.086957;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
pa;0.004082;0.061224;0.004082;0.004082;0.004082;0.004082;0.036735;0.004082;0.387755;0.004082;0.069388;0.069388;0.004082;0.028571;0.069388;0.028571;0.069388;0.012245;0.004082;0.008163;0.004082;0.065306;0.008163;0.028571;0.004082;0.004082;0.004082;0.004082
pr;0.003802;0.003802;0.460076;0.007605;0.003802;0.003802;0.003802;0.041825;0.003802;0.307985;0.003802;0.003802;0.003802;0.003802;0.095057;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802
pe;0.001570;0.014129;0.378336;0.040816;0.001570;0.001570;0.001570;0.036107;0.200942;0.015699;0.131868;0.025118;0.006279;0.003140;0.001570;0.001570;0.073783;0.001570;0.001570;0.006279;0.001570;0.001570;0.043956;0.001570;0.001570;0.001570;0.001570;0.001570
pn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
pt;0.010870;0.076087;0.065217;0.282609;0.010870;0.010870;0.021739;0.021739;0.010870;0.054348;0.010870;0.010870;0.010870;0.010870;0.173913;0.010870;0.010870;0.054348;0.010870;0.043478;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
pf;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
pl;0.002137;0.002137;0.012821;0.002137;0.002137;0.002137;0.014957;0.220085;0.002137;0.641026;0.002137;0.002137;0.002137;0.002137;0.047009;0.002137;0.002137;0.017094;0.002137;0.002137;0.002137;0.002137;0.002137;0.002137;0.002137;0.002137;0.002137;0.002137
pi;0.005495;0.016484;0.087912;0.005495;0.005495;0.005495;0.005495;0.032967;0.076923;0.054945;0.236264;0.049451;0.010989;0.071429;0.005495;0.005495;0.142857;0.016484;0.005495;0.005495;0.010989;0.010989;0.076923;0.005495;0.010989;0.005495;0.010989;0.021978
pg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
pc;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.205882;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
pu;0.008403;0.050420;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.075630;0.008403;0.025210;0.411765;0.008403;0.134454;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.016807;0.008403;0.008403;0.109244;0.008403;0.008403;0.008403;0.008403
pj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
p);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
pm;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
pp;0.005525;0.005525;0.138122;0.016575;0.005525;0.005525;0.027624;0.044199;0.066298;0.458564;0.005525;0.005525;0.005525;0.110497;0.022099;0.005525;0.005525;0.005525;0.005525;0.011050;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525
pd;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
pb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
pk;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
pv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
px;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
p#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
d(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ds;0.007519;0.007519;0.007519;0.578947;0.007519;0.007519;0.007519;0.007519;0.007519;0.015038;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.052632;0.015038;0.007519;0.165414;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
do;0.001495;0.010463;0.016442;0.251121;0.092676;0.001495;0.001495;0.001495;0.008969;0.085202;0.276532;0.004484;0.001495;0.008969;0.079223;0.020927;0.026906;0.020927;0.001495;0.040359;0.029895;0.008969;0.001495;0.001495;0.001495;0.001495;0.001495;0.001495
d ;0.000331;0.063555;0.066534;0.005958;0.051970;0.039722;0.050976;0.089374;0.018537;0.020854;0.017544;0.217809;0.026812;0.024495;0.143330;0.013903;0.016551;0.010593;0.004634;0.000662;0.032109;0.014896;0.021185;0.036081;0.005296;0.004303;0.000331;0.001655
dw;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.189189;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
dh;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
dy;0.007634;0.061069;0.007634;0.625954;0.015267;0.007634;0.007634;0.007634;0.007634;0.015267;0.007634;0.007634;0.007634;0.007634;0.030534;0.007634;0.007634;0.007634;0.007634;0.083969;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634
da;0.004484;0.013453;0.004484;0.026906;0.008969;0.013453;0.475336;0.004484;0.031390;0.004484;0.103139;0.071749;0.004484;0.008969;0.008969;0.008969;0.004484;0.004484;0.004484;0.008969;0.062780;0.013453;0.058296;0.004484;0.004484;0.031390;0.004484;0.004484
dr;0.005319;0.005319;0.047872;0.005319;0.005319;0.005319;0.005319;0.047872;0.005319;0.345745;0.005319;0.005319;0.005319;0.005319;0.228723;0.005319;0.005319;0.202128;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.010638
de;0.001957;0.082192;0.021526;0.170254;0.001957;0.001957;0.001957;0.105675;0.146771;0.031311;0.095890;0.023483;0.037182;0.058708;0.001957;0.007828;0.035225;0.001957;0.001957;0.041096;0.011742;0.029354;0.054795;0.013699;0.001957;0.013699;0.001957;0.001957
dn;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.025210;0.008403;0.025210;0.008403;0.714286;0.008403;0.008403;0.025210;0.008403;0.008403;0.016807;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
dt;0.029412;0.058824;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
df;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
dl;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.196078;0.019608;0.019608;0.294118;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
di;0.001835;0.128440;0.034862;0.003670;0.001835;0.001835;0.001835;0.047706;0.011009;0.093578;0.078899;0.014679;0.113761;0.001835;0.001835;0.009174;0.089908;0.005505;0.001835;0.001835;0.022018;0.001835;0.267890;0.025688;0.001835;0.027523;0.001835;0.005505
dg;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.236842;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
dc;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.482759;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
du;0.008850;0.017699;0.008850;0.017699;0.008850;0.008850;0.008850;0.088496;0.106195;0.044248;0.008850;0.008850;0.008850;0.141593;0.008850;0.008850;0.168142;0.008850;0.008850;0.008850;0.026549;0.035398;0.194690;0.008850;0.008850;0.008850;0.008850;0.008850
dj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
d);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
dm;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.190476;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810
dp;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
dd;0.012500;0.012500;0.025000;0.075000;0.012500;0.012500;0.050000;0.037500;0.050000;0.125000;0.025000;0.012500;0.012500;0.087500;0.287500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
db;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.090909;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
dv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.090909;0.060606;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
d#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
b(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bs;0.016949;0.016949;0.152542;0.169492;0.016949;0.016949;0.016949;0.016949;0.016949;0.084746;0.016949;0.033898;0.016949;0.016949;0.067797;0.016949;0.050847;0.033898;0.016949;0.067797;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
bo;0.002770;0.008310;0.080332;0.005540;0.022161;0.002770;0.013850;0.002770;0.055402;0.005540;0.033241;0.030471;0.002770;0.011080;0.005540;0.002770;0.002770;0.476454;0.002770;0.002770;0.016620;0.002770;0.166205;0.016620;0.008310;0.005540;0.011080;0.002770
b ;0.013333;0.080000;0.040000;0.013333;0.053333;0.093333;0.040000;0.053333;0.026667;0.026667;0.013333;0.106667;0.013333;0.026667;0.093333;0.040000;0.026667;0.013333;0.013333;0.026667;0.026667;0.013333;0.053333;0.040000;0.013333;0.013333;0.013333;0.013333
bw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bh;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
by;0.009901;0.009901;0.009901;0.633663;0.009901;0.009901;0.009901;0.009901;0.009901;0.019802;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.099010;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
ba;0.003390;0.064407;0.003390;0.006780;0.003390;0.003390;0.003390;0.003390;0.074576;0.003390;0.033898;0.040678;0.003390;0.067797;0.016949;0.020339;0.379661;0.003390;0.003390;0.010169;0.013559;0.003390;0.118644;0.101695;0.003390;0.003390;0.003390;0.003390
br;0.006135;0.006135;0.147239;0.006135;0.006135;0.006135;0.006135;0.398773;0.006135;0.153374;0.006135;0.006135;0.006135;0.006135;0.141104;0.006135;0.006135;0.018405;0.006135;0.006135;0.006135;0.006135;0.006135;0.006135;0.006135;0.006135;0.006135;0.006135
be;0.001203;0.026474;0.001203;0.199759;0.001203;0.015644;0.007220;0.028881;0.091456;0.078219;0.018051;0.060168;0.036101;0.040915;0.052948;0.012034;0.267148;0.001203;0.001203;0.034898;0.001203;0.001203;0.013237;0.001203;0.001203;0.002407;0.001203;0.002407
bn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bt;0.031250;0.031250;0.031250;0.125000;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
bf;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bl;0.004425;0.004425;0.110619;0.004425;0.004425;0.004425;0.141593;0.101770;0.004425;0.442478;0.004425;0.004425;0.004425;0.004425;0.079646;0.004425;0.004425;0.026549;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425
bi;0.004878;0.063415;0.097561;0.004878;0.004878;0.004878;0.004878;0.034146;0.058537;0.029268;0.034146;0.146341;0.004878;0.160976;0.004878;0.224390;0.034146;0.004878;0.004878;0.004878;0.004878;0.004878;0.009756;0.004878;0.014634;0.004878;0.004878;0.019512
bg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bc;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bu;0.002347;0.025822;0.004695;0.002347;0.002347;0.002347;0.028169;0.002347;0.023474;0.002347;0.025822;0.769953;0.009390;0.004695;0.025822;0.004695;0.014085;0.002347;0.002347;0.002347;0.002347;0.014085;0.011737;0.002347;0.002347;0.002347;0.002347;0.004695
bj;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.228571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
b);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bm;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bd;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bb;0.025641;0.051282;0.076923;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.076923;0.025641;0.025641;0.025641;0.051282;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
bk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bv;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.325000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
bx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
b#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
k(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ks;0.007937;0.007937;0.015873;0.666667;0.007937;0.015873;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.111111;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937
ko;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
k ;0.001517;0.030349;0.056146;0.007587;0.063733;0.028832;0.050076;0.204856;0.003035;0.007587;0.010622;0.186646;0.028832;0.031866;0.183612;0.006070;0.007587;0.021244;0.004552;0.001517;0.022762;0.007587;0.009105;0.016692;0.003035;0.001517;0.001517;0.001517
kw;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
kh;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ky;0.027778;0.027778;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778
ka;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.428571;0.012987;0.025974;0.012987;0.012987;0.129870;0.012987;0.051948;0.012987;0.038961;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.025974;0.012987;0.025974;0.012987;0.012987
kr;0.023256;0.023256;0.162791;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
