smoothed;3
(;s;t;a;i;c;);v;.;o; ;n;l;r;h;e;y;,;f;u;d;g;m;p;j;w;!;k;b;x;?;q;z;#
tl;0.006494;0.006494;0.006494;0.012987;0.019481;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.376623;0.396104;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
tr;0.001828;0.001828;0.001828;0.460695;0.095064;0.001828;0.001828;0.001828;0.001828;0.093236;0.001828;0.001828;0.001828;0.001828;0.001828;0.042048;0.124314;0.001828;0.001828;0.133455;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828;0.001828
th;0.000278;0.003340;0.000278;0.178959;0.139994;0.001113;0.006401;0.000278;0.001948;0.025327;0.071806;0.000557;0.001113;0.011968;0.000278;0.543557;0.003896;0.002227;0.001392;0.001113;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000278;0.000557;0.000278;0.000278;0.000278
te;0.000951;0.050428;0.005709;0.026641;0.000951;0.003806;0.025690;0.011418;0.012369;0.000951;0.156993;0.096099;0.069458;0.328259;0.000951;0.008563;0.000951;0.009515;0.001903;0.002854;0.121789;0.011418;0.027593;0.005709;0.000951;0.000951;0.002854;0.001903;0.001903;0.006660;0.000951;0.000951;0.000951;0.000951
ty;0.003788;0.018939;0.003788;0.003788;0.003788;0.003788;0.064394;0.003788;0.068182;0.011364;0.534091;0.003788;0.026515;0.007576;0.003788;0.003788;0.003788;0.125000;0.007576;0.003788;0.003788;0.003788;0.003788;0.034091;0.003788;0.003788;0.007576;0.003788;0.003788;0.003788;0.011364;0.003788;0.003788;0.003788
t,;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.189189;0.005405;0.005405;0.005405;0.637838;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405;0.005405
tf;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.125000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
tu;0.003003;0.018018;0.012012;0.249249;0.015015;0.006006;0.003003;0.003003;0.003003;0.006006;0.003003;0.015015;0.003003;0.372372;0.003003;0.006006;0.003003;0.003003;0.051051;0.003003;0.063063;0.006006;0.021021;0.006006;0.003003;0.003003;0.003003;0.003003;0.096096;0.003003;0.003003;0.003003;0.003003;0.003003
td;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
tg;0.023256;0.023256;0.023256;0.139535;0.116279;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
tm;0.010000;0.010000;0.010000;0.060000;0.010000;0.010000;0.010000;0.010000;0.010000;0.510000;0.010000;0.010000;0.010000;0.010000;0.010000;0.120000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
tp;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.142857;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
tj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
tw;0.010989;0.010989;0.010989;0.010989;0.120879;0.010989;0.010989;0.010989;0.010989;0.230769;0.010989;0.010989;0.010989;0.010989;0.010989;0.307692;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
t!;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.113636;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
tk;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
tb;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
tx;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
t?;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.567010;0.010309;0.010309;0.010309;0.103093;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
tq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
tz;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
t#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
a(;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
as;0.001351;0.104054;0.100000;0.002703;0.051351;0.044595;0.024324;0.002703;0.010811;0.040541;0.468919;0.005405;0.002703;0.001351;0.032432;0.039189;0.002703;0.012162;0.001351;0.012162;0.001351;0.001351;0.001351;0.005405;0.001351;0.001351;0.001351;0.016216;0.001351;0.001351;0.002703;0.001351;0.001351;0.001351
at;0.000576;0.059366;0.040922;0.006916;0.156196;0.012104;0.026513;0.000576;0.019597;0.013833;0.427089;0.001153;0.001153;0.006340;0.030548;0.134870;0.000576;0.015562;0.001729;0.020173;0.000576;0.002882;0.000576;0.000576;0.000576;0.000576;0.001153;0.000576;0.001153;0.000576;0.013256;0.000576;0.000576;0.000576
aa;0.023256;0.023256;0.046512;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
ai;0.003497;0.031469;0.034965;0.003497;0.003497;0.003497;0.006993;0.010490;0.003497;0.003497;0.003497;0.454545;0.083916;0.101399;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.111888;0.048951;0.031469;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497;0.003497
ac;0.001898;0.001898;0.278937;0.015180;0.104364;0.070209;0.001898;0.001898;0.001898;0.005693;0.001898;0.001898;0.009488;0.015180;0.058824;0.148008;0.028463;0.001898;0.001898;0.007590;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.206831;0.003795;0.001898;0.001898;0.009488;0.001898;0.001898
a);0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
av;0.003175;0.003175;0.003175;0.022222;0.079365;0.003175;0.003175;0.003175;0.003175;0.019048;0.003175;0.003175;0.003175;0.003175;0.003175;0.780952;0.006349;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175
a.;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.370968;0.016129;0.032258;0.016129;0.096774;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
ao;0.025641;0.051282;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
a ;0.001070;0.094118;0.082353;0.013904;0.017112;0.087701;0.004278;0.026738;0.001070;0.021390;0.009626;0.023529;0.111230;0.028877;0.023529;0.001070;0.009626;0.001070;0.051337;0.005348;0.041711;0.047059;0.063102;0.078075;0.007487;0.060963;0.001070;0.012834;0.065241;0.001070;0.001070;0.003209;0.001070;0.001070
an;0.000449;0.076267;0.079856;0.012562;0.025572;0.035442;0.009870;0.000449;0.014805;0.007627;0.171377;0.011664;0.001346;0.000449;0.007627;0.005832;0.060565;0.017945;0.000449;0.000897;0.412293;0.022432;0.000449;0.000449;0.001795;0.000897;0.001795;0.007178;0.000897;0.003589;0.005832;0.000449;0.000449;0.000449
al;0.000770;0.040832;0.032357;0.007704;0.108629;0.003082;0.026965;0.000770;0.013097;0.013867;0.210324;0.002311;0.342835;0.014638;0.000770;0.029276;0.010015;0.007704;0.003852;0.019260;0.008475;0.002311;0.011556;0.007704;0.000770;0.017720;0.002311;0.053159;0.000770;0.000770;0.003082;0.000770;0.000770;0.000770
ar;0.000978;0.027370;0.102639;0.019550;0.050831;0.048876;0.006843;0.002933;0.005865;0.034213;0.057674;0.009775;0.028348;0.021505;0.001955;0.321603;0.040078;0.009775;0.000978;0.000978;0.070381;0.033236;0.015640;0.003910;0.000978;0.000978;0.000978;0.019550;0.008798;0.046921;0.001955;0.001955;0.000978;0.000978
ah;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.089552;0.014925;0.029851;0.014925;0.119403;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.238806;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.029851;0.029851;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.014925
ae;0.020408;0.265306;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
ay;0.002817;0.143662;0.002817;0.002817;0.104225;0.002817;0.039437;0.002817;0.070423;0.005634;0.383099;0.002817;0.005634;0.002817;0.005634;0.014085;0.005634;0.078873;0.002817;0.002817;0.005634;0.002817;0.011268;0.002817;0.002817;0.005634;0.008451;0.002817;0.042254;0.002817;0.022535;0.002817;0.002817;0.002817
a,;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.106667;0.013333;0.013333;0.013333;0.466667;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
af;0.014706;0.014706;0.205882;0.014706;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.161765;0.014706;0.044118;0.014706;0.014706;0.132353;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
au;0.005618;0.567416;0.112360;0.005618;0.005618;0.011236;0.011236;0.016854;0.011236;0.005618;0.011236;0.016854;0.039326;0.011236;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.016854;0.039326;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.016854;0.005618;0.005618;0.005618;0.005618
ad;0.002370;0.052133;0.002370;0.014218;0.097156;0.007109;0.033175;0.073460;0.028436;0.021327;0.291469;0.007109;0.004739;0.054502;0.004739;0.113744;0.052133;0.023697;0.002370;0.021327;0.035545;0.002370;0.011848;0.004739;0.007109;0.002370;0.004739;0.002370;0.004739;0.002370;0.007109;0.002370;0.002370;0.002370
ag;0.003876;0.003876;0.003876;0.197674;0.108527;0.003876;0.003876;0.003876;0.007752;0.046512;0.027132;0.027132;0.003876;0.058140;0.003876;0.364341;0.003876;0.003876;0.003876;0.023256;0.003876;0.042636;0.003876;0.007752;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876
am;0.003322;0.013289;0.003322;0.043189;0.089701;0.003322;0.003322;0.003322;0.029900;0.109635;0.096346;0.059801;0.003322;0.003322;0.003322;0.352159;0.009967;0.026578;0.003322;0.006645;0.003322;0.003322;0.003322;0.053156;0.003322;0.003322;0.003322;0.003322;0.036545;0.003322;0.006645;0.003322;0.003322;0.003322
ap;0.003650;0.062044;0.021898;0.036496;0.193431;0.003650;0.010949;0.003650;0.018248;0.043796;0.051095;0.003650;0.007299;0.018248;0.032847;0.058394;0.003650;0.021898;0.003650;0.007299;0.007299;0.003650;0.003650;0.343066;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650;0.003650
aj;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.234043;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
aw;0.013158;0.065789;0.013158;0.236842;0.039474;0.013158;0.013158;0.013158;0.013158;0.013158;0.078947;0.013158;0.039474;0.013158;0.026316;0.013158;0.039474;0.039474;0.013158;0.013158;0.013158;0.013158;0.026316;0.013158;0.013158;0.026316;0.013158;0.078947;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
a!;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ak;0.005000;0.010000;0.005000;0.010000;0.110000;0.005000;0.005000;0.005000;0.010000;0.005000;0.050000;0.005000;0.005000;0.005000;0.010000;0.630000;0.005000;0.025000;0.005000;0.015000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.010000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000
ab;0.002500;0.030000;0.002500;0.010000;0.040000;0.002500;0.002500;0.002500;0.002500;0.540000;0.007500;0.002500;0.177500;0.005000;0.002500;0.010000;0.022500;0.002500;0.002500;0.040000;0.002500;0.002500;0.002500;0.002500;0.005000;0.002500;0.002500;0.002500;0.057500;0.002500;0.002500;0.002500;0.002500;0.002500
ax;0.018519;0.018519;0.018519;0.018519;0.148148;0.018519;0.018519;0.018519;0.055556;0.018519;0.185185;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519
a?;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
aq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
az;0.017241;0.017241;0.017241;0.017241;0.275862;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.103448;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241
a#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
i(;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
is;0.000645;0.016774;0.173548;0.007742;0.023226;0.014839;0.023226;0.000645;0.017419;0.016774;0.476774;0.013548;0.004516;0.001935;0.020000;0.020000;0.000645;0.026452;0.003871;0.001290;0.000645;0.005161;0.105161;0.009677;0.000645;0.000645;0.001935;0.001935;0.000645;0.000645;0.007097;0.000645;0.000645;0.000645
it;0.000707;0.154880;0.033239;0.062942;0.094767;0.005658;0.008487;0.000707;0.043847;0.008487;0.189533;0.000707;0.007072;0.000707;0.164074;0.078501;0.091231;0.016973;0.000707;0.016266;0.000707;0.000707;0.000707;0.001414;0.000707;0.000707;0.002829;0.000707;0.001414;0.000707;0.006365;0.000707;0.002122;0.000707
ia;0.003497;0.006993;0.083916;0.003497;0.003497;0.003497;0.010490;0.003497;0.031469;0.003497;0.052448;0.220280;0.339161;0.041958;0.013986;0.003497;0.003497;0.055944;0.003497;0.003497;0.003497;0.013986;0.017483;0.003497;0.003497;0.003497;0.017483;0.003497;0.013986;0.003497;0.013986;0.003497;0.003497;0.003497
ii;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ic;0.001431;0.060086;0.051502;0.221745;0.077253;0.001431;0.054363;0.001431;0.012876;0.008584;0.107296;0.001431;0.004292;0.002861;0.134478;0.104435;0.005722;0.014306;0.001431;0.037196;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431;0.077253;0.001431;0.001431;0.001431;0.001431;0.001431;0.001431
i);0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
iv;0.003175;0.003175;0.003175;0.038095;0.263492;0.003175;0.003175;0.003175;0.003175;0.009524;0.003175;0.003175;0.003175;0.003175;0.003175;0.593651;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175;0.003175
i.;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.052632;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
io;0.001859;0.003717;0.007435;0.001859;0.001859;0.003717;0.005576;0.001859;0.001859;0.001859;0.007435;0.786245;0.040892;0.014870;0.001859;0.001859;0.001859;0.003717;0.001859;0.068773;0.009294;0.001859;0.003717;0.001859;0.001859;0.003717;0.001859;0.001859;0.001859;0.001859;0.003717;0.001859;0.001859;0.001859
