smoothed;3
(;b;u;t; ;o;c;h;a;n;g;e;p;i;s;j;y;w;r;);l;k;v;m;f;d;x;#
kh;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
ka;0.001692;0.077834;0.003384;0.032149;0.060914;0.001692;0.003384;0.001692;0.001692;0.028765;0.023689;0.005076;0.010152;0.003384;0.006768;0.001692;0.664975;0.001692;0.025381;0.008460;0.013536;0.001692;0.001692;0.003384;0.001692;0.001692;0.001692;0.010152
kn;0.000405;0.000405;0.001214;0.000405;0.000405;0.946985;0.000405;0.000405;0.005261;0.000405;0.000405;0.031566;0.000405;0.005261;0.000405;0.000405;0.000405;0.000405;0.000809;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405;0.000405
kg;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.403846;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
ke;0.000106;0.000211;0.000845;0.018918;0.767174;0.000317;0.000106;0.000317;0.001057;0.022194;0.000106;0.024308;0.005918;0.000845;0.033819;0.000106;0.010357;0.000106;0.027795;0.026527;0.005813;0.000106;0.005496;0.000528;0.000423;0.046290;0.000106;0.000106
kp;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.111111;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.288889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ki;0.000296;0.000296;0.000296;0.005915;0.006803;0.000296;0.013605;0.000296;0.000592;0.803017;0.000296;0.004141;0.004437;0.001775;0.007394;0.000296;0.000296;0.000296;0.007098;0.000592;0.066253;0.000296;0.000296;0.004732;0.000296;0.069506;0.000296;0.000296
ks;0.001232;0.001232;0.001232;0.011084;0.866995;0.014778;0.002463;0.004926;0.002463;0.001232;0.003695;0.004926;0.001232;0.001232;0.001232;0.001232;0.001232;0.002463;0.001232;0.061576;0.001232;0.001232;0.001232;0.003695;0.001232;0.001232;0.001232;0.001232
kj;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ky;0.007194;0.007194;0.007194;0.007194;0.618705;0.014388;0.007194;0.007194;0.028777;0.014388;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.007194;0.021583;0.115108;0.028777;0.007194;0.007194;0.007194;0.007194;0.014388;0.007194;0.007194
kw;0.020000;0.020000;0.020000;0.020000;0.020000;0.080000;0.020000;0.020000;0.380000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
kr;0.014706;0.014706;0.191176;0.014706;0.014706;0.088235;0.014706;0.014706;0.176471;0.014706;0.014706;0.014706;0.014706;0.161765;0.014706;0.014706;0.044118;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
k);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
kl;0.004831;0.004831;0.004831;0.004831;0.004831;0.019324;0.004831;0.004831;0.202899;0.004831;0.004831;0.241546;0.004831;0.072464;0.004831;0.004831;0.352657;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831;0.004831
kk;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
kv;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
km;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.205882;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
kf;0.024390;0.024390;0.073171;0.024390;0.024390;0.097561;0.024390;0.024390;0.170732;0.024390;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
kd;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
kx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
k#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
v(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vu;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.363636;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
vt;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
v ;0.008264;0.016529;0.008264;0.057851;0.008264;0.074380;0.057851;0.082645;0.140496;0.016529;0.016529;0.008264;0.024793;0.090909;0.099174;0.016529;0.008264;0.115702;0.008264;0.008264;0.016529;0.008264;0.008264;0.041322;0.024793;0.016529;0.008264;0.008264
vo;0.001125;0.001125;0.019123;0.451069;0.007874;0.002250;0.047244;0.001125;0.001125;0.007874;0.003375;0.001125;0.001125;0.068616;0.003375;0.001125;0.005624;0.004499;0.186727;0.002250;0.154106;0.007874;0.001125;0.006749;0.001125;0.004499;0.005624;0.001125
vc;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vh;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
va;0.001241;0.009926;0.002481;0.310174;0.006203;0.001241;0.027295;0.008685;0.001241;0.171216;0.033499;0.001241;0.006203;0.045906;0.084367;0.002481;0.001241;0.001241;0.088089;0.002481;0.155087;0.002481;0.001241;0.003722;0.001241;0.027295;0.001241;0.001241
vn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ve;0.000083;0.000083;0.000083;0.001665;0.443501;0.000083;0.000167;0.000916;0.001416;0.103506;0.001249;0.000250;0.000083;0.001665;0.048464;0.000083;0.000666;0.000083;0.333583;0.012491;0.022150;0.000083;0.000083;0.009743;0.000083;0.017487;0.000167;0.000083
vp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vi;0.000394;0.003151;0.000788;0.027570;0.001575;0.093738;0.073257;0.000394;0.014179;0.221741;0.003545;0.177629;0.001575;0.000394;0.090193;0.000394;0.000394;0.000394;0.067349;0.000394;0.072863;0.002363;0.016936;0.000788;0.000394;0.126428;0.000394;0.000788
vs;0.022222;0.022222;0.022222;0.022222;0.355556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
vj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vy;0.013158;0.013158;0.013158;0.013158;0.565789;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.026316;0.013158;0.013158;0.013158;0.026316;0.013158;0.065789;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
vw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vr;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.151515;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
v);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vl;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
vk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vv;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vm;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vf;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
vd;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
vx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
v#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
m(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
mb;0.001188;0.001188;0.026128;0.001188;0.076010;0.035629;0.001188;0.002375;0.057007;0.001188;0.001188;0.580760;0.001188;0.078385;0.021378;0.001188;0.003563;0.001188;0.019002;0.008314;0.072447;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188;0.001188
mu;0.001167;0.002334;0.001167;0.022170;0.001167;0.001167;0.385064;0.016336;0.001167;0.130688;0.017503;0.005834;0.003501;0.001167;0.214702;0.001167;0.001167;0.001167;0.082847;0.001167;0.064177;0.001167;0.001167;0.032672;0.001167;0.003501;0.001167;0.002334
mt;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303
m ;0.000180;0.050523;0.009563;0.167268;0.000180;0.062432;0.022194;0.033742;0.150126;0.034825;0.036268;0.013353;0.023096;0.094190;0.060267;0.014435;0.017864;0.061891;0.018224;0.000180;0.034284;0.003970;0.005233;0.025623;0.037351;0.021653;0.000180;0.000902
mo;0.000248;0.014626;0.038919;0.037432;0.005702;0.007933;0.110312;0.000248;0.001487;0.168567;0.002975;0.000496;0.001487;0.001735;0.129400;0.000744;0.000496;0.000992;0.259296;0.000496;0.003718;0.011155;0.123699;0.036440;0.000248;0.040654;0.000248;0.000248
mc;0.004132;0.004132;0.004132;0.004132;0.008264;0.004132;0.640496;0.016529;0.132231;0.004132;0.024793;0.004132;0.004132;0.012397;0.004132;0.004132;0.004132;0.004132;0.004132;0.004132;0.004132;0.033058;0.008264;0.008264;0.004132;0.041322;0.004132;0.004132
mh;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258
ma;0.000190;0.002277;0.000759;0.097135;0.042876;0.000759;0.018972;0.001328;0.000759;0.234491;0.043066;0.000190;0.003035;0.029975;0.046291;0.017264;0.065642;0.000379;0.112882;0.003035;0.054449;0.132802;0.000569;0.001518;0.004174;0.065073;0.003225;0.016885
mn;0.007692;0.007692;0.007692;0.007692;0.446154;0.007692;0.007692;0.007692;0.038462;0.007692;0.007692;0.153846;0.007692;0.100000;0.053846;0.007692;0.007692;0.007692;0.007692;0.038462;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692
mg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
me;0.000104;0.010974;0.000104;0.063050;0.347448;0.022259;0.001553;0.002899;0.111088;0.156331;0.007454;0.007247;0.000414;0.000207;0.062015;0.000104;0.001346;0.004141;0.087069;0.024019;0.008179;0.000104;0.000207;0.029506;0.000207;0.049695;0.002071;0.000207
mp;0.000473;0.000947;0.025095;0.045455;0.231061;0.082386;0.000473;0.004735;0.162405;0.000473;0.000473;0.077178;0.000473;0.033617;0.045928;0.000473;0.002841;0.000473;0.047822;0.020360;0.213542;0.000473;0.000473;0.000473;0.000473;0.000473;0.000473;0.000473
mi;0.000354;0.000354;0.003541;0.083215;0.004958;0.000354;0.097734;0.000354;0.003187;0.334986;0.080737;0.012394;0.000354;0.000354;0.090652;0.000354;0.000354;0.000354;0.016997;0.001062;0.195467;0.007082;0.000354;0.002125;0.000354;0.050992;0.007790;0.003187
ms;0.001656;0.003311;0.001656;0.033113;0.650662;0.028146;0.001656;0.001656;0.004967;0.003311;0.001656;0.200331;0.001656;0.006623;0.001656;0.001656;0.001656;0.001656;0.001656;0.034768;0.001656;0.001656;0.001656;0.003311;0.003311;0.001656;0.001656;0.001656
mj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
my;0.000726;0.000726;0.000726;0.011611;0.888970;0.000726;0.000726;0.000726;0.000726;0.000726;0.000726;0.001451;0.000726;0.000726;0.055152;0.000726;0.000726;0.000726;0.000726;0.026125;0.000726;0.000726;0.000726;0.000726;0.000726;0.000726;0.000726;0.000726
mw;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
mr;0.010309;0.010309;0.010309;0.010309;0.618557;0.020619;0.010309;0.010309;0.041237;0.010309;0.010309;0.020619;0.010309;0.010309;0.030928;0.010309;0.010309;0.010309;0.010309;0.041237;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309;0.010309
m);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ml;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.136364;0.022727;0.045455;0.022727;0.022727;0.227273;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
mk;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
mv;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
mm;0.001520;0.001520;0.158055;0.001520;0.010638;0.068389;0.001520;0.003040;0.060790;0.001520;0.001520;0.355623;0.001520;0.255319;0.003040;0.001520;0.054711;0.001520;0.001520;0.001520;0.003040;0.001520;0.001520;0.001520;0.001520;0.001520;0.001520;0.001520
mf;0.017857;0.017857;0.017857;0.017857;0.017857;0.517857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
md;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
mx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
m#;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
f(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fu;0.000458;0.000458;0.000458;0.041705;0.000458;0.000458;0.541705;0.000458;0.000458;0.162695;0.006874;0.005500;0.000458;0.000458;0.021082;0.000458;0.000458;0.000458;0.023373;0.000458;0.185151;0.001375;0.000458;0.001375;0.000458;0.000458;0.000458;0.001375
ft;0.001179;0.007075;0.001179;0.001179;0.288915;0.003538;0.001179;0.016509;0.005896;0.001179;0.001179;0.474057;0.001179;0.030660;0.008255;0.001179;0.112028;0.005896;0.001179;0.021226;0.007075;0.001179;0.001179;0.001179;0.001179;0.001179;0.001179;0.001179
f ;0.000092;0.024512;0.009712;0.290630;0.000370;0.041347;0.045509;0.045509;0.093516;0.011840;0.015540;0.018777;0.043012;0.059106;0.040977;0.009435;0.071501;0.039312;0.017112;0.000185;0.040052;0.005550;0.005642;0.029692;0.020720;0.019147;0.000092;0.001110
fo;0.000206;0.000206;0.049784;0.000206;0.000823;0.037235;0.009257;0.000206;0.000411;0.001234;0.001646;0.000411;0.000206;0.000411;0.001029;0.000206;0.000206;0.000823;0.850648;0.000206;0.037029;0.000206;0.000206;0.000617;0.000206;0.000411;0.005760;0.000206
fc;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
fh;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fa;0.000577;0.004037;0.013264;0.079585;0.001730;0.000577;0.225490;0.000577;0.000577;0.094002;0.001153;0.000577;0.000577;0.100346;0.070358;0.000577;0.001730;0.000577;0.102653;0.000577;0.046136;0.023645;0.077855;0.147059;0.000577;0.002884;0.001730;0.000577
fn;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fg;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.200000;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
fe;0.000456;0.003651;0.006846;0.021908;0.152442;0.000456;0.093108;0.000456;0.032862;0.044728;0.000913;0.150160;0.000456;0.004564;0.051575;0.000456;0.000456;0.073482;0.202191;0.021908;0.077590;0.000456;0.001369;0.012780;0.000456;0.043359;0.000456;0.000456
fp;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fi;0.000398;0.001195;0.000398;0.045418;0.002789;0.000797;0.118327;0.000398;0.010757;0.207570;0.088845;0.039044;0.000398;0.000398;0.024701;0.000398;0.000398;0.000398;0.207570;0.000797;0.072112;0.000398;0.084861;0.000398;0.065339;0.007570;0.015936;0.002390
fs;0.017544;0.017544;0.017544;0.017544;0.438596;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.070175;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
fj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
fy;0.007937;0.007937;0.007937;0.007937;0.436508;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.349206;0.007937;0.007937;0.007937;0.007937;0.007937;0.015873;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937
fw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.181818;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
fr;0.000483;0.000483;0.009174;0.000483;0.000483;0.578465;0.000483;0.000483;0.121680;0.000483;0.000483;0.128923;0.000483;0.149203;0.000483;0.000483;0.001931;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483
f);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
