smoothed;3
(;w;h;o;s; ;l;i;b;e;r;a;c;);y;u;m;n;k;p;d;t;g;x;v;f;j;q;z;.;,;#
kg;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.507937;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
kx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
kv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
kf;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.046512;0.116279;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
kj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
kq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
kz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
k.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
k,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
k#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
p(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pw;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ph;0.002188;0.002188;0.002188;0.323851;0.010941;0.052516;0.002188;0.172867;0.002188;0.188184;0.030635;0.039387;0.002188;0.010941;0.105033;0.002188;0.002188;0.002188;0.002188;0.002188;0.017505;0.002188;0.002188;0.002188;0.002188;0.002188;0.002188;0.002188;0.002188;0.002188;0.002188;0.002188
po;0.000387;0.031758;0.000387;0.024787;0.178931;0.004648;0.168474;0.165763;0.000387;0.001549;0.194423;0.000387;0.013555;0.001162;0.000387;0.014717;0.004260;0.082494;0.018590;0.042990;0.010844;0.028660;0.000387;0.000775;0.005809;0.001162;0.000387;0.000387;0.000387;0.000387;0.000387;0.000387
ps;0.003226;0.003226;0.009677;0.006452;0.003226;0.522581;0.003226;0.009677;0.003226;0.096774;0.003226;0.003226;0.006452;0.148387;0.064516;0.006452;0.003226;0.003226;0.003226;0.003226;0.003226;0.058065;0.003226;0.003226;0.003226;0.003226;0.003226;0.003226;0.003226;0.003226;0.003226;0.003226
p ;0.000564;0.063134;0.040023;0.096392;0.049042;0.005073;0.015220;0.122886;0.050733;0.006201;0.028185;0.124577;0.025930;0.002255;0.049042;0.014092;0.027621;0.011274;0.006201;0.027621;0.019166;0.151635;0.014656;0.001127;0.004510;0.033822;0.002255;0.004510;0.000564;0.000564;0.000564;0.000564
pl;0.000347;0.000347;0.000347;0.021483;0.000347;0.000347;0.000347;0.027720;0.000347;0.686417;0.000347;0.215870;0.000347;0.000347;0.027374;0.012128;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347
pi;0.000964;0.000964;0.000964;0.018322;0.095468;0.002893;0.037608;0.000964;0.000964;0.069431;0.123433;0.014465;0.189971;0.000964;0.000964;0.001929;0.002893;0.246866;0.001929;0.014465;0.052073;0.081003;0.013500;0.000964;0.016393;0.000964;0.000964;0.000964;0.003857;0.000964;0.000964;0.000964
pb;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.105263;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
pe;0.000227;0.000681;0.000227;0.321080;0.008623;0.066712;0.007488;0.000227;0.000227;0.049467;0.203313;0.059451;0.081234;0.011346;0.000454;0.000227;0.000227;0.116860;0.000227;0.000681;0.042206;0.020876;0.000681;0.000227;0.000227;0.005446;0.000227;0.000227;0.000227;0.000227;0.000227;0.000227
pr;0.000367;0.000367;0.000367;0.431509;0.000367;0.003305;0.000367;0.161954;0.000367;0.348880;0.000367;0.042967;0.000367;0.000734;0.001102;0.000734;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367
pa;0.000632;0.003159;0.001895;0.006317;0.080227;0.006949;0.023373;0.084649;0.016425;0.001263;0.380922;0.000632;0.059381;0.002527;0.075174;0.017056;0.001263;0.088440;0.000632;0.027795;0.008844;0.082754;0.022110;0.000632;0.002527;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632;0.000632
pc;0.019608;0.019608;0.039216;0.117647;0.156863;0.117647;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
p);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
py;0.006711;0.006711;0.006711;0.006711;0.006711;0.684564;0.006711;0.026846;0.006711;0.006711;0.013423;0.006711;0.006711;0.087248;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711
pu;0.001041;0.001041;0.001041;0.001041;0.111342;0.001041;0.126951;0.001041;0.211238;0.003122;0.109261;0.001041;0.002081;0.001041;0.001041;0.001041;0.010406;0.036420;0.001041;0.004162;0.006243;0.348595;0.003122;0.001041;0.001041;0.007284;0.001041;0.001041;0.001041;0.001041;0.001041;0.001041
pm;0.019231;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.326923;0.019231;0.057692;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
pn;0.028571;0.028571;0.028571;0.028571;0.057143;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
pk;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
pp;0.000802;0.000802;0.000802;0.234162;0.004812;0.009623;0.089816;0.047314;0.000802;0.338412;0.158781;0.039294;0.000802;0.000802;0.055333;0.000802;0.002406;0.000802;0.000802;0.002406;0.000802;0.000802;0.000802;0.000802;0.000802;0.000802;0.000802;0.001604;0.000802;0.000802;0.000802;0.000802
pd;0.022727;0.022727;0.022727;0.045455;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
pt;0.002469;0.004938;0.009877;0.027160;0.022222;0.219753;0.007407;0.427160;0.002469;0.111111;0.004938;0.039506;0.004938;0.039506;0.007407;0.029630;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469;0.002469
pg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
px;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
pf;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
pj;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
pq;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
p.;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.205128;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
p,;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
p#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
d(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dw;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.235294;0.019608;0.058824;0.039216;0.117647;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
dh;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.047619;0.023810;0.095238;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
do;0.000199;0.071088;0.000199;0.011716;0.001986;0.254369;0.019460;0.035544;0.000199;0.104448;0.005560;0.000199;0.018864;0.030183;0.000199;0.014297;0.022438;0.376092;0.000199;0.004766;0.001390;0.007347;0.015290;0.000993;0.000397;0.000397;0.000397;0.000199;0.000993;0.000199;0.000199;0.000199
ds;0.001199;0.003597;0.005995;0.005995;0.001199;0.790168;0.002398;0.004796;0.002398;0.009592;0.001199;0.001199;0.001199;0.135492;0.001199;0.001199;0.002398;0.001199;0.001199;0.001199;0.001199;0.011990;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199
d ;0.000056;0.057951;0.049394;0.070397;0.064841;0.001611;0.020280;0.121514;0.050228;0.013946;0.011890;0.102345;0.024225;0.000389;0.055784;0.013390;0.028336;0.020336;0.003889;0.021058;0.016446;0.201245;0.012057;0.000111;0.002723;0.025670;0.007723;0.001667;0.000167;0.000111;0.000167;0.000056
dl;0.003906;0.003906;0.003906;0.027344;0.003906;0.007812;0.003906;0.105469;0.003906;0.464844;0.003906;0.003906;0.003906;0.007812;0.285156;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906;0.003906
di;0.000297;0.000297;0.000297;0.037719;0.137511;0.001188;0.004752;0.000297;0.016632;0.059697;0.024651;0.096822;0.046332;0.000891;0.000297;0.002673;0.005940;0.129492;0.000891;0.003564;0.267003;0.047520;0.003564;0.000297;0.021384;0.086724;0.000297;0.000297;0.001782;0.000297;0.000297;0.000297
db;0.016667;0.016667;0.016667;0.066667;0.016667;0.016667;0.050000;0.083333;0.016667;0.066667;0.016667;0.233333;0.016667;0.016667;0.033333;0.050000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
de;0.000227;0.001591;0.000227;0.066121;0.055669;0.125880;0.017496;0.000454;0.012952;0.008862;0.250398;0.089980;0.036810;0.019541;0.000454;0.000682;0.032038;0.104294;0.000454;0.018405;0.062031;0.024313;0.005226;0.001818;0.012043;0.049534;0.000227;0.000909;0.000682;0.000227;0.000227;0.000227
dr;0.001689;0.001689;0.001689;0.094595;0.001689;0.008446;0.001689;0.189189;0.001689;0.383446;0.001689;0.157095;0.001689;0.001689;0.023649;0.067568;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.035473;0.001689;0.001689
da;0.000716;0.002149;0.003582;0.000716;0.011461;0.071633;0.025072;0.029370;0.009312;0.002149;0.048711;0.000716;0.007163;0.019341;0.412607;0.020774;0.085960;0.089542;0.000716;0.002149;0.041547;0.085960;0.002149;0.002149;0.019341;0.000716;0.000716;0.000716;0.000716;0.000716;0.000716;0.000716
dc;0.010526;0.010526;0.010526;0.073684;0.021053;0.189474;0.042105;0.010526;0.010526;0.021053;0.010526;0.315789;0.010526;0.073684;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526;0.010526
d);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dy;0.001445;0.001445;0.001445;0.001445;0.037572;0.745665;0.002890;0.024566;0.004335;0.002890;0.001445;0.001445;0.001445;0.137283;0.001445;0.001445;0.002890;0.007225;0.002890;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445
du;0.001934;0.001934;0.001934;0.001934;0.069632;0.001934;0.052224;0.001934;0.003868;0.034816;0.094778;0.108317;0.381044;0.001934;0.001934;0.001934;0.088975;0.019342;0.005803;0.036750;0.046422;0.019342;0.003868;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934
dm;0.005917;0.005917;0.005917;0.029586;0.005917;0.005917;0.005917;0.284024;0.005917;0.396450;0.005917;0.124260;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917;0.005917
dn;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.010944;0.001368;0.027360;0.001368;0.017784;0.025992;0.001368;0.001368;0.002736;0.001368;0.001368;0.001368;0.001368;0.001368;0.879617;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368
dk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dp;0.016949;0.016949;0.152542;0.067797;0.016949;0.118644;0.033898;0.016949;0.016949;0.016949;0.050847;0.135593;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
dd;0.003165;0.003165;0.003165;0.003165;0.015823;0.145570;0.199367;0.174051;0.003165;0.164557;0.088608;0.012658;0.003165;0.028481;0.098101;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165;0.003165
dt;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.073171;0.073171;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
dg;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.063415;0.004878;0.600000;0.014634;0.004878;0.004878;0.004878;0.009756;0.160976;0.024390;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878
dx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dv;0.008130;0.008130;0.008130;0.260163;0.008130;0.008130;0.008130;0.219512;0.008130;0.121951;0.008130;0.170732;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130
df;0.018519;0.018519;0.018519;0.018519;0.018519;0.055556;0.018519;0.055556;0.018519;0.018519;0.018519;0.166667;0.055556;0.018519;0.018519;0.166667;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
dj;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.050000;0.025000;0.050000;0.025000;0.125000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
dq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
