smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
ej;0.020833;0.020833;0.270833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
eh;0.005102;0.005102;0.071429;0.005102;0.005102;0.316327;0.005102;0.005102;0.005102;0.005102;0.010204;0.005102;0.239796;0.005102;0.020408;0.168367;0.005102;0.005102;0.040816;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102
en;0.000095;0.000095;0.043046;0.002460;0.059792;0.012677;0.000189;0.291107;0.342763;0.000095;0.072375;0.039073;0.029707;0.002176;0.001325;0.024219;0.001798;0.000284;0.008420;0.047114;0.002554;0.004257;0.002460;0.000284;0.010596;0.000095;0.000095;0.000095;0.000378;0.000095;0.000095;0.000095;0.000095
e);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ef;0.000942;0.000942;0.152542;0.021657;0.000942;0.306026;0.000942;0.034840;0.068738;0.000942;0.000942;0.010358;0.009416;0.000942;0.010358;0.104520;0.000942;0.000942;0.000942;0.012241;0.129002;0.117702;0.003766;0.000942;0.000942;0.000942;0.000942;0.000942;0.000942;0.000942;0.000942;0.000942;0.000942
eu;0.008929;0.008929;0.017857;0.026786;0.008929;0.008929;0.017857;0.026786;0.160714;0.089286;0.017857;0.008929;0.008929;0.026786;0.294643;0.008929;0.008929;0.008929;0.116071;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
ey;0.000328;0.000328;0.014764;0.012795;0.000984;0.012795;0.000656;0.640092;0.000328;0.000328;0.007874;0.008530;0.000328;0.027559;0.155184;0.000328;0.000328;0.000656;0.000984;0.110236;0.000328;0.000328;0.000328;0.000328;0.000328;0.000656;0.000328;0.000328;0.000328;0.000328;0.000328;0.000328;0.000328
ek;0.002959;0.002959;0.221893;0.020710;0.002959;0.002959;0.002959;0.355030;0.002959;0.002959;0.002959;0.198225;0.008876;0.002959;0.002959;0.044379;0.002959;0.002959;0.002959;0.071006;0.002959;0.005917;0.002959;0.002959;0.002959;0.002959;0.002959;0.002959;0.002959;0.002959;0.002959;0.002959;0.002959
eg;0.001130;0.001130;0.096045;0.002260;0.001130;0.084746;0.012429;0.006780;0.001130;0.001130;0.001130;0.003390;0.296045;0.001130;0.061017;0.281356;0.001130;0.002260;0.005650;0.001130;0.001130;0.042938;0.067797;0.001130;0.015819;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130
eb;0.003003;0.003003;0.024024;0.006006;0.003003;0.261261;0.006006;0.015015;0.060060;0.003003;0.003003;0.051051;0.282282;0.003003;0.132132;0.006006;0.003003;0.003003;0.003003;0.009009;0.003003;0.072072;0.009009;0.003003;0.003003;0.006006;0.003003;0.003003;0.003003;0.003003;0.003003;0.006006;0.003003
ez;0.012048;0.012048;0.180723;0.012048;0.012048;0.012048;0.012048;0.180723;0.012048;0.012048;0.012048;0.060241;0.012048;0.012048;0.024096;0.036145;0.012048;0.012048;0.012048;0.084337;0.024096;0.084337;0.012048;0.012048;0.012048;0.024096;0.024096;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048
ex;0.000932;0.000932;0.036347;0.000932;0.124884;0.005592;0.001864;0.012116;0.232060;0.219012;0.000932;0.000932;0.178006;0.000932;0.000932;0.096925;0.000932;0.004660;0.000932;0.003728;0.000932;0.058714;0.001864;0.000932;0.001864;0.001864;0.000932;0.000932;0.004660;0.000932;0.000932;0.000932;0.000932
eq;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.013072;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.784314;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
e.;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
e,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
eé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
e#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lw;0.005556;0.005556;0.005556;0.005556;0.005556;0.011111;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.811111;0.005556;0.005556;0.011111;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556
le;0.000142;0.002265;0.003964;0.001416;0.046014;0.000849;0.028458;0.383406;0.067393;0.002832;0.060739;0.044740;0.140167;0.021945;0.034121;0.001133;0.000425;0.000566;0.027609;0.059323;0.009769;0.000142;0.006230;0.000142;0.048846;0.004814;0.000283;0.001416;0.000283;0.000142;0.000142;0.000142;0.000142
ll;0.000145;0.000868;0.102315;0.000145;0.000868;0.023300;0.000434;0.427207;0.000724;0.000289;0.000145;0.018090;0.028075;0.000289;0.000579;0.078148;0.000145;0.000289;0.000434;0.068017;0.001013;0.004776;0.240955;0.000434;0.000145;0.001158;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145
lc;0.009346;0.009346;0.009346;0.018692;0.009346;0.551402;0.009346;0.037383;0.009346;0.009346;0.009346;0.018692;0.009346;0.009346;0.009346;0.009346;0.009346;0.037383;0.009346;0.009346;0.009346;0.074766;0.018692;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346
lo;0.000384;0.077603;0.001921;0.000768;0.023434;0.192854;0.016519;0.004994;0.190934;0.011909;0.003073;0.109489;0.015367;0.093354;0.032655;0.001921;0.000384;0.000384;0.117557;0.000768;0.000384;0.021129;0.011141;0.000384;0.043796;0.024203;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384;0.000384
lm;0.007299;0.007299;0.036496;0.007299;0.007299;0.437956;0.007299;0.182482;0.007299;0.007299;0.007299;0.014599;0.014599;0.007299;0.007299;0.072993;0.007299;0.007299;0.014599;0.043796;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299
l ;0.000171;0.054862;0.017604;0.030593;0.051273;0.070928;0.029568;0.001880;0.159460;0.034353;0.028029;0.065459;0.093830;0.007007;0.054521;0.077935;0.009571;0.038284;0.020851;0.000171;0.024782;0.008033;0.027858;0.009058;0.020509;0.058281;0.000171;0.000171;0.004102;0.000171;0.000171;0.000171;0.000171
lt;0.001339;0.001339;0.062918;0.001339;0.001339;0.041499;0.001339;0.226238;0.001339;0.001339;0.005355;0.048193;0.024096;0.001339;0.004016;0.244980;0.001339;0.143240;0.001339;0.046854;0.001339;0.046854;0.077644;0.001339;0.001339;0.001339;0.001339;0.001339;0.001339;0.001339;0.001339;0.001339;0.001339
lp;0.004717;0.004717;0.089623;0.004717;0.004717;0.009434;0.004717;0.396226;0.004717;0.004717;0.004717;0.033019;0.009434;0.004717;0.009434;0.150943;0.004717;0.047170;0.004717;0.070755;0.075472;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717
ld;0.000351;0.001054;0.015104;0.002107;0.001054;0.004566;0.001054;0.749210;0.000351;0.000351;0.000351;0.010186;0.000702;0.002107;0.009835;0.023182;0.000351;0.001405;0.057956;0.110292;0.002810;0.000351;0.000351;0.000351;0.000351;0.001756;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351
ls;0.000799;0.000799;0.105516;0.000799;0.000799;0.448441;0.000799;0.353317;0.003997;0.000799;0.000799;0.001599;0.001599;0.000799;0.000799;0.009592;0.000799;0.001599;0.000799;0.054357;0.000799;0.000799;0.001599;0.000799;0.000799;0.000799;0.000799;0.000799;0.000799;0.000799;0.000799;0.000799;0.000799
la;0.000349;0.083014;0.000349;0.000349;0.100802;0.000349;0.023718;0.014649;0.181025;0.006627;0.018486;0.109522;0.000349;0.004883;0.132543;0.057551;0.000349;0.017789;0.114754;0.002442;0.000349;0.040809;0.054412;0.009069;0.008022;0.010115;0.003837;0.001395;0.000698;0.000349;0.000349;0.000349;0.000349
lv;0.003937;0.003937;0.716535;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.102362;0.003937;0.003937;0.062992;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937
lr;0.006993;0.006993;0.685315;0.006993;0.006993;0.020979;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.069930;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.020979;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993
li;0.000139;0.000139;0.078630;0.000139;0.131743;0.016364;0.013452;0.002635;0.136458;0.008182;0.002774;0.051727;0.014145;0.028013;0.000139;0.000139;0.000693;0.000693;0.099986;0.001248;0.020802;0.000416;0.000139;0.341423;0.024823;0.011510;0.012065;0.000416;0.000416;0.000139;0.000139;0.000139;0.000139
lj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lh;0.027778;0.027778;0.055556;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ln;0.018519;0.018519;0.388889;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
l);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lf;0.002985;0.005970;0.020896;0.002985;0.002985;0.002985;0.005970;0.638806;0.002985;0.005970;0.005970;0.005970;0.017910;0.002985;0.023881;0.041791;0.002985;0.002985;0.002985;0.137313;0.008955;0.014925;0.005970;0.002985;0.002985;0.005970;0.002985;0.002985;0.002985;0.002985;0.002985;0.002985;0.002985
lu;0.001859;0.001859;0.237918;0.003717;0.042751;0.001859;0.094796;0.001859;0.154275;0.005576;0.161710;0.102230;0.014870;0.001859;0.029740;0.001859;0.001859;0.001859;0.057621;0.001859;0.011152;0.001859;0.001859;0.005576;0.014870;0.027881;0.001859;0.003717;0.001859;0.001859;0.001859;0.001859;0.001859
ly;0.000258;0.004128;0.000258;0.000258;0.000258;0.000774;0.001032;0.813209;0.001290;0.000258;0.000774;0.008256;0.000516;0.000258;0.000516;0.018834;0.000258;0.000258;0.006708;0.136739;0.000258;0.000258;0.000258;0.000516;0.001290;0.000258;0.000774;0.000258;0.000258;0.000258;0.000258;0.000258;0.000258
lk;0.001156;0.001156;0.197688;0.001156;0.001156;0.003468;0.001156;0.334104;0.001156;0.001156;0.001156;0.079769;0.002312;0.001156;0.001156;0.298266;0.001156;0.001156;0.002312;0.053179;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156;0.001156
lg;0.017241;0.017241;0.034483;0.017241;0.017241;0.086207;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.293103;0.017241;0.034483;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
lb;0.017857;0.017857;0.160714;0.053571;0.017857;0.071429;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.071429;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.107143;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
lz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
lx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
l.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
c(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
cw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ce;0.000297;0.000297;0.008323;0.021106;0.000595;0.001189;0.016944;0.464625;0.002675;0.022295;0.045482;0.163793;0.007432;0.000297;0.067776;0.008918;0.000297;0.000297;0.069857;0.078478;0.005945;0.000297;0.002378;0.000297;0.000297;0.007432;0.000297;0.000297;0.000297;0.000595;0.000297;0.000297;0.000297
cl;0.000978;0.000978;0.373412;0.000978;0.000978;0.133920;0.000978;0.000978;0.000978;0.000978;0.000978;0.000978;0.180841;0.000978;0.000978;0.163245;0.000978;0.000978;0.000978;0.000978;0.000978;0.104594;0.017595;0.000978;0.000978;0.000978;0.000978;0.000978;0.000978;0.000978;0.000978;0.000978;0.000978
cc;0.001894;0.001894;0.267045;0.001894;0.001894;0.278409;0.001894;0.007576;0.001894;0.001894;0.001894;0.001894;0.202652;0.001894;0.020833;0.013258;0.001894;0.001894;0.001894;0.003788;0.001894;0.159091;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894
co;0.000184;0.003494;0.000368;0.036227;0.002758;0.023170;0.240162;0.014895;0.007356;0.004413;0.003310;0.007356;0.006252;0.015447;0.066017;0.005149;0.000184;0.024274;0.274182;0.002391;0.000919;0.247885;0.000368;0.001471;0.006068;0.003126;0.000736;0.000919;0.000184;0.000184;0.000184;0.000184;0.000184
cm;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
c ;0.001522;0.066971;0.030441;0.030441;0.051750;0.048706;0.030441;0.004566;0.066971;0.108067;0.018265;0.114155;0.111111;0.010654;0.028919;0.070015;0.016743;0.035008;0.024353;0.001522;0.031963;0.010654;0.010654;0.004566;0.019787;0.041096;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522
ct;0.000395;0.000395;0.073796;0.046961;0.000395;0.061563;0.013812;0.226125;0.000789;0.000395;0.000395;0.052092;0.014207;0.000395;0.005525;0.306235;0.000395;0.000395;0.000395;0.033938;0.000789;0.155485;0.000395;0.000395;0.000395;0.001184;0.000395;0.000395;0.000395;0.000395;0.000395;0.000395;0.000395
cp;0.024390;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
cd;0.025000;0.025000;0.050000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
cs;0.004149;0.004149;0.004149;0.004149;0.004149;0.008299;0.004149;0.705394;0.008299;0.004149;0.004149;0.004149;0.020747;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.141079;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149;0.004149
ca;0.000166;0.000166;0.000332;0.153655;0.000995;0.000166;0.062158;0.036135;0.044588;0.016410;0.006133;0.042268;0.000166;0.021548;0.073761;0.011271;0.000166;0.000497;0.310625;0.005304;0.000166;0.201061;0.000332;0.000829;0.001492;0.008454;0.000166;0.000166;0.000166;0.000166;0.000166;0.000166;0.000166
cv;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
cr;0.000606;0.000606;0.260000;0.000606;0.000606;0.079394;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.372121;0.000606;0.000606;0.239394;0.000606;0.000606;0.000606;0.000606;0.000606;0.025455;0.007273;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606
ci;0.000666;0.000666;0.057961;0.017322;0.000666;0.011992;0.000666;0.001999;0.154564;0.027315;0.119254;0.124584;0.300466;0.015323;0.024650;0.000666;0.000666;0.000666;0.059294;0.000666;0.039307;0.000666;0.000666;0.000666;0.003331;0.001999;0.029314;0.000666;0.000666;0.000666;0.000666;0.000666;0.000666
cj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ch;0.000309;0.000309;0.122335;0.000309;0.000309;0.067964;0.003707;0.392648;0.001236;0.000309;0.000618;0.003707;0.198950;0.000309;0.013284;0.106271;0.000309;0.001854;0.011430;0.051900;0.000309;0.015137;0.003398;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309;0.000309
