smoothed;3
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
eu;0.003831;0.003831;0.011494;0.045977;0.003831;0.095785;0.003831;0.011494;0.030651;0.030651;0.034483;0.490421;0.003831;0.111111;0.007663;0.003831;0.003831;0.003831;0.003831;0.022989;0.011494;0.003831;0.007663;0.003831;0.003831;0.003831;0.003831;0.003831;0.015326;0.003831;0.003831;0.003831;0.003831
ek;0.005988;0.011976;0.023952;0.029940;0.005988;0.461078;0.083832;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.053892;0.005988;0.005988;0.029940;0.005988;0.005988;0.155689;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988
ec;0.000155;0.030444;0.073559;0.002936;0.120074;0.002473;0.097976;0.000155;0.003245;0.000155;0.000155;0.011436;0.396075;0.222068;0.000309;0.000464;0.013599;0.019162;0.002627;0.000155;0.000773;0.000155;0.000309;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155
ep;0.000660;0.021122;0.118152;0.042904;0.040924;0.182178;0.029043;0.001320;0.001320;0.001980;0.000660;0.066667;0.054125;0.271287;0.025083;0.004620;0.091749;0.001320;0.000660;0.008581;0.027063;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.001320
es;0.000063;0.002256;0.089507;0.000063;0.004012;0.447161;0.012097;0.000125;0.000564;0.038674;0.000063;0.000063;0.000313;0.140278;0.063871;0.000251;0.009465;0.000564;0.010280;0.024633;0.153755;0.000063;0.000501;0.000439;0.000063;0.000063;0.000376;0.000063;0.000063;0.000125;0.000063;0.000063;0.000063
ef;0.000559;0.000559;0.164338;0.011738;0.201230;0.037451;0.270542;0.000559;0.000559;0.000559;0.001118;0.010061;0.016769;0.097820;0.006149;0.000559;0.067077;0.000559;0.000559;0.000559;0.025713;0.078815;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559;0.000559
eb;0.000870;0.000870;0.009574;0.000870;0.543081;0.008703;0.000870;0.000870;0.000870;0.000870;0.000870;0.024369;0.313316;0.010444;0.002611;0.006092;0.023499;0.000870;0.001741;0.000870;0.036554;0.000870;0.001741;0.000870;0.000870;0.000870;0.000870;0.000870;0.000870;0.000870;0.000870;0.000870;0.000870
ev;0.000189;0.000189;0.915833;0.000189;0.014154;0.001132;0.043593;0.000189;0.000189;0.000189;0.000189;0.000189;0.018494;0.000189;0.000377;0.000755;0.000755;0.000189;0.000189;0.000377;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189
ew;0.000952;0.071429;0.084762;0.001905;0.037143;0.450476;0.055238;0.000952;0.002857;0.000952;0.000952;0.006667;0.022857;0.005714;0.076190;0.000952;0.000952;0.000952;0.000952;0.014286;0.147619;0.000952;0.003810;0.000952;0.000952;0.000952;0.000952;0.000952;0.000952;0.001905;0.000952;0.000952;0.000952
ez;0.012658;0.012658;0.063291;0.012658;0.025316;0.303797;0.063291;0.012658;0.012658;0.012658;0.012658;0.012658;0.050633;0.012658;0.088608;0.012658;0.075949;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
eq;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.893333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333
ej;0.015625;0.015625;0.421875;0.015625;0.046875;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
ex;0.000377;0.004520;0.014689;0.000377;0.001130;0.048211;0.176648;0.001507;0.000377;0.000377;0.000753;0.000377;0.167232;0.184557;0.012806;0.001883;0.065537;0.000377;0.059134;0.253861;0.000377;0.000377;0.000377;0.000377;0.000377;0.000377;0.000377;0.000377;0.000753;0.000377;0.000377;0.000377;0.000377
e,;0.021739;0.021739;0.021739;0.021739;0.021739;0.304348;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
e.;0.018519;0.018519;0.018519;0.018519;0.018519;0.407407;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
e?;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
e#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lh;0.028571;0.028571;0.057143;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
le;0.000081;0.000406;0.006898;0.000487;0.000730;0.487219;0.000893;0.045930;0.032947;0.025805;0.028159;0.009819;0.067435;0.090562;0.078877;0.002921;0.000162;0.000081;0.017366;0.001461;0.057372;0.014282;0.001380;0.023614;0.000649;0.000081;0.000325;0.000243;0.003408;0.000081;0.000162;0.000081;0.000081
ll;0.000071;0.000071;0.042963;0.000071;0.026559;0.420253;0.051484;0.000355;0.000284;0.000142;0.000071;0.000213;0.010865;0.000781;0.058869;0.367348;0.002414;0.000071;0.000142;0.000284;0.011007;0.000426;0.003693;0.000355;0.000213;0.000071;0.000071;0.000071;0.000071;0.000426;0.000142;0.000071;0.000071
lo;0.000225;0.000225;0.001351;0.002027;0.191441;0.011486;0.002477;0.001126;0.002027;0.072748;0.096396;0.027027;0.011036;0.228153;0.001577;0.025000;0.018243;0.000676;0.021396;0.016667;0.115315;0.001126;0.015541;0.033108;0.100901;0.000225;0.001126;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225
l ;0.000091;0.027148;0.020293;0.059049;0.077697;0.006124;0.113071;0.038574;0.026508;0.019744;0.019561;0.044059;0.075503;0.131536;0.001737;0.038665;0.008135;0.005119;0.034918;0.036289;0.062797;0.019196;0.055119;0.006673;0.053839;0.000914;0.006856;0.010146;0.000183;0.000091;0.000183;0.000091;0.000091
li;0.000048;0.000480;0.040179;0.001392;0.008689;0.001008;0.000048;0.011665;0.004560;0.051795;0.019441;0.000048;0.008161;0.080165;0.000192;0.000096;0.000048;0.628312;0.031922;0.003600;0.041523;0.024482;0.007825;0.017569;0.000048;0.015889;0.000480;0.000048;0.000096;0.000048;0.000048;0.000048;0.000048
lm;0.004255;0.004255;0.038298;0.008511;0.476596;0.195745;0.051064;0.008511;0.004255;0.004255;0.004255;0.004255;0.021277;0.004255;0.046809;0.004255;0.004255;0.004255;0.004255;0.004255;0.051064;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255
ld;0.000160;0.000802;0.012679;0.000321;0.000642;0.742738;0.010271;0.000321;0.000160;0.075750;0.000160;0.020382;0.000160;0.000321;0.119563;0.000160;0.000160;0.000160;0.000160;0.000321;0.009629;0.000321;0.000160;0.002568;0.000642;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
ln;0.022222;0.022222;0.222222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
lg;0.012987;0.012987;0.168831;0.012987;0.064935;0.038961;0.038961;0.012987;0.012987;0.012987;0.012987;0.025974;0.051948;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.272727;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
lr;0.003003;0.003003;0.597598;0.003003;0.015015;0.009009;0.285285;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.006006;0.006006;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003
la;0.000221;0.018822;0.000221;0.000443;0.000221;0.018379;0.094774;0.033658;0.013286;0.063552;0.006643;0.116475;0.000443;0.199956;0.003543;0.080159;0.027015;0.002214;0.166519;0.004650;0.065102;0.000221;0.022808;0.017493;0.035651;0.002214;0.000221;0.000221;0.003764;0.000221;0.000443;0.000221;0.000221
lt;0.000854;0.187020;0.047822;0.001708;0.007686;0.243382;0.128950;0.000854;0.000854;0.000854;0.000854;0.035013;0.011956;0.000854;0.034159;0.021349;0.232280;0.000854;0.000854;0.000854;0.029035;0.000854;0.001708;0.000854;0.000854;0.001708;0.000854;0.000854;0.000854;0.000854;0.000854;0.000854;0.000854
l);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ly;0.000102;0.000102;0.000102;0.000204;0.000102;0.822904;0.010429;0.000204;0.000102;0.001125;0.000204;0.000204;0.000102;0.000409;0.155112;0.000102;0.000102;0.000102;0.000511;0.000204;0.003170;0.000102;0.000102;0.000102;0.000818;0.001840;0.000102;0.000102;0.000102;0.000613;0.000307;0.000102;0.000102
lu;0.000995;0.000995;0.271642;0.000995;0.000995;0.005970;0.004975;0.021891;0.071642;0.026866;0.018905;0.030846;0.024876;0.241791;0.001990;0.000995;0.000995;0.009950;0.048756;0.008955;0.168159;0.007960;0.011940;0.000995;0.000995;0.000995;0.000995;0.000995;0.007960;0.000995;0.000995;0.000995;0.000995
lk;0.000722;0.000722;0.081530;0.000722;0.000722;0.363636;0.436508;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.059885;0.001443;0.000722;0.000722;0.000722;0.000722;0.036797;0.000722;0.001443;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722;0.000722
lc;0.010870;0.043478;0.010870;0.010870;0.304348;0.054348;0.021739;0.010870;0.010870;0.010870;0.010870;0.010870;0.021739;0.010870;0.010870;0.010870;0.260870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
lp;0.004310;0.047414;0.073276;0.004310;0.017241;0.439655;0.112069;0.004310;0.004310;0.004310;0.004310;0.008621;0.038793;0.012931;0.047414;0.004310;0.008621;0.004310;0.004310;0.004310;0.077586;0.025862;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310;0.004310
ls;0.000770;0.005393;0.171032;0.000770;0.222650;0.454545;0.043914;0.000770;0.001541;0.000770;0.001541;0.000770;0.001541;0.002311;0.070878;0.000770;0.001541;0.003082;0.001541;0.003852;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770;0.000770
lf;0.001366;0.004098;0.023224;0.001366;0.006831;0.642077;0.083333;0.004098;0.020492;0.001366;0.001366;0.024590;0.025956;0.001366;0.117486;0.001366;0.004098;0.001366;0.004098;0.002732;0.004098;0.004098;0.001366;0.001366;0.005464;0.001366;0.001366;0.001366;0.001366;0.001366;0.001366;0.001366;0.001366
lb;0.011111;0.011111;0.544444;0.011111;0.011111;0.011111;0.033333;0.011111;0.011111;0.011111;0.011111;0.022222;0.055556;0.011111;0.022222;0.011111;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
lv;0.003460;0.003460;0.833910;0.003460;0.003460;0.003460;0.044983;0.003460;0.003460;0.003460;0.003460;0.003460;0.017301;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460
lw;0.003003;0.003003;0.003003;0.003003;0.021021;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.006006;0.882883;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003;0.003003
lz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
lq;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
lj;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
lx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l,;0.024390;0.024390;0.024390;0.024390;0.024390;0.219512;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
l.;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
l?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
l#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
o(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oh;0.000789;0.000789;0.008675;0.000789;0.003155;0.814669;0.004732;0.001577;0.000789;0.027603;0.000789;0.000789;0.011041;0.000789;0.100158;0.004732;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.005521;0.000789;0.000789;0.000789
oe;0.000756;0.003026;0.000756;0.002269;0.000756;0.022693;0.000756;0.003782;0.000756;0.002269;0.000756;0.001513;0.000756;0.001513;0.004539;0.000756;0.002269;0.000756;0.005295;0.001513;0.903177;0.001513;0.001513;0.029501;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756;0.000756
ol;0.000266;0.000266;0.152781;0.129359;0.083843;0.093159;0.174075;0.001065;0.172478;0.000799;0.000266;0.000266;0.020495;0.002129;0.018100;0.024488;0.068139;0.002928;0.000532;0.001065;0.012510;0.002129;0.000266;0.035667;0.000532;0.000266;0.000266;0.000266;0.000266;0.000532;0.000266;0.000266;0.000266
oo;0.000305;0.000609;0.000305;0.109622;0.000305;0.066991;0.000914;0.038368;0.275579;0.028928;0.007917;0.043544;0.000305;0.055420;0.011876;0.000305;0.000305;0.289586;0.000305;0.021924;0.026188;0.007917;0.007004;0.002132;0.000305;0.000609;0.000305;0.000305;0.000305;0.000305;0.000609;0.000305;0.000305
o ;0.000045;0.033478;0.018033;0.045485;0.024282;0.007142;0.112797;0.054993;0.049011;0.018301;0.033612;0.017096;0.064411;0.141276;0.001964;0.076106;0.010624;0.010177;0.028657;0.027273;0.065081;0.025577;0.071776;0.004285;0.050038;0.000312;0.000937;0.006874;0.000179;0.000045;0.000045;0.000045;0.000045
oi;0.000433;0.000433;0.000433;0.015605;0.000433;0.000433;0.000433;0.000433;0.017772;0.867794;0.000433;0.001300;0.000867;0.005202;0.000433;0.000433;0.000433;0.000433;0.065886;0.000433;0.014738;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433
om;0.000124;0.000124;0.550037;0.000743;0.009661;0.146767;0.051895;0.061556;0.000124;0.001486;0.000124;0.000124;0.025019;0.000124;0.024523;0.013872;0.000372;0.000124;0.000124;0.083849;0.007431;0.012138;0.008174;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124;0.000372;0.000124
od;0.000333;0.000333;0.037591;0.000665;0.001996;0.326015;0.015303;0.001331;0.016966;0.001996;0.002661;0.000333;0.055223;0.000665;0.068197;0.384232;0.050566;0.000333;0.010645;0.000665;0.015968;0.001331;0.001663;0.000333;0.001331;0.000333;0.000333;0.000333;0.000333;0.000665;0.000665;0.000333;0.000333
on;0.000043;0.000260;0.119704;0.021638;0.015233;0.304064;0.007790;0.002683;0.018479;0.046869;0.034232;0.000087;0.035141;0.196088;0.049206;0.001774;0.000389;0.001558;0.015450;0.000216;0.105769;0.004587;0.000130;0.016662;0.000433;0.000389;0.000130;0.000389;0.000043;0.000043;0.000433;0.000043;0.000043
og;0.001065;0.001065;0.104366;0.025559;0.007455;0.078807;0.267306;0.004260;0.002130;0.058573;0.003195;0.181044;0.029819;0.001065;0.020234;0.148030;0.019169;0.001065;0.001065;0.001065;0.030884;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065;0.001065
or;0.000066;0.000989;0.126582;0.019976;0.000857;0.383373;0.035931;0.039887;0.041667;0.011669;0.007845;0.041139;0.040941;0.089531;0.064610;0.016218;0.000989;0.038634;0.011603;0.002505;0.018658;0.000461;0.001582;0.000066;0.003560;0.000132;0.000066;0.000132;0.000066;0.000066;0.000066;0.000066;0.000066
oa;0.002315;0.004630;0.002315;0.233796;0.002315;0.034722;0.002315;0.023148;0.222222;0.037037;0.002315;0.092593;0.002315;0.078704;0.016204;0.002315;0.002315;0.009259;0.157407;0.002315;0.030093;0.004630;0.006944;0.002315;0.002315;0.002315;0.002315;0.002315;0.006944;0.002315;0.002315;0.002315;0.002315
ot;0.000117;0.189155;0.058892;0.000933;0.005131;0.549971;0.036851;0.000117;0.000117;0.000117;0.000117;0.000117;0.034636;0.014694;0.087697;0.001516;0.000233;0.000233;0.005948;0.000117;0.011079;0.000117;0.000583;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117;0.000233;0.000233;0.000233;0.000117
o);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oy;0.002283;0.002283;0.237443;0.004566;0.006849;0.333333;0.066210;0.066210;0.002283;0.011416;0.002283;0.002283;0.027397;0.002283;0.063927;0.002283;0.002283;0.002283;0.002283;0.002283;0.105023;0.027397;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283;0.002283
ou;0.000032;0.000032;0.000032;0.155363;0.000032;0.352074;0.000064;0.000064;0.002628;0.050035;0.040451;0.161004;0.000032;0.125873;0.054907;0.000032;0.000032;0.000032;0.001635;0.006859;0.038015;0.000032;0.002308;0.008077;0.000032;0.000032;0.000032;0.000032;0.000032;0.000064;0.000064;0.000032;0.000032
ok;0.000259;0.000259;0.049728;0.000777;0.000259;0.172494;0.047915;0.000259;0.000259;0.000259;0.000259;0.000518;0.679099;0.000259;0.019684;0.001295;0.000777;0.000259;0.001813;0.000259;0.020202;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259
