smoothed;3
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
sö;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
sã;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
s!;0.016667;0.016667;0.016667;0.016667;0.016667;0.050000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.250000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
s?;0.003086;0.003086;0.003086;0.003086;0.003086;0.006173;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.861111;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.006173;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086;0.003086
sí;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
só;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
sñ;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
sé;0.017544;0.017544;0.017544;0.017544;0.035088;0.140351;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.052632;0.017544;0.017544;0.070175;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
sà;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
s¡;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
sú;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
s#;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 (;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 t;0.000006;0.000012;0.683582;0.015008;0.000111;0.000035;0.000006;0.018577;0.000029;0.198262;0.000029;0.037352;0.030593;0.001060;0.000006;0.008762;0.000006;0.000006;0.000006;0.005752;0.000006;0.000052;0.000565;0.000006;0.000006;0.000058;0.000006;0.000012;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006
 h;0.000023;0.000046;0.000115;0.143746;0.000023;0.000092;0.000023;0.296738;0.000346;0.122697;0.000023;0.000092;0.397280;0.001291;0.000023;0.000092;0.000023;0.000023;0.000023;0.035873;0.000023;0.000023;0.000023;0.000023;0.000023;0.000069;0.000622;0.000231;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023
 i;0.000013;0.160645;0.000025;0.001206;0.197027;0.139383;0.009051;0.000102;0.046321;0.000330;0.003186;0.012466;0.000317;0.000051;0.371052;0.000038;0.001117;0.018178;0.000013;0.000025;0.000038;0.004621;0.005547;0.028435;0.000013;0.000152;0.000140;0.000051;0.000038;0.000025;0.000216;0.000013;0.000013;0.000013;0.000013;0.000025;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
 s;0.000017;0.167502;0.101759;0.056937;0.000017;0.003137;0.000191;0.136008;0.006032;0.209932;0.028009;0.000121;0.140133;0.016431;0.001907;0.003657;0.000017;0.000780;0.000017;0.070769;0.000017;0.006950;0.000017;0.000052;0.002548;0.044302;0.000104;0.000277;0.001369;0.000017;0.000676;0.000035;0.000017;0.000052;0.000017;0.000035;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
  ;0.000254;0.089132;0.025140;0.053580;0.045201;0.021585;0.034789;0.014728;0.076943;0.067801;0.029964;0.013459;0.086084;0.155663;0.010665;0.055866;0.004317;0.004063;0.005333;0.008888;0.000762;0.009904;0.006094;0.016252;0.002793;0.115287;0.040122;0.001016;0.000508;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254
 d;0.000034;0.000034;0.000409;0.206543;0.000136;0.000511;0.000068;0.298053;0.000579;0.310989;0.004868;0.052802;0.089739;0.003575;0.001055;0.000306;0.000068;0.000136;0.000681;0.026282;0.000034;0.000034;0.000034;0.000068;0.000034;0.000034;0.000034;0.001668;0.000034;0.000034;0.000034;0.000272;0.000068;0.000034;0.000034;0.000034;0.000034;0.000034;0.000034;0.000409;0.000034;0.000034;0.000034;0.000034
 e;0.000061;0.012239;0.000061;0.018662;0.041869;0.000364;0.024964;0.000485;0.055562;0.000121;0.024721;0.020601;0.065439;0.006544;0.157174;0.000182;0.003938;0.000121;0.000182;0.015451;0.000242;0.097310;0.199709;0.026539;0.000727;0.010846;0.000485;0.000364;0.010846;0.203345;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
 m;0.000030;0.000090;0.000090;0.113164;0.001854;0.000389;0.000090;0.238018;0.000927;0.226777;0.007205;0.005830;0.259724;0.078034;0.000060;0.000060;0.000060;0.000030;0.000030;0.066254;0.000030;0.000120;0.000030;0.000030;0.000030;0.000299;0.000209;0.000030;0.000060;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030
 o;0.000017;0.029484;0.005243;0.002342;0.001608;0.000140;0.000717;0.000035;0.000542;0.000070;0.006239;0.067043;0.001608;0.000017;0.190538;0.012706;0.000052;0.000017;0.000070;0.100862;0.000262;0.008529;0.026583;0.503679;0.003985;0.021794;0.013353;0.000052;0.000017;0.002150;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
 c;0.000025;0.000196;0.105729;0.039584;0.000049;0.000466;0.000270;0.033232;0.000196;0.436602;0.000098;0.055575;0.238755;0.001766;0.001496;0.000172;0.000025;0.000147;0.000025;0.019351;0.000221;0.063693;0.000025;0.000025;0.000025;0.000098;0.001055;0.000098;0.000025;0.000025;0.000049;0.000613;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025
 r;0.000042;0.000550;0.002791;0.163968;0.000465;0.000338;0.001184;0.590461;0.000085;0.077967;0.000085;0.000042;0.093696;0.001945;0.000127;0.000296;0.000085;0.000042;0.000042;0.063930;0.000042;0.000085;0.000085;0.000169;0.000042;0.000042;0.000423;0.000296;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042
 a;0.000009;0.052384;0.001270;0.005198;0.063978;0.161458;0.014540;0.000099;0.026584;0.000036;0.034746;0.082211;0.000342;0.000207;0.324286;0.005928;0.025503;0.026332;0.000045;0.006162;0.000135;0.072248;0.001649;0.021764;0.000450;0.009828;0.061897;0.000252;0.000081;0.000090;0.000153;0.000009;0.000009;0.000009;0.000009;0.000018;0.000009;0.000009;0.000018;0.000009;0.000009;0.000009;0.000009;0.000009
 y;0.000047;0.000047;0.000094;0.003525;0.000047;0.000517;0.000047;0.201006;0.000094;0.782968;0.000047;0.000094;0.006721;0.000047;0.000047;0.000047;0.000047;0.000094;0.000047;0.003102;0.000094;0.000047;0.000094;0.000047;0.000047;0.000141;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047
 n;0.000047;0.000093;0.000093;0.040192;0.001396;0.000186;0.001489;0.245755;0.000047;0.546030;0.000093;0.005257;0.099130;0.001116;0.000047;0.000140;0.000930;0.000093;0.000047;0.053356;0.000047;0.000140;0.000093;0.000744;0.000140;0.000605;0.001675;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000093;0.000047;0.000233;0.000047;0.000047;0.000047;0.000047
 w;0.000013;0.000119;0.259324;0.130883;0.000013;0.000290;0.000040;0.261410;0.000040;0.096859;0.000013;0.013264;0.236769;0.000053;0.000013;0.000026;0.000040;0.000092;0.000013;0.000053;0.000013;0.000013;0.000026;0.000013;0.000013;0.000026;0.000026;0.000330;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
 g;0.000051;0.000205;0.001994;0.059413;0.000153;0.001227;0.000205;0.144800;0.000205;0.506698;0.000102;0.128081;0.060896;0.002301;0.000153;0.000358;0.000051;0.000153;0.000051;0.070917;0.000051;0.019992;0.000051;0.000051;0.000051;0.000511;0.000051;0.000409;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051;0.000051
 );0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 j;0.000115;0.000344;0.000230;0.011593;0.000115;0.005165;0.000115;0.064050;0.000115;0.232668;0.000803;0.010445;0.104109;0.000115;0.000115;0.000115;0.000115;0.000689;0.000230;0.565083;0.000115;0.000230;0.000115;0.000459;0.000115;0.000344;0.000115;0.000344;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115
 u;0.000081;0.004547;0.017782;0.000162;0.303589;0.000325;0.000244;0.000081;0.011124;0.000081;0.001056;0.010880;0.001380;0.000081;0.369195;0.000081;0.001462;0.000081;0.000081;0.000081;0.000162;0.008931;0.000081;0.000244;0.004466;0.183339;0.002436;0.076567;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000162;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081
 z;0.002331;0.009324;0.004662;0.188811;0.002331;0.013986;0.002331;0.326340;0.002331;0.125874;0.002331;0.002331;0.123543;0.004662;0.002331;0.002331;0.002331;0.006993;0.002331;0.109557;0.004662;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.004662;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.002331;0.004662;0.002331
 l;0.000049;0.000049;0.000049;0.318053;0.000049;0.000147;0.000049;0.219806;0.000049;0.224508;0.000049;0.000098;0.208444;0.008326;0.000196;0.000049;0.000882;0.000098;0.000049;0.016456;0.000049;0.000539;0.000049;0.000049;0.000049;0.000049;0.000343;0.000490;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000196;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049
 v;0.000139;0.000139;0.000279;0.332775;0.000418;0.003766;0.002371;0.408787;0.000139;0.154254;0.000139;0.000139;0.075174;0.000558;0.000139;0.000139;0.000139;0.000837;0.000139;0.009902;0.000139;0.004603;0.000139;0.000139;0.000139;0.000558;0.000139;0.001395;0.000139;0.000139;0.000139;0.000279;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139
 f;0.000033;0.000099;0.000033;0.142421;0.000099;0.000690;0.000164;0.073215;0.000033;0.396668;0.000854;0.177319;0.137919;0.000066;0.000033;0.000033;0.000066;0.000164;0.000066;0.031711;0.000033;0.029838;0.000033;0.000033;0.000033;0.000033;0.007558;0.000197;0.000033;0.000033;0.000066;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033
 k;0.000087;0.000261;0.013461;0.243943;0.000174;0.000347;0.000087;0.082241;0.000087;0.052714;0.000087;0.005818;0.036300;0.000434;0.544160;0.000608;0.000087;0.000261;0.000087;0.010769;0.000087;0.005297;0.000087;0.000261;0.000347;0.000261;0.000087;0.000087;0.000087;0.000087;0.000174;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087
 p;0.000029;0.000922;0.019444;0.024485;0.003774;0.000230;0.000029;0.218580;0.000202;0.156877;0.000086;0.277517;0.152989;0.000576;0.000259;0.000029;0.000029;0.000086;0.000173;0.079620;0.000029;0.061990;0.000029;0.000374;0.000029;0.000058;0.000547;0.000461;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000058;0.000029;0.000086;0.000029;0.000029;0.000029;0.000029
 b;0.000025;0.000229;0.000408;0.044037;0.000280;0.000331;0.000102;0.421807;0.000025;0.083465;0.000025;0.065712;0.109801;0.089374;0.000025;0.000025;0.000051;0.000102;0.000433;0.147191;0.000025;0.035148;0.000025;0.000051;0.000025;0.000153;0.000331;0.000306;0.000025;0.000025;0.000102;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025
 .;0.002545;0.002545;0.002545;0.002545;0.002545;0.221374;0.002545;0.002545;0.002545;0.012723;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.656489;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.005089;0.002545;0.002545;0.005089;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545
 q;0.000627;0.000627;0.000627;0.002506;0.000627;0.001253;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.011278;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.959900;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627;0.000627
 x;0.008547;0.017094;0.008547;0.222222;0.008547;0.111111;0.017094;0.136752;0.025641;0.008547;0.008547;0.017094;0.059829;0.025641;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.025641;0.008547;0.008547;0.008547;0.008547;0.008547;0.025641;0.008547;0.017094;0.034188;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547
 ,;0.001376;0.001376;0.001376;0.002751;0.002751;0.790922;0.001376;0.001376;0.001376;0.001376;0.002751;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.134801;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.002751;0.001376;0.008253;0.001376;0.001376;0.004127;0.001376;0.001376;0.001376;0.001376;0.002751;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376
 á;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.057692;0.019231;0.019231;0.096154;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
 ö;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 ã;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 !;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 ?;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.218182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
 í;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 ó;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
 ñ;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
