smoothed;3
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
mz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m.;0.017241;0.017241;0.017241;0.017241;0.431034;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
m,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
mö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
m#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
p(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pa;0.000265;0.000530;0.098782;0.003178;0.004237;0.001854;0.000530;0.368379;0.003972;0.062765;0.007680;0.034163;0.029396;0.068856;0.000530;0.002383;0.013506;0.036017;0.054555;0.000265;0.000794;0.103549;0.000265;0.100106;0.000265;0.000265;0.000265;0.001324;0.000265;0.000265;0.000265;0.000265;0.000265
pn;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
pd;0.011111;0.544444;0.011111;0.011111;0.044444;0.011111;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.055556;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
p ;0.000220;0.131000;0.017393;0.028402;0.011229;0.072875;0.011669;0.024659;0.046235;0.021576;0.002862;0.015632;0.020476;0.056363;0.080361;0.025099;0.022237;0.017834;0.157420;0.006605;0.001101;0.124835;0.038749;0.029723;0.028402;0.000220;0.001101;0.004403;0.000220;0.000220;0.000440;0.000220;0.000220
pw;0.028571;0.057143;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
pe;0.000107;0.063616;0.158345;0.031968;0.034000;0.001283;0.021918;0.206458;0.000214;0.049931;0.000214;0.000748;0.007805;0.005560;0.375601;0.000107;0.003742;0.000428;0.026088;0.000535;0.006308;0.000214;0.000107;0.000428;0.002566;0.000107;0.000107;0.000107;0.000962;0.000107;0.000107;0.000107;0.000107
pr;0.000202;0.017203;0.000202;0.000202;0.001619;0.000202;0.337583;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.494839;0.000202;0.000202;0.001619;0.000202;0.000202;0.000202;0.141672;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202;0.000202
pb;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.190476;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
pc;0.020833;0.020833;0.020833;0.020833;0.145833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.062500;0.145833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
pk;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.255814;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
pg;0.023256;0.093023;0.023256;0.023256;0.069767;0.023256;0.023256;0.139535;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
pl;0.000163;0.185826;0.000163;0.000163;0.000163;0.000163;0.720607;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.025310;0.000163;0.000163;0.014370;0.000163;0.000163;0.000163;0.031352;0.000163;0.018125;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163
ps;0.001319;0.001319;0.001319;0.001319;0.656992;0.001319;0.093668;0.001319;0.001319;0.002639;0.001319;0.001319;0.001319;0.001319;0.017150;0.001319;0.001319;0.007916;0.015831;0.001319;0.097625;0.036939;0.002639;0.036939;0.001319;0.001319;0.002639;0.001319;0.001319;0.001319;0.001319;0.001319;0.001319
po;0.000149;0.000149;0.079714;0.011005;0.000744;0.040452;0.001338;0.189471;0.000297;0.012939;0.017400;0.000149;0.218471;0.154521;0.021267;0.006246;0.058894;0.004462;0.019482;0.000149;0.000297;0.155413;0.000149;0.000149;0.000446;0.000297;0.000149;0.005057;0.000149;0.000149;0.000149;0.000149;0.000149
pm;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.297872;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
pp;0.000367;0.034888;0.000367;0.000367;0.016159;0.000367;0.466397;0.056923;0.000367;0.000367;0.000367;0.000367;0.073448;0.001469;0.266250;0.000367;0.000367;0.000367;0.000367;0.000367;0.004774;0.045538;0.000367;0.025707;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367
pu;0.000383;0.000766;0.026427;0.001532;0.000383;0.000383;0.002681;0.056683;0.292608;0.000383;0.000383;0.001149;0.219073;0.058598;0.000383;0.008809;0.031789;0.000383;0.287629;0.000383;0.000383;0.000383;0.000383;0.000383;0.002681;0.000383;0.000383;0.000383;0.002298;0.000383;0.000383;0.000383;0.000383
pt;0.001130;0.036158;0.001130;0.001130;0.306215;0.001130;0.075706;0.001130;0.001130;0.014689;0.001130;0.001130;0.001130;0.021469;0.040678;0.001130;0.001130;0.019209;0.001130;0.001130;0.059887;0.381921;0.003390;0.015819;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130;0.001130
pj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pi;0.000564;0.004510;0.228298;0.083991;0.005637;0.000564;0.073281;0.165727;0.000564;0.178692;0.005637;0.007328;0.028185;0.065953;0.005637;0.001691;0.011274;0.001691;0.102029;0.000564;0.000564;0.000564;0.000564;0.000564;0.000564;0.003946;0.000564;0.003946;0.014656;0.000564;0.000564;0.000564;0.000564
ph;0.001441;0.096542;0.001441;0.001441;0.015850;0.001441;0.082133;0.034582;0.001441;0.001441;0.001441;0.001441;0.001441;0.002882;0.337176;0.001441;0.001441;0.001441;0.001441;0.001441;0.004323;0.236311;0.001441;0.155620;0.001441;0.001441;0.001441;0.001441;0.001441;0.001441;0.001441;0.001441;0.001441
py;0.004525;0.004525;0.004525;0.004525;0.524887;0.004525;0.004525;0.009050;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.108597;0.226244;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525;0.004525
pf;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.269231;0.019231;0.019231;0.019231;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.057692;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
px;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p.;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.384615;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
p,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
pö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
p#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
u(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ua;0.000521;0.000521;0.042686;0.003644;0.002082;0.000521;0.001041;0.069235;0.002603;0.000521;0.005206;0.018220;0.728787;0.001562;0.000521;0.001562;0.000521;0.000521;0.109839;0.000521;0.000521;0.001562;0.001041;0.001562;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521;0.000521
un;0.000170;0.020585;0.061245;0.330214;0.074345;0.002892;0.014971;0.004593;0.010548;0.058864;0.014461;0.025859;0.010208;0.031984;0.003743;0.001361;0.003232;0.001871;0.194624;0.000340;0.011739;0.099694;0.003403;0.000340;0.014971;0.000170;0.002382;0.000340;0.000170;0.000170;0.000170;0.000170;0.000170
ud;0.000884;0.007958;0.000884;0.078691;0.126437;0.007958;0.304156;0.001768;0.000884;0.000884;0.000884;0.098143;0.002653;0.007958;0.001768;0.001768;0.000884;0.000884;0.000884;0.000884;0.012378;0.289125;0.000884;0.042440;0.000884;0.000884;0.000884;0.000884;0.000884;0.000884;0.000884;0.000884;0.000884
u ;0.000089;0.052992;0.016271;0.066240;0.004890;0.078154;0.011381;0.016893;0.018938;0.077710;0.233218;0.072108;0.028541;0.064462;0.009336;0.023473;0.016538;0.003912;0.067929;0.015293;0.001334;0.022762;0.071930;0.009691;0.012448;0.000089;0.000445;0.002312;0.000089;0.000089;0.000267;0.000089;0.000089
uw;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ue;0.000405;0.001215;0.046559;0.022672;0.380972;0.000405;0.003644;0.006883;0.000405;0.002429;0.000405;0.000405;0.023887;0.430769;0.000405;0.000405;0.000405;0.000810;0.004049;0.000405;0.064777;0.002429;0.000405;0.000405;0.000405;0.000405;0.000405;0.001215;0.000405;0.000405;0.000405;0.000405;0.000405
ur;0.000113;0.035625;0.046030;0.014816;0.236485;0.000226;0.386451;0.016399;0.003054;0.014363;0.009161;0.009952;0.001018;0.066840;0.002036;0.000792;0.015834;0.000905;0.035399;0.000113;0.056209;0.036417;0.000113;0.005202;0.001810;0.000113;0.000452;0.003393;0.000226;0.000113;0.000113;0.000113;0.000113
ub;0.000687;0.012363;0.000687;0.000687;0.017857;0.002060;0.134615;0.001374;0.041896;0.004808;0.000687;0.000687;0.582418;0.075549;0.000687;0.011676;0.013049;0.006868;0.045330;0.018544;0.004121;0.011676;0.000687;0.001374;0.000687;0.000687;0.000687;0.004121;0.000687;0.000687;0.000687;0.000687;0.000687
uc;0.000634;0.039290;0.000634;0.000634;0.000634;0.000634;0.032953;0.007605;0.000634;0.038023;0.190114;0.000634;0.061470;0.000634;0.001901;0.000634;0.000634;0.011407;0.134347;0.000634;0.001267;0.011407;0.456274;0.001267;0.000634;0.000634;0.000634;0.000634;0.000634;0.000634;0.000634;0.000634;0.000634
uk;0.008547;0.008547;0.008547;0.008547;0.102564;0.008547;0.256410;0.324786;0.008547;0.008547;0.008547;0.008547;0.008547;0.017094;0.017094;0.008547;0.008547;0.008547;0.008547;0.008547;0.017094;0.042735;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547;0.008547
ug;0.000454;0.007713;0.001361;0.000454;0.080309;0.000454;0.028131;0.000454;0.000454;0.000454;0.000454;0.031760;0.009074;0.031760;0.000907;0.003176;0.000454;0.004991;0.000454;0.000454;0.014065;0.001815;0.775862;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454
ul;0.000160;0.112302;0.002080;0.580067;0.045913;0.000320;0.020637;0.000160;0.000320;0.000640;0.001760;0.000480;0.087186;0.004319;0.013278;0.000160;0.000960;0.001280;0.072148;0.000160;0.009598;0.038394;0.000320;0.004319;0.001760;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
us;0.000077;0.023001;0.001389;0.000077;0.129207;0.000077;0.315993;0.000077;0.001158;0.000849;0.000617;0.000077;0.029098;0.060435;0.000154;0.000077;0.002161;0.006638;0.328342;0.000077;0.027555;0.042374;0.028635;0.001003;0.000077;0.000154;0.000154;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077
uo;0.003690;0.003690;0.011070;0.007380;0.077491;0.003690;0.003690;0.022140;0.003690;0.003690;0.003690;0.003690;0.003690;0.007380;0.003690;0.088561;0.003690;0.110701;0.557196;0.003690;0.018450;0.014760;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690
um;0.000283;0.053273;0.000567;0.000283;0.117597;0.000283;0.157268;0.000567;0.130915;0.000283;0.000283;0.000283;0.000283;0.013885;0.004534;0.012468;0.463587;0.002267;0.000283;0.000283;0.030320;0.007084;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283
up;0.000292;0.004380;0.000292;0.013723;0.448175;0.000584;0.068613;0.020730;0.000584;0.002044;0.000292;0.001752;0.019270;0.032701;0.009051;0.000292;0.169635;0.002044;0.071241;0.000292;0.080584;0.040000;0.002628;0.004964;0.003504;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292
uu;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ut;0.000077;0.002699;0.000771;0.002853;0.703270;0.000308;0.029920;0.007017;0.000386;0.002545;0.000077;0.000077;0.011181;0.024830;0.004858;0.000154;0.000077;0.017505;0.017582;0.000077;0.098705;0.041564;0.031154;0.001157;0.000463;0.000077;0.000077;0.000077;0.000154;0.000077;0.000077;0.000077;0.000077
uj;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
u);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ui;0.001252;0.002503;0.280350;0.023780;0.005006;0.001252;0.023780;0.043805;0.001252;0.112641;0.001252;0.005006;0.205257;0.063830;0.001252;0.001252;0.008761;0.001252;0.178974;0.001252;0.001252;0.001252;0.001252;0.001252;0.001252;0.001252;0.001252;0.021277;0.001252;0.001252;0.001252;0.001252;0.001252
uh;0.003413;0.027304;0.003413;0.003413;0.641638;0.003413;0.003413;0.003413;0.023891;0.003413;0.003413;0.003413;0.013652;0.003413;0.006826;0.003413;0.003413;0.003413;0.003413;0.003413;0.153584;0.003413;0.044369;0.003413;0.003413;0.003413;0.003413;0.003413;0.003413;0.003413;0.003413;0.003413;0.003413
uy;0.000845;0.000845;0.000845;0.000845;0.429899;0.000845;0.002534;0.000845;0.003378;0.000845;0.000845;0.000845;0.000845;0.434966;0.001689;0.000845;0.000845;0.000845;0.000845;0.000845;0.077703;0.027872;0.000845;0.000845;0.000845;0.000845;0.000845;0.000845;0.000845;0.000845;0.000845;0.000845;0.000845
uf;0.001890;0.034026;0.001890;0.001890;0.003781;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.007561;0.001890;0.001890;0.001890;0.001890;0.001890;0.003781;0.001890;0.001890;0.897921;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890
ux;0.018868;0.018868;0.018868;0.018868;0.283019;0.018868;0.056604;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.056604;0.037736;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
uq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
uv;0.006667;0.013333;0.006667;0.006667;0.006667;0.006667;0.773333;0.013333;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667
uz;0.002123;0.006369;0.002123;0.002123;0.777070;0.002123;0.002123;0.002123;0.004246;0.002123;0.002123;0.002123;0.002123;0.008493;0.002123;0.002123;0.002123;0.002123;0.002123;0.002123;0.123142;0.004246;0.002123;0.002123;0.002123;0.002123;0.002123;0.002123;0.021231;0.002123;0.002123;0.002123;0.002123
u.;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.790850;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
u,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
uö;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
u#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
t(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ta;0.000116;0.000464;0.122868;0.000928;0.024365;0.000116;0.000232;0.101868;0.060912;0.037475;0.126697;0.022044;0.228449;0.009166;0.000232;0.003945;0.009862;0.004757;0.113934;0.000116;0.003597;0.042696;0.000464;0.009630;0.003017;0.071006;0.000116;0.000348;0.000116;0.000116;0.000116;0.000116;0.000116
tn;0.007246;0.181159;0.007246;0.007246;0.007246;0.007246;0.471014;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.050725;0.007246;0.007246;0.021739;0.021739;0.007246;0.007246;0.057971;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246
td;0.009804;0.039216;0.009804;0.009804;0.245098;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.401961;0.009804;0.009804;0.009804;0.009804;0.009804;0.019608;0.019608;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
t ;0.000015;0.097662;0.020976;0.028413;0.008156;0.080925;0.019421;0.017793;0.039326;0.025347;0.013378;0.022384;0.039355;0.052131;0.062590;0.030877;0.022003;0.009226;0.181844;0.008420;0.001628;0.108780;0.049095;0.034676;0.020682;0.000044;0.001203;0.003051;0.000205;0.000103;0.000264;0.000015;0.000015
tw;0.000611;0.001834;0.000611;0.000611;0.000611;0.000611;0.312347;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.344743;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.323350;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611
te;0.000064;0.017458;0.083248;0.141271;0.199487;0.000770;0.013158;0.252439;0.000128;0.015404;0.000449;0.006868;0.073235;0.068421;0.000321;0.028819;0.009820;0.000193;0.000128;0.000064;0.035430;0.004814;0.000257;0.000321;0.002632;0.010013;0.000128;0.032092;0.002311;0.000064;0.000064;0.000064;0.000064
tr;0.000144;0.151795;0.000144;0.000144;0.000288;0.000144;0.105809;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.084475;0.000144;0.000144;0.328240;0.000144;0.000144;0.000144;0.144155;0.000144;0.181491;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144
tb;0.009259;0.435185;0.009259;0.009259;0.009259;0.009259;0.037037;0.120370;0.009259;0.009259;0.009259;0.009259;0.018519;0.009259;0.074074;0.009259;0.009259;0.064815;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259
tc;0.001842;0.016575;0.001842;0.001842;0.016575;0.001842;0.001842;0.003683;0.001842;0.001842;0.001842;0.001842;0.005525;0.001842;0.053407;0.001842;0.001842;0.007366;0.001842;0.001842;0.003683;0.014733;0.823204;0.012891;0.001842;0.001842;0.001842;0.001842;0.001842;0.001842;0.001842;0.001842;0.001842
tk;0.024390;0.195122;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
