smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
nz;0.016949;0.152542;0.016949;0.050847;0.033898;0.016949;0.016949;0.135593;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.084746;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
n,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
n.;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.320755;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
ní;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
nö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ná;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
né;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
nä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
n#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
y(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yi;0.000510;0.000510;0.000510;0.002041;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.003061;0.011735;0.000510;0.000510;0.000510;0.000510;0.000510;0.966327;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510;0.000510
ym;0.002387;0.016706;0.028640;0.023866;0.128878;0.002387;0.038186;0.389021;0.002387;0.002387;0.002387;0.195704;0.004773;0.002387;0.009547;0.002387;0.097852;0.002387;0.004773;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387;0.002387
y ;0.000022;0.093966;0.028954;0.002272;0.107597;0.029333;0.044299;0.055480;0.008820;0.141429;0.045435;0.016838;0.064122;0.044344;0.000401;0.088020;0.028531;0.043253;0.021515;0.023943;0.030602;0.028286;0.025925;0.002361;0.000156;0.009221;0.006704;0.007328;0.000334;0.000223;0.000156;0.000022;0.000022;0.000022;0.000022;0.000022;0.000022
ya;0.003484;0.003484;0.006969;0.149826;0.003484;0.209059;0.027875;0.003484;0.003484;0.020906;0.055749;0.003484;0.017422;0.006969;0.034843;0.010453;0.003484;0.024390;0.250871;0.010453;0.003484;0.069686;0.006969;0.013937;0.003484;0.003484;0.003484;0.013937;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484
yl;0.003425;0.047945;0.003425;0.017123;0.089041;0.250000;0.003425;0.054795;0.092466;0.003425;0.003425;0.256849;0.003425;0.003425;0.010274;0.003425;0.003425;0.003425;0.003425;0.006849;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.082192;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425
yb;0.000602;0.000602;0.000602;0.000602;0.007831;0.000602;0.000602;0.372289;0.000602;0.000602;0.000602;0.595181;0.000602;0.000602;0.000602;0.000602;0.000602;0.000602;0.000602;0.001205;0.000602;0.003012;0.000602;0.000602;0.000602;0.000602;0.000602;0.000602;0.001807;0.000602;0.000602;0.000602;0.000602;0.000602;0.000602;0.000602;0.000602
yo;0.000047;0.000047;0.000141;0.001130;0.000047;0.000141;0.000047;0.000047;0.959567;0.000235;0.000047;0.000047;0.000047;0.000047;0.000141;0.000094;0.000141;0.000047;0.020899;0.000094;0.000424;0.015062;0.000753;0.000047;0.000047;0.000047;0.000047;0.000094;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047;0.000047
yu;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.163265;0.020408;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
yt;0.001107;0.024363;0.001107;0.009967;0.003322;0.001107;0.001107;0.017719;0.002215;0.001107;0.881506;0.022148;0.001107;0.001107;0.003322;0.004430;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107;0.001107
yh;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
ye;0.000186;0.000186;0.007066;0.011157;0.663258;0.007252;0.002417;0.000372;0.000186;0.034213;0.000186;0.011157;0.152845;0.000186;0.001859;0.000186;0.012458;0.036445;0.000372;0.000186;0.000372;0.054295;0.000186;0.000186;0.000186;0.000186;0.000186;0.000558;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186
ys;0.000329;0.034585;0.000329;0.643610;0.000329;0.000988;0.000329;0.003623;0.000659;0.152833;0.000329;0.034585;0.001318;0.000329;0.113636;0.000329;0.000329;0.000329;0.000659;0.000329;0.002964;0.001318;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.001318;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329
yc;0.005525;0.005525;0.005525;0.011050;0.022099;0.292818;0.005525;0.165746;0.005525;0.005525;0.325967;0.011050;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525
y);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yw;0.003584;0.025090;0.003584;0.003584;0.405018;0.003584;0.003584;0.028674;0.003584;0.003584;0.422939;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584
yp;0.001318;0.071146;0.001318;0.003953;0.006588;0.003953;0.001318;0.077734;0.001318;0.048748;0.001318;0.704875;0.019763;0.001318;0.001318;0.001318;0.001318;0.005270;0.002635;0.001318;0.001318;0.014493;0.007905;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318;0.001318
yd;0.008621;0.017241;0.008621;0.224138;0.258621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.077586;0.017241;0.008621;0.043103;0.008621;0.008621;0.008621;0.017241;0.008621;0.008621;0.094828;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621
yn;0.002041;0.065306;0.002041;0.293878;0.216327;0.002041;0.002041;0.006122;0.002041;0.106122;0.002041;0.051020;0.010204;0.044898;0.036735;0.002041;0.002041;0.018367;0.069388;0.030612;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041
yy;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yf;0.020000;0.060000;0.020000;0.020000;0.060000;0.020000;0.020000;0.040000;0.060000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
yr;0.000556;0.052309;0.000556;0.001113;0.008347;0.000556;0.000556;0.007791;0.001113;0.000556;0.000556;0.910963;0.001113;0.000556;0.001113;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556;0.000556
yg;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.075472;0.056604;0.018868;0.018868;0.150943;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.075472;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
yq;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yx;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yj;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yv;0.003610;0.010830;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.862816;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610
yk;0.021277;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.127660;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
yz;0.021277;0.021277;0.021277;0.063830;0.063830;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.085106;0.042553;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
y,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
y.;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.121951;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
yí;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yá;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
yä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
y#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
f(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fi;0.000187;0.000187;0.000562;0.002808;0.003932;0.055233;0.000187;0.000187;0.000187;0.054671;0.000374;0.039880;0.011796;0.206328;0.000374;0.000187;0.000187;0.013293;0.212881;0.000374;0.019659;0.218873;0.079573;0.000187;0.014417;0.000562;0.061037;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187
fm;0.020408;0.040816;0.020408;0.040816;0.224490;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
f ;0.000045;0.068516;0.032553;0.004092;0.088884;0.036917;0.022914;0.033053;0.011775;0.292385;0.036508;0.014776;0.043146;0.050602;0.000955;0.049966;0.041646;0.020868;0.010912;0.070925;0.016958;0.017959;0.012321;0.001591;0.000318;0.009138;0.005729;0.003228;0.000546;0.000182;0.000273;0.000045;0.000045;0.000045;0.000045;0.000091;0.000045
fa;0.000290;0.134900;0.109080;0.003481;0.000290;0.062373;0.004352;0.000290;0.010154;0.032492;0.000870;0.000580;0.089643;0.295329;0.000870;0.001160;0.000290;0.004062;0.043516;0.000580;0.000290;0.154337;0.000290;0.000290;0.002611;0.000290;0.029011;0.015666;0.000290;0.000290;0.000290;0.000290;0.000290;0.000290;0.000290;0.000290;0.000290
fl;0.000999;0.171828;0.000999;0.003996;0.207792;0.000999;0.000999;0.200799;0.151848;0.000999;0.000999;0.118881;0.001998;0.002997;0.000999;0.000999;0.000999;0.000999;0.000999;0.111888;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999;0.000999
fb;0.006211;0.745342;0.006211;0.006211;0.018634;0.006211;0.006211;0.018634;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.012422;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
fo;0.000098;0.000098;0.000294;0.000978;0.000489;0.051174;0.000098;0.016438;0.060176;0.000098;0.000098;0.000196;0.004012;0.012524;0.000294;0.000489;0.000098;0.000196;0.000587;0.000098;0.000098;0.838258;0.000587;0.000098;0.011252;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098;0.000098
fu;0.000526;0.000526;0.002104;0.001578;0.000526;0.370857;0.000526;0.000526;0.000526;0.068385;0.000526;0.022094;0.060494;0.002104;0.000526;0.000526;0.000526;0.001052;0.397159;0.000526;0.000526;0.032614;0.027354;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526;0.001052;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526
ft;0.000591;0.041937;0.001181;0.346722;0.004725;0.004135;0.001772;0.001772;0.000591;0.000591;0.024217;0.422918;0.016539;0.000591;0.063792;0.020083;0.001181;0.000591;0.000591;0.033668;0.000591;0.001181;0.001772;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591;0.000591
fh;0.019231;0.019231;0.019231;0.019231;0.134615;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.192308;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
fe;0.000242;0.007752;0.010174;0.082607;0.036337;0.044331;0.004360;0.000242;0.004360;0.020107;0.000242;0.158672;0.050630;0.090601;0.016231;0.041182;0.000484;0.059593;0.053537;0.000242;0.000242;0.309593;0.003149;0.000242;0.000484;0.000242;0.001453;0.000242;0.000484;0.000242;0.000242;0.000242;0.000242;0.000242;0.000242;0.000242;0.000242
fs;0.007407;0.029630;0.007407;0.533333;0.014815;0.007407;0.007407;0.007407;0.014815;0.029630;0.022222;0.051852;0.007407;0.007407;0.066667;0.007407;0.029630;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407;0.007407
fc;0.016393;0.016393;0.016393;0.032787;0.016393;0.032787;0.016393;0.131148;0.016393;0.016393;0.016393;0.032787;0.016393;0.245902;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
f);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fw;0.021277;0.021277;0.021277;0.063830;0.170213;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
fp;0.015873;0.015873;0.015873;0.079365;0.015873;0.031746;0.111111;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.222222;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
fd;0.011905;0.047619;0.011905;0.035714;0.202381;0.011905;0.011905;0.071429;0.011905;0.011905;0.011905;0.119048;0.023810;0.071429;0.023810;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.071429;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
fn;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
fy;0.003690;0.313653;0.003690;0.487085;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.007380;0.003690;0.003690;0.070111;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690
ff;0.000288;0.166619;0.002306;0.323148;0.012396;0.008648;0.001153;0.049870;0.000865;0.000577;0.001153;0.347939;0.018161;0.000577;0.051600;0.000288;0.000577;0.000288;0.000288;0.000865;0.000288;0.007495;0.000288;0.000288;0.000288;0.000288;0.000288;0.000577;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288;0.000288
fr;0.000216;0.131148;0.000216;0.000216;0.105695;0.000216;0.000216;0.615833;0.009491;0.000216;0.000216;0.129206;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.001941;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216;0.000216
fg;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.027027;0.013514;0.013514;0.500000;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
fq;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fx;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fj;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
fv;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fk;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
