smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
za;0.002183;0.002183;0.093886;0.002183;0.006550;0.002183;0.004367;0.021834;0.397380;0.133188;0.002183;0.004367;0.006550;0.002183;0.004367;0.002183;0.002183;0.002183;0.026201;0.170306;0.028384;0.002183;0.002183;0.002183;0.002183;0.039301;0.015284;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183
zy;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.746324;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.128676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676
zh;0.018182;0.018182;0.018182;0.072727;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.254545;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
zg;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
zw;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zo;0.003195;0.003195;0.226837;0.028754;0.012780;0.003195;0.009585;0.230032;0.003195;0.047923;0.003195;0.006390;0.003195;0.006390;0.006390;0.003195;0.003195;0.329073;0.012780;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.006390;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195;0.003195
z);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zb;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.212766;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
zc;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zz;0.007576;0.007576;0.007576;0.083333;0.015152;0.022727;0.007576;0.007576;0.007576;0.022727;0.007576;0.007576;0.090909;0.083333;0.007576;0.007576;0.007576;0.007576;0.007576;0.015152;0.007576;0.007576;0.007576;0.007576;0.227273;0.234848;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576
zx;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zv;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.139535;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
zf;0.015385;0.015385;0.015385;0.461538;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
zl;0.014493;0.014493;0.014493;0.420290;0.014493;0.086957;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
zk;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
z.;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zj;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zq;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
z,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
zí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
z#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
x(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xp;0.000826;0.000826;0.156069;0.438481;0.000826;0.008258;0.000826;0.000826;0.000826;0.002477;0.002477;0.000826;0.041288;0.000826;0.000826;0.000826;0.000826;0.023947;0.001652;0.000826;0.000826;0.000826;0.000826;0.000826;0.000826;0.303055;0.000826;0.000826;0.000826;0.000826;0.000826;0.000826;0.000826;0.000826;0.000826;0.000826
xr;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xe;0.002364;0.002364;0.137116;0.002364;0.269504;0.002364;0.115839;0.033097;0.002364;0.004728;0.002364;0.004728;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.309693;0.002364;0.002364;0.002364;0.002364;0.059102;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364
xs;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.119048;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
xi;0.002110;0.002110;0.002110;0.012658;0.508439;0.002110;0.004219;0.149789;0.035865;0.002110;0.002110;0.069620;0.004219;0.002110;0.002110;0.002110;0.002110;0.042194;0.002110;0.016878;0.099156;0.002110;0.002110;0.002110;0.002110;0.004219;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110
xd;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xn;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
xt;0.001144;0.001144;0.196796;0.130435;0.024027;0.022883;0.002288;0.001144;0.001144;0.361556;0.117849;0.001144;0.004577;0.019451;0.014874;0.001144;0.001144;0.005721;0.068650;0.003432;0.001144;0.001144;0.001144;0.001144;0.002288;0.001144;0.001144;0.001144;0.001144;0.001144;0.001144;0.001144;0.001144;0.001144;0.001144;0.001144
x ;0.000769;0.046887;0.051499;0.007686;0.139124;0.057648;0.017679;0.053805;0.097617;0.006149;0.004612;0.038432;0.079170;0.016141;0.016141;0.004612;0.059954;0.049193;0.003075;0.054573;0.096080;0.000769;0.000769;0.003075;0.017679;0.026902;0.002306;0.001537;0.040738;0.000769;0.000769;0.000769;0.000769;0.000769;0.000769;0.000769
xu;0.001938;0.001938;0.058140;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.872093;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.005814;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938;0.001938
xm;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
xa;0.001005;0.001005;0.001005;0.001005;0.072362;0.001005;0.001005;0.042211;0.008040;0.004020;0.001005;0.357789;0.001005;0.001005;0.001005;0.015075;0.001005;0.001005;0.001005;0.002010;0.469347;0.001005;0.001005;0.002010;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005
xy;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.309091;0.018182;0.036364;0.018182;0.018182;0.018182;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
xh;0.020408;0.020408;0.020408;0.020408;0.020408;0.204082;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.081633;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
xg;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
xw;0.020000;0.020000;0.020000;0.020000;0.020000;0.300000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
xo;0.010753;0.010753;0.086022;0.010753;0.021505;0.010753;0.064516;0.451613;0.021505;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.032258;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
x);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xb;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
xc;0.001898;0.001898;0.003795;0.373814;0.001898;0.174573;0.001898;0.001898;0.001898;0.001898;0.184061;0.001898;0.003795;0.001898;0.110057;0.001898;0.001898;0.030361;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.066414;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898;0.001898
xz;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xx;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
xv;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
xf;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
xl;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
xk;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
x.;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.186047;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
xj;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xq;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
x,;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xé;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xá;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xä;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
xí;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
x#;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
v(;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
vp;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.792135;0.005618;0.011236;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.011236;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618;0.005618
vr;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.229167;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ve;0.000035;0.000035;0.351779;0.000069;0.064801;0.001209;0.023972;0.081416;0.002314;0.370881;0.000035;0.008083;0.004180;0.003661;0.000587;0.001865;0.000035;0.000138;0.058480;0.000069;0.001796;0.000104;0.000035;0.000035;0.000069;0.023800;0.000035;0.000207;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035
vs;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.130435;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.130435;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
vi;0.000146;0.001604;0.042141;0.114611;0.074074;0.000146;0.178040;0.180082;0.038349;0.000146;0.000146;0.000146;0.009332;0.000146;0.000146;0.002479;0.000146;0.157918;0.000146;0.002625;0.099592;0.002333;0.000146;0.014144;0.000146;0.079469;0.000292;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146;0.000146
vd;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.244898;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
vn;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
vt;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
v ;0.004098;0.020492;0.024590;0.020492;0.098361;0.069672;0.004098;0.024590;0.077869;0.004098;0.008197;0.028689;0.131148;0.049180;0.028689;0.020492;0.090164;0.081967;0.004098;0.049180;0.036885;0.004098;0.004098;0.004098;0.032787;0.020492;0.004098;0.004098;0.016393;0.008197;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098
vu;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.309091;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
vm;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.088235;0.401961;0.009804;0.009804;0.137255;0.009804;0.009804;0.009804;0.009804;0.009804;0.049020;0.009804;0.019608;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
va;0.000400;0.000799;0.086331;0.000400;0.036371;0.047562;0.017986;0.301359;0.233413;0.004396;0.000400;0.000400;0.000400;0.000799;0.002398;0.019185;0.000400;0.000400;0.000799;0.014388;0.043965;0.000400;0.000400;0.000400;0.000400;0.181855;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400
vy;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.505376;0.010753;0.010753;0.010753;0.010753;0.021505;0.010753;0.010753;0.010753;0.086022;0.010753;0.043011;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
vh;0.023256;0.023256;0.023256;0.023256;0.162791;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
vg;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
