smoothed;3
(;t;h;e; ;r;a;m;i;n;s;b;u;g;w;o;v;);l;y;c;d;f;p;j;k;x;z;#
ea;0.007874;0.102362;0.015748;0.007874;0.007874;0.165354;0.007874;0.015748;0.007874;0.165354;0.070866;0.015748;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.118110;0.007874;0.031496;0.149606;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874;0.007874
em;0.013889;0.013889;0.013889;0.194444;0.083333;0.013889;0.027778;0.027778;0.013889;0.055556;0.069444;0.097222;0.013889;0.013889;0.013889;0.125000;0.013889;0.041667;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
ei;0.018519;0.018519;0.018519;0.018519;0.018519;0.240741;0.018519;0.018519;0.018519;0.185185;0.018519;0.018519;0.018519;0.092593;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
en;0.004695;0.258216;0.004695;0.042254;0.225352;0.004695;0.004695;0.004695;0.009390;0.009390;0.042254;0.004695;0.009390;0.009390;0.004695;0.023474;0.004695;0.056338;0.009390;0.004695;0.107981;0.112676;0.014085;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695
es;0.005051;0.166667;0.010101;0.090909;0.287879;0.005051;0.005051;0.005051;0.106061;0.015152;0.121212;0.005051;0.010101;0.005051;0.005051;0.005051;0.005051;0.045455;0.005051;0.005051;0.010101;0.005051;0.005051;0.045455;0.005051;0.005051;0.005051;0.005051;0.005051
eb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
eu;0.022222;0.044444;0.022222;0.022222;0.022222;0.355556;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
eg;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ew;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
eo;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.063830;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.063830;0.021277;0.021277;0.297872;0.021277;0.021277;0.021277;0.021277;0.021277
ev;0.021277;0.021277;0.021277;0.382979;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
e);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
el;0.013514;0.067568;0.013514;0.094595;0.054054;0.013514;0.094595;0.013514;0.040541;0.013514;0.054054;0.013514;0.027027;0.054054;0.013514;0.027027;0.027027;0.013514;0.027027;0.121622;0.027027;0.013514;0.040541;0.054054;0.013514;0.013514;0.013514;0.013514;0.013514
ey;0.020833;0.020833;0.020833;0.020833;0.312500;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ec;0.010753;0.172043;0.075269;0.064516;0.010753;0.010753;0.118280;0.010753;0.064516;0.010753;0.010753;0.010753;0.096774;0.010753;0.010753;0.139785;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.043011;0.010753;0.010753;0.010753
ed;0.006897;0.006897;0.006897;0.068966;0.586207;0.006897;0.006897;0.006897;0.062069;0.006897;0.006897;0.006897;0.020690;0.006897;0.006897;0.006897;0.006897;0.096552;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897;0.006897
ef;0.020833;0.041667;0.020833;0.187500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.062500;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.166667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ep;0.025000;0.025000;0.025000;0.050000;0.050000;0.050000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.050000;0.025000;0.025000;0.100000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000
ej;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ek;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ex;0.020833;0.041667;0.020833;0.083333;0.020833;0.020833;0.166667;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.145833;0.020833;0.020833;0.020833;0.020833;0.020833
ez;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.125000;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
e#;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
 (;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
 t;0.001825;0.001825;0.678832;0.007299;0.001825;0.018248;0.021898;0.001825;0.007299;0.001825;0.001825;0.001825;0.010949;0.001825;0.001825;0.215328;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825
 h;0.006494;0.006494;0.006494;0.227273;0.006494;0.006494;0.363636;0.006494;0.129870;0.006494;0.006494;0.006494;0.090909;0.006494;0.006494;0.032468;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
 e;0.010204;0.020408;0.010204;0.010204;0.010204;0.010204;0.051020;0.081633;0.010204;0.122449;0.030612;0.010204;0.122449;0.020408;0.010204;0.010204;0.071429;0.010204;0.040816;0.010204;0.051020;0.010204;0.061224;0.010204;0.010204;0.010204;0.153061;0.010204;0.010204
  ;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
 r;0.008696;0.008696;0.008696;0.443478;0.008696;0.008696;0.060870;0.008696;0.182609;0.008696;0.008696;0.008696;0.060870;0.008696;0.008696;0.043478;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696;0.008696
 a;0.003413;0.047782;0.003413;0.003413;0.170648;0.061433;0.003413;0.037543;0.006826;0.303754;0.047782;0.058020;0.020478;0.037543;0.010239;0.003413;0.006826;0.044369;0.020478;0.003413;0.030717;0.013652;0.030717;0.013652;0.003413;0.003413;0.003413;0.003413;0.003413
 m;0.008197;0.008197;0.008197;0.122951;0.008197;0.016393;0.196721;0.008197;0.180328;0.008197;0.008197;0.008197;0.114754;0.008197;0.008197;0.155738;0.008197;0.008197;0.008197;0.032787;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197
 i;0.003759;0.176692;0.003759;0.003759;0.078947;0.011278;0.003759;0.045113;0.003759;0.394737;0.150376;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759;0.022556;0.003759;0.003759;0.011278;0.018797;0.018797;0.003759;0.003759;0.003759;0.003759;0.003759;0.003759
 n;0.013333;0.013333;0.013333;0.146667;0.013333;0.013333;0.040000;0.013333;0.040000;0.013333;0.013333;0.013333;0.040000;0.013333;0.013333;0.413333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333;0.013333
 s;0.005405;0.118919;0.108108;0.124324;0.016216;0.005405;0.091892;0.016216;0.059459;0.005405;0.005405;0.005405;0.108108;0.005405;0.005405;0.167568;0.005405;0.005405;0.016216;0.021622;0.021622;0.005405;0.005405;0.037838;0.005405;0.005405;0.005405;0.005405;0.010811
 b;0.006849;0.006849;0.006849;0.356164;0.006849;0.041096;0.130137;0.006849;0.041096;0.006849;0.006849;0.006849;0.136986;0.006849;0.006849;0.034247;0.006849;0.006849;0.013699;0.102740;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849
 u;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.048193;0.012048;0.409639;0.096386;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.096386;0.012048;0.036145;0.012048;0.012048;0.036145
 g;0.015625;0.015625;0.015625;0.156250;0.015625;0.109375;0.046875;0.015625;0.062500;0.015625;0.015625;0.015625;0.046875;0.015625;0.015625;0.218750;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
 w;0.005464;0.005464;0.284153;0.153005;0.005464;0.005464;0.234973;0.005464;0.125683;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.071038;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464
 o;0.005181;0.082902;0.010363;0.005181;0.010363;0.098446;0.005181;0.005181;0.005181;0.160622;0.005181;0.010363;0.041451;0.005181;0.020725;0.005181;0.025907;0.005181;0.005181;0.005181;0.005181;0.005181;0.414508;0.031088;0.005181;0.005181;0.005181;0.005181;0.005181
 v;0.017857;0.017857;0.017857;0.250000;0.017857;0.017857;0.107143;0.017857;0.142857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
 );0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
 l;0.009901;0.009901;0.009901;0.267327;0.009901;0.009901;0.207921;0.009901;0.207921;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.059406;0.009901;0.009901;0.009901;0.009901;0.019802;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901;0.009901
 y;0.010989;0.010989;0.010989;0.131868;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.571429;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
 c;0.006849;0.006849;0.068493;0.054795;0.006849;0.095890;0.143836;0.006849;0.034247;0.006849;0.027397;0.006849;0.020548;0.006849;0.006849;0.328767;0.006849;0.006849;0.082192;0.006849;0.006849;0.013699;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849;0.006849
 d;0.010204;0.010204;0.010204;0.204082;0.020408;0.020408;0.071429;0.010204;0.183673;0.010204;0.010204;0.010204;0.030612;0.010204;0.010204;0.244898;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
 f;0.009434;0.009434;0.009434;0.037736;0.018868;0.198113;0.084906;0.009434;0.075472;0.009434;0.009434;0.009434;0.028302;0.009434;0.009434;0.339623;0.009434;0.009434;0.018868;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
 p;0.006993;0.006993;0.013986;0.132867;0.006993;0.223776;0.090909;0.006993;0.013986;0.006993;0.006993;0.006993;0.083916;0.006993;0.006993;0.237762;0.006993;0.006993;0.055944;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993
 j;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.047619;0.023810;0.023810;0.023810;0.214286;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
 k;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.044118;0.014706;0.029412;0.529412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
 x;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
 z;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
 #;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.121212;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
r(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
rt;0.011628;0.011628;0.046512;0.046512;0.255814;0.011628;0.162791;0.011628;0.116279;0.023256;0.034884;0.011628;0.058140;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.023256;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628
rh;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
re;0.003876;0.023256;0.003876;0.015504;0.240310;0.003876;0.124031;0.007752;0.023256;0.062016;0.193798;0.003876;0.007752;0.015504;0.003876;0.011628;0.011628;0.073643;0.031008;0.003876;0.046512;0.038760;0.011628;0.015504;0.003876;0.003876;0.003876;0.003876;0.007752
r ;0.007246;0.173913;0.036232;0.028986;0.007246;0.028986;0.072464;0.036232;0.079710;0.014493;0.079710;0.057971;0.014493;0.007246;0.021739;0.094203;0.007246;0.007246;0.021739;0.014493;0.028986;0.021739;0.043478;0.043478;0.014493;0.007246;0.014493;0.007246;0.007246
rr;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.051282;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ra;0.008772;0.166667;0.008772;0.008772;0.008772;0.017544;0.008772;0.008772;0.043860;0.184211;0.043860;0.017544;0.008772;0.026316;0.035088;0.017544;0.017544;0.017544;0.096491;0.017544;0.131579;0.035088;0.008772;0.017544;0.008772;0.008772;0.008772;0.008772;0.008772
rm;0.019231;0.019231;0.019231;0.038462;0.096154;0.019231;0.173077;0.019231;0.076923;0.019231;0.096154;0.019231;0.019231;0.019231;0.019231;0.057692;0.019231;0.019231;0.019231;0.038462;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
ri;0.008000;0.104000;0.008000;0.040000;0.008000;0.008000;0.120000;0.048000;0.008000;0.096000;0.064000;0.024000;0.008000;0.160000;0.008000;0.040000;0.008000;0.008000;0.008000;0.008000;0.144000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.016000;0.008000
rn;0.015873;0.015873;0.015873;0.063492;0.158730;0.015873;0.222222;0.111111;0.047619;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
rs;0.014925;0.074627;0.059701;0.044776;0.328358;0.014925;0.029851;0.014925;0.029851;0.014925;0.014925;0.014925;0.059701;0.014925;0.014925;0.014925;0.014925;0.059701;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
rb;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516
ru;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.133333;0.022222;0.066667;0.066667;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.111111;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
rg;0.026316;0.026316;0.026316;0.236842;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
rw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.151515;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ro;0.008475;0.042373;0.008475;0.008475;0.033898;0.008475;0.033898;0.118644;0.008475;0.101695;0.050847;0.033898;0.110169;0.008475;0.016949;0.025424;0.016949;0.016949;0.033898;0.008475;0.076271;0.008475;0.008475;0.161017;0.008475;0.016949;0.008475;0.008475;0.008475
rv;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
r);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
rl;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.243902;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
ry;0.015625;0.015625;0.015625;0.015625;0.421875;0.015625;0.015625;0.015625;0.031250;0.015625;0.031250;0.046875;0.015625;0.015625;0.015625;0.015625;0.015625;0.093750;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
rc;0.023810;0.023810;0.095238;0.119048;0.023810;0.023810;0.023810;0.023810;0.119048;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
rd;0.022222;0.022222;0.022222;0.111111;0.111111;0.022222;0.044444;0.044444;0.088889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
rf;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
rp;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
rj;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
rk;0.029412;0.029412;0.029412;0.117647;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
