smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
b(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
b);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
bf;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
br;0.001637;0.001637;0.001637;0.001637;0.266776;0.001637;0.001637;0.001637;0.140753;0.001637;0.003273;0.001637;0.001637;0.346972;0.001637;0.001637;0.001637;0.144026;0.001637;0.001637;0.001637;0.065466;0.001637;0.001637;0.001637;0.001637
bo;0.000494;0.001975;0.000494;0.090370;0.094321;0.008395;0.001975;0.015309;0.000988;0.010864;0.034568;0.000494;0.082469;0.001975;0.004444;0.000988;0.007901;0.021728;0.000988;0.099753;0.002963;0.489877;0.000494;0.008395;0.005926;0.011852
bm;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.305556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
b ;0.003597;0.003597;0.017986;0.007194;0.075540;0.035971;0.003597;0.007194;0.017986;0.071942;0.017986;0.007194;0.111511;0.255396;0.043165;0.039568;0.014388;0.133094;0.032374;0.017986;0.017986;0.007194;0.021583;0.021583;0.003597;0.010791
bn;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
be;0.000241;0.005055;0.037795;0.119644;0.000241;0.000481;0.304526;0.018296;0.133606;0.000241;0.004092;0.000963;0.052239;0.045498;0.015648;0.151661;0.000241;0.021666;0.017092;0.013722;0.020221;0.000241;0.000241;0.035869;0.000241;0.000241
bw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
by;0.001351;0.029730;0.001351;0.002703;0.001351;0.001351;0.902703;0.001351;0.002703;0.001351;0.001351;0.001351;0.002703;0.006757;0.006757;0.001351;0.001351;0.018919;0.001351;0.001351;0.001351;0.001351;0.002703;0.002703;0.001351;0.001351
bk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
bt;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.368421;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.052632;0.070175;0.017544;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.017544;0.035088;0.017544;0.017544
bi;0.001364;0.001364;0.002729;0.027285;0.004093;0.001364;0.004093;0.115962;0.028649;0.001364;0.001364;0.013643;0.151432;0.001364;0.004093;0.008186;0.005457;0.036835;0.001364;0.017735;0.251023;0.001364;0.020464;0.293315;0.002729;0.001364
bs;0.005128;0.046154;0.005128;0.005128;0.276923;0.005128;0.215385;0.005128;0.056410;0.005128;0.005128;0.005128;0.138462;0.066667;0.005128;0.082051;0.005128;0.005128;0.015385;0.005128;0.005128;0.015385;0.005128;0.005128;0.005128;0.005128
bc;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
bb;0.009804;0.019608;0.009804;0.009804;0.029412;0.009804;0.137255;0.009804;0.215686;0.009804;0.137255;0.009804;0.009804;0.137255;0.019608;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.127451;0.009804;0.009804
ba;0.000641;0.000641;0.000641;0.096154;0.000641;0.063462;0.002564;0.105769;0.000641;0.000641;0.013462;0.003846;0.058333;0.002564;0.160897;0.266026;0.075000;0.000641;0.000641;0.050000;0.022436;0.000641;0.000641;0.071795;0.000641;0.000641
bh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037
bd;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333
bg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
bu;0.000688;0.001376;0.002753;0.055747;0.000688;0.003441;0.000688;0.023400;0.000688;0.000688;0.037853;0.000688;0.654508;0.064006;0.092911;0.007571;0.004129;0.000688;0.000688;0.013076;0.004129;0.000688;0.000688;0.025465;0.000688;0.002065
bp;0.027778;0.027778;0.027778;0.027778;0.305556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
bl;0.000758;0.000758;0.000758;0.000758;0.062121;0.000758;0.000758;0.000758;0.425758;0.000758;0.081818;0.000758;0.000758;0.313636;0.000758;0.000758;0.000758;0.090152;0.000758;0.000758;0.000758;0.011364;0.000758;0.000758;0.000758;0.000758
bv;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.031250;0.015625;0.015625;0.015625;0.015625;0.593750;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
b#;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.569231;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.061538;0.015385;0.015385;0.015385;0.015385
a(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
a);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
af;0.001812;0.003623;0.170290;0.088768;0.001812;0.001812;0.005435;0.001812;0.086957;0.001812;0.001812;0.001812;0.538043;0.007246;0.001812;0.001812;0.001812;0.007246;0.001812;0.001812;0.061594;0.001812;0.001812;0.001812;0.001812;0.001812
ar;0.000159;0.013352;0.000954;0.036401;0.030997;0.021936;0.115562;0.013511;0.251788;0.000159;0.051184;0.021618;0.137021;0.046733;0.049277;0.017803;0.012399;0.027023;0.000159;0.077730;0.038945;0.000318;0.000954;0.030043;0.003020;0.000954
ao;0.021277;0.021277;0.021277;0.340426;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.085106;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
am;0.000478;0.013372;0.000478;0.000478;0.032474;0.006208;0.133238;0.005253;0.450812;0.000478;0.004298;0.000478;0.000478;0.106017;0.007641;0.000478;0.043457;0.083572;0.000478;0.000955;0.000478;0.000478;0.106017;0.000955;0.000478;0.000478
a ;0.000167;0.000167;0.044467;0.048144;0.017720;0.057339;0.000167;0.024574;0.005851;0.066533;0.008693;0.007857;0.075226;0.022568;0.092110;0.088265;0.059010;0.044467;0.036275;0.052324;0.044132;0.003009;0.070712;0.088432;0.024908;0.016884
an;0.000070;0.006917;0.000140;0.000070;0.008175;0.000070;0.180618;0.013415;0.006288;0.000349;0.047233;0.017747;0.070151;0.018097;0.030254;0.023127;0.000140;0.009153;0.000559;0.538359;0.026132;0.001956;0.000070;0.000140;0.000140;0.000629
ae;0.004000;0.004000;0.008000;0.004000;0.004000;0.008000;0.004000;0.008000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.008000;0.004000;0.004000;0.004000;0.004000;0.056000;0.004000;0.004000;0.004000;0.832000;0.004000;0.004000
aw;0.001757;0.022847;0.026362;0.005272;0.001757;0.038664;0.289982;0.036907;0.014060;0.001757;0.128295;0.014060;0.001757;0.005272;0.101933;0.001757;0.003515;0.275923;0.003515;0.005272;0.001757;0.001757;0.001757;0.010545;0.001757;0.001757
ay;0.000364;0.093852;0.000364;0.000364;0.001819;0.005820;0.618770;0.001091;0.022190;0.000364;0.000364;0.000364;0.000728;0.078574;0.135686;0.002546;0.030920;0.001091;0.000364;0.000364;0.000364;0.000364;0.000364;0.002183;0.000364;0.000364
ak;0.001008;0.005040;0.001008;0.001008;0.002016;0.001008;0.066532;0.004032;0.652218;0.001008;0.001008;0.001008;0.005040;0.210685;0.011089;0.001008;0.003024;0.023185;0.002016;0.001008;0.001008;0.001008;0.001008;0.001008;0.001008;0.001008
at;0.000082;0.015693;0.000817;0.002207;0.018635;0.001635;0.526195;0.000245;0.150143;0.000082;0.000245;0.000082;0.029996;0.148100;0.058357;0.009644;0.000082;0.007683;0.021741;0.000082;0.000082;0.007111;0.000082;0.000736;0.000163;0.000082
ai;0.000520;0.000520;0.001040;0.128378;0.000520;0.034304;0.000520;0.335239;0.000520;0.001559;0.000520;0.000520;0.037422;0.000520;0.028586;0.000520;0.000520;0.000520;0.000520;0.232848;0.068087;0.000520;0.000520;0.119543;0.005198;0.000520
as;0.000175;0.005762;0.000175;0.000175;0.018509;0.001048;0.618125;0.016588;0.080671;0.000175;0.008207;0.036494;0.076829;0.035097;0.065829;0.002619;0.000175;0.001222;0.021477;0.000175;0.000175;0.007508;0.002095;0.000349;0.000175;0.000175
ac;0.000384;0.000384;0.000384;0.027660;0.002305;0.000384;0.002305;0.000384;0.149827;0.000384;0.015751;0.289666;0.305417;0.024203;0.000384;0.078755;0.000384;0.008836;0.081829;0.000384;0.000384;0.003073;0.000384;0.001921;0.000384;0.003842
ab;0.000571;0.001714;0.000571;0.011429;0.572000;0.000571;0.013143;0.000571;0.006857;0.000571;0.026857;0.000571;0.000571;0.048571;0.036571;0.000571;0.009143;0.018857;0.000571;0.002286;0.000571;0.020000;0.000571;0.225143;0.000571;0.000571
aa;0.025000;0.025000;0.025000;0.250000;0.025000;0.150000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
ah;0.002132;0.198294;0.002132;0.002132;0.038380;0.004264;0.520256;0.002132;0.031983;0.002132;0.002132;0.002132;0.002132;0.002132;0.004264;0.002132;0.002132;0.038380;0.002132;0.002132;0.002132;0.014925;0.002132;0.113006;0.002132;0.002132
ad;0.000451;0.017125;0.000451;0.000451;0.016674;0.059036;0.437134;0.008562;0.187922;0.000451;0.052276;0.000451;0.001352;0.051825;0.014421;0.002253;0.002253;0.033348;0.002253;0.041460;0.000901;0.008112;0.000451;0.018927;0.035151;0.006309
ag;0.000866;0.005195;0.000866;0.090909;0.081385;0.002597;0.019913;0.006061;0.442424;0.000866;0.000866;0.000866;0.000866;0.049351;0.012987;0.000866;0.000866;0.198268;0.002597;0.000866;0.036364;0.040693;0.000866;0.000866;0.000866;0.000866
au;0.001044;0.001044;0.002088;0.006263;0.001044;0.005219;0.011482;0.017745;0.001044;0.001044;0.001044;0.001044;0.113779;0.001044;0.639875;0.009395;0.003132;0.001044;0.001044;0.036534;0.078288;0.001044;0.001044;0.061587;0.001044;0.001044
ap;0.000943;0.008491;0.001887;0.013208;0.076415;0.000943;0.042453;0.000943;0.085849;0.000943;0.000943;0.000943;0.033962;0.047170;0.045283;0.000943;0.000943;0.055660;0.023585;0.000943;0.000943;0.000943;0.550000;0.003774;0.000943;0.000943
al;0.000153;0.010393;0.004891;0.011768;0.011768;0.015742;0.290387;0.000306;0.023384;0.011310;0.003515;0.057924;0.020174;0.057924;0.061287;0.001987;0.000764;0.009323;0.000306;0.007642;0.000917;0.005349;0.000306;0.391258;0.001070;0.000153
av;0.000583;0.000583;0.000583;0.000583;0.025088;0.000583;0.000583;0.000583;0.837223;0.000583;0.013419;0.000583;0.000583;0.097433;0.000583;0.000583;0.000583;0.014586;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583
a#;0.003175;0.031746;0.003175;0.003175;0.253968;0.003175;0.307937;0.003175;0.136508;0.003175;0.034921;0.003175;0.003175;0.114286;0.003175;0.003175;0.003175;0.034921;0.003175;0.003175;0.003175;0.009524;0.019048;0.003175;0.003175;0.006349
h(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
h);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hf;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.166667;0.033333;0.033333;0.033333;0.033333
hr;0.002016;0.002016;0.002016;0.002016;0.352823;0.002016;0.004032;0.002016;0.459677;0.002016;0.006048;0.002016;0.002016;0.110887;0.002016;0.002016;0.002016;0.018145;0.002016;0.002016;0.002016;0.010081;0.002016;0.002016;0.002016;0.002016
ho;0.000266;0.005315;0.000266;0.034813;0.057401;0.036141;0.173532;0.041988;0.005581;0.155727;0.000266;0.000797;0.025777;0.009567;0.093542;0.003455;0.001329;0.004518;0.000266;0.002923;0.000531;0.272389;0.021260;0.051023;0.001063;0.000266
hm;0.016667;0.016667;0.016667;0.016667;0.016667;0.033333;0.050000;0.016667;0.416667;0.016667;0.016667;0.016667;0.016667;0.066667;0.033333;0.016667;0.016667;0.066667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
h ;0.000260;0.000260;0.021033;0.022851;0.061802;0.048559;0.000260;0.012205;0.014022;0.049598;0.025188;0.032978;0.213970;0.101272;0.067255;0.036095;0.031680;0.117372;0.051935;0.013763;0.012205;0.006232;0.027785;0.015840;0.004934;0.010647
hn;0.007299;0.007299;0.007299;0.007299;0.153285;0.007299;0.233577;0.007299;0.094891;0.007299;0.007299;0.007299;0.007299;0.226277;0.138686;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299
he;0.000048;0.005843;0.000095;0.135439;0.001235;0.026413;0.580143;0.048029;0.001188;0.000190;0.084371;0.000048;0.006033;0.027221;0.042755;0.002423;0.000048;0.020950;0.000048;0.007696;0.000048;0.000048;0.000048;0.009501;0.000095;0.000048
hw;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.210526;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
hy;0.002825;0.056497;0.002825;0.002825;0.002825;0.008475;0.802260;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.002825;0.036723;0.002825;0.011299;0.002825;0.002825;0.005650;0.002825;0.002825;0.022599;0.005650;0.002825;0.002825
hk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ht;0.000756;0.094482;0.003023;0.000756;0.001512;0.005291;0.708239;0.001512;0.052910;0.000756;0.027211;0.000756;0.000756;0.021920;0.057445;0.000756;0.000756;0.000756;0.005291;0.000756;0.000756;0.000756;0.000756;0.010582;0.000756;0.000756
hi;0.000148;0.000592;0.002368;0.022795;0.005477;0.070160;0.003552;0.272202;0.008585;0.000148;0.000148;0.000296;0.037448;0.000296;0.439313;0.055358;0.002072;0.002072;0.000148;0.002664;0.020130;0.000148;0.015394;0.036856;0.000740;0.000888
hs;0.009615;0.144231;0.009615;0.009615;0.009615;0.009615;0.625000;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615
hc;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.212121;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hb;0.018182;0.018182;0.018182;0.018182;0.545455;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
ha;0.000093;0.000185;0.000278;0.030816;0.000648;0.005367;0.001203;0.068480;0.013696;0.000463;0.000093;0.002499;0.574681;0.006015;0.061910;0.000463;0.000463;0.000093;0.000093;0.059597;0.000555;0.001203;0.036369;0.008514;0.125763;0.000463
hh;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
hd;0.027027;0.027027;0.027027;0.216216;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hu;0.002012;0.002012;0.004024;0.217304;0.002012;0.124748;0.012072;0.285714;0.002012;0.002012;0.002012;0.002012;0.092555;0.002012;0.058350;0.028169;0.010060;0.004024;0.006036;0.006036;0.118712;0.002012;0.002012;0.008048;0.002012;0.002012
hp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hl;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.652482;0.007092;0.170213;0.007092;0.007092;0.014184;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092
hv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
h#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037
d(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
d);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
df;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.261905;0.023810;0.023810;0.023810;0.119048;0.023810;0.023810;0.023810;0.023810
dr;0.001838;0.003676;0.001838;0.001838;0.101103;0.001838;0.014706;0.001838;0.474265;0.001838;0.016544;0.001838;0.001838;0.125000;0.001838;0.001838;0.001838;0.132353;0.001838;0.001838;0.001838;0.099265;0.001838;0.001838;0.001838;0.001838
do;0.000392;0.010584;0.000392;0.007840;0.024696;0.021952;0.301450;0.208938;0.110937;0.112113;0.000392;0.000392;0.004704;0.061544;0.011760;0.046256;0.000392;0.000784;0.000392;0.001176;0.011368;0.019600;0.005488;0.024304;0.000784;0.011368
dm;0.004367;0.004367;0.004367;0.004367;0.052402;0.004367;0.004367;0.004367;0.218341;0.004367;0.004367;0.004367;0.004367;0.576419;0.004367;0.004367;0.004367;0.056769;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367;0.004367
d ;0.000057;0.000057;0.032210;0.018813;0.069152;0.026566;0.000057;0.019953;0.018072;0.059062;0.019098;0.004675;0.216578;0.088706;0.072744;0.026737;0.051593;0.116356;0.054957;0.022633;0.016362;0.012884;0.023488;0.016191;0.004504;0.008494
dn;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.124051;0.002532;0.002532;0.002532;0.701266;0.017722;0.002532;0.002532;0.002532;0.101266;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532;0.002532
de;0.000204;0.004900;0.030216;0.187015;0.008167;0.056554;0.112495;0.249081;0.010208;0.000408;0.000204;0.000204;0.017558;0.000408;0.061658;0.051041;0.009800;0.074724;0.000204;0.060229;0.006533;0.000204;0.032666;0.014700;0.009800;0.000817
dw;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.171429;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
dy;0.002203;0.083700;0.002203;0.002203;0.002203;0.002203;0.814978;0.019824;0.002203;0.002203;0.002203;0.002203;0.002203;0.015419;0.013216;0.002203;0.002203;0.002203;0.002203;0.002203;0.002203;0.002203;0.002203;0.008811;0.002203;0.002203
dk;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.133333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
dt;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.285714;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
di;0.000422;0.000422;0.078970;0.052787;0.012247;0.005068;0.005490;0.196791;0.047297;0.000422;0.000422;0.000422;0.044764;0.000422;0.127534;0.076436;0.014358;0.046875;0.000422;0.230152;0.005490;0.003378;0.005490;0.001689;0.040118;0.002111
ds;0.001429;0.055714;0.001429;0.001429;0.004286;0.001429;0.858571;0.001429;0.008571;0.001429;0.001429;0.001429;0.010000;0.004286;0.001429;0.005714;0.001429;0.020000;0.008571;0.001429;0.001429;0.001429;0.001429;0.001429;0.001429;0.001429
dc;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.219512;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.121951;0.048780;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390
db;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.051282;0.025641;0.051282;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
da;0.000649;0.014916;0.000649;0.053826;0.000649;0.047341;0.042153;0.055123;0.000649;0.006485;0.525292;0.001297;0.116732;0.041505;0.002594;0.006485;0.005188;0.000649;0.000649;0.014267;0.001297;0.009079;0.001946;0.020104;0.029183;0.001297
dh;0.018182;0.018182;0.018182;0.018182;0.054545;0.018182;0.036364;0.018182;0.072727;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.018182;0.418182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
dd;0.003623;0.003623;0.003623;0.152174;0.003623;0.003623;0.076087;0.003623;0.202899;0.003623;0.021739;0.003623;0.003623;0.134058;0.032609;0.003623;0.003623;0.028986;0.010870;0.003623;0.003623;0.003623;0.003623;0.278986;0.003623;0.003623
dg;0.004608;0.004608;0.004608;0.004608;0.004608;0.059908;0.004608;0.004608;0.806452;0.004608;0.004608;0.004608;0.004608;0.018433;0.004608;0.004608;0.004608;0.009217;0.004608;0.004608;0.004608;0.009217;0.004608;0.004608;0.004608;0.004608
du;0.002132;0.002132;0.002132;0.200426;0.004264;0.040512;0.002132;0.002132;0.027719;0.002132;0.002132;0.002132;0.038380;0.002132;0.130064;0.353945;0.006397;0.098081;0.002132;0.002132;0.002132;0.002132;0.006397;0.061834;0.002132;0.002132
dp;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
dl;0.004630;0.004630;0.004630;0.004630;0.018519;0.004630;0.004630;0.004630;0.365741;0.004630;0.337963;0.004630;0.004630;0.175926;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630;0.004630
dv;0.009709;0.009709;0.009709;0.009709;0.145631;0.009709;0.009709;0.009709;0.087379;0.009709;0.009709;0.009709;0.009709;0.310680;0.009709;0.009709;0.009709;0.242718;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709
d#;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.076923;0.025641;0.025641;0.025641;0.282051;0.025641;0.025641;0.025641;0.025641
g(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
