smoothed;3
(;a;l;r;i;g;h;t; ;j;m;c;e;y;s;n;);o;k;v;b;f;w;u;d;p;#
cg;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ch;0.000595;0.153983;0.001189;0.028537;0.121284;0.000595;0.000595;0.000595;0.471463;0.000595;0.008918;0.000595;0.095719;0.003567;0.001784;0.008323;0.036861;0.048751;0.000595;0.000595;0.001189;0.000595;0.000595;0.010702;0.000595;0.000595;0.000595
ct;0.000761;0.025114;0.055556;0.011416;0.249619;0.000761;0.000761;0.000761;0.230594;0.000761;0.004566;0.000761;0.068493;0.000761;0.044140;0.004566;0.017504;0.073059;0.000761;0.000761;0.000761;0.001522;0.000761;0.203196;0.000761;0.000761;0.000761
c ;0.002198;0.259341;0.019780;0.019780;0.070330;0.019780;0.015385;0.074725;0.002198;0.004396;0.043956;0.052747;0.015385;0.008791;0.083516;0.021978;0.002198;0.043956;0.004396;0.006593;0.041758;0.015385;0.035165;0.002198;0.035165;0.094505;0.004396
cj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cm;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258
cc;0.005291;0.084656;0.005291;0.005291;0.031746;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.264550;0.005291;0.005291;0.005291;0.005291;0.190476;0.005291;0.005291;0.005291;0.005291;0.005291;0.312169;0.005291;0.005291;0.005291
ce;0.000569;0.004551;0.024460;0.068828;0.008532;0.000569;0.000569;0.001138;0.466439;0.000569;0.010808;0.000569;0.007964;0.006826;0.084755;0.108646;0.083618;0.001706;0.000569;0.000569;0.011377;0.001706;0.000569;0.000569;0.075654;0.027304;0.000569
cy;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.751412;0.005650;0.005650;0.045198;0.005650;0.005650;0.005650;0.011299;0.056497;0.005650;0.005650;0.005650;0.011299;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
cs;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.026786;0.625000;0.008929;0.008929;0.008929;0.008929;0.008929;0.017857;0.008929;0.125000;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
cn;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
c);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
co;0.000355;0.012425;0.045083;0.039049;0.001775;0.005325;0.005325;0.004260;0.008875;0.000355;0.258076;0.002840;0.000710;0.000355;0.010295;0.244231;0.001065;0.034079;0.002485;0.014554;0.001065;0.002840;0.003195;0.284700;0.002840;0.013135;0.000710
ck;0.000774;0.012384;0.073529;0.000774;0.038700;0.006192;0.000774;0.001548;0.527864;0.000774;0.002322;0.000774;0.089783;0.015480;0.162539;0.006966;0.040248;0.003096;0.000774;0.000774;0.001548;0.001548;0.004644;0.002322;0.000774;0.002322;0.000774
cv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
cf;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
cu;0.001706;0.001706;0.194539;0.163823;0.003413;0.001706;0.001706;0.129693;0.001706;0.001706;0.146758;0.001706;0.003413;0.001706;0.295222;0.001706;0.001706;0.003413;0.001706;0.001706;0.006826;0.005119;0.001706;0.006826;0.001706;0.015358;0.001706
cd;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.142857;0.028571;0.028571;0.028571;0.028571;0.028571;0.142857;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
cp;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
c#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483
e(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ea;0.000240;0.000240;0.165309;0.204839;0.000240;0.005750;0.101342;0.093196;0.026833;0.000240;0.035458;0.034020;0.000240;0.000240;0.084571;0.103498;0.005271;0.000240;0.024437;0.010781;0.000958;0.000240;0.000240;0.006229;0.087207;0.007427;0.000719
el;0.000472;0.024540;0.311468;0.000944;0.109014;0.000472;0.000472;0.010382;0.093912;0.000472;0.002832;0.039641;0.127419;0.088249;0.050024;0.000472;0.008966;0.019821;0.000944;0.024068;0.000944;0.040113;0.000472;0.001416;0.015573;0.026428;0.000472
er;0.000101;0.032173;0.001522;0.012585;0.067391;0.011672;0.001015;0.016036;0.321932;0.000913;0.012889;0.013092;0.233431;0.077540;0.116513;0.021212;0.024358;0.005887;0.000710;0.016340;0.001218;0.004263;0.002436;0.000913;0.002233;0.001421;0.000203
ei;0.001285;0.001285;0.014139;0.435733;0.001285;0.200514;0.001285;0.043702;0.001285;0.002571;0.003856;0.002571;0.001285;0.001285;0.016710;0.232648;0.001285;0.001285;0.001285;0.016710;0.001285;0.001285;0.001285;0.001285;0.006427;0.001285;0.005141
eg;0.002857;0.231429;0.005714;0.100000;0.225714;0.020000;0.002857;0.002857;0.022857;0.002857;0.020000;0.002857;0.125714;0.034286;0.011429;0.002857;0.005714;0.080000;0.002857;0.002857;0.002857;0.002857;0.002857;0.077143;0.002857;0.002857;0.002857
eh;0.010417;0.218750;0.010417;0.010417;0.260417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.020833;0.010417;0.010417;0.020833;0.010417;0.239583;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.020833;0.010417;0.010417
et;0.000436;0.016565;0.002180;0.005667;0.044900;0.000436;0.117262;0.118570;0.451613;0.000436;0.000436;0.006539;0.054054;0.027899;0.088492;0.006103;0.018745;0.009590;0.000436;0.000436;0.002180;0.000436;0.021360;0.003923;0.000436;0.000436;0.000436
e ;0.000036;0.106302;0.030878;0.030300;0.074050;0.029396;0.046534;0.136819;0.000108;0.007123;0.037350;0.039411;0.026214;0.026684;0.063420;0.026033;0.000036;0.057128;0.007918;0.005387;0.042340;0.032795;0.080305;0.008388;0.039701;0.043823;0.001519
ej;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412
em;0.000635;0.041931;0.001906;0.000635;0.030496;0.000635;0.000635;0.000635;0.256671;0.000635;0.004447;0.000635;0.226811;0.008259;0.058450;0.003812;0.037484;0.209657;0.000635;0.000635;0.083227;0.000635;0.000635;0.001271;0.000635;0.027319;0.000635
ec;0.000565;0.345003;0.005647;0.018069;0.053642;0.000565;0.027103;0.271598;0.001129;0.000565;0.000565;0.001694;0.044608;0.001694;0.001694;0.000565;0.000565;0.152456;0.031056;0.000565;0.000565;0.000565;0.000565;0.036138;0.001694;0.000565;0.000565
ee;0.000481;0.000961;0.046612;0.013936;0.013455;0.000481;0.000481;0.049495;0.254685;0.000481;0.040846;0.016338;0.000481;0.000481;0.017780;0.280154;0.017299;0.000481;0.066314;0.002403;0.000481;0.001922;0.000481;0.000481;0.115810;0.053820;0.003364
ey;0.000605;0.000605;0.009674;0.150544;0.001209;0.000605;0.000605;0.001209;0.764813;0.000605;0.001814;0.000605;0.015115;0.000605;0.007255;0.000605;0.016324;0.004837;0.000605;0.013301;0.000605;0.000605;0.000605;0.000605;0.004837;0.000605;0.000605
es;0.000187;0.000933;0.000560;0.000187;0.059922;0.000187;0.002240;0.127870;0.516147;0.000187;0.001307;0.004667;0.071495;0.000187;0.109016;0.036774;0.031548;0.003547;0.000747;0.000747;0.000373;0.000187;0.000187;0.007467;0.002053;0.021094;0.000187
en;0.000158;0.021021;0.004109;0.000632;0.021179;0.006638;0.001264;0.306464;0.382646;0.001264;0.000632;0.058480;0.039197;0.000790;0.028133;0.030662;0.012486;0.010431;0.000158;0.005532;0.000158;0.002529;0.000474;0.001739;0.062747;0.000158;0.000316
e);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
eo;0.000953;0.000953;0.017159;0.049571;0.000953;0.004766;0.000953;0.002860;0.015253;0.000953;0.000953;0.004766;0.000953;0.000953;0.005720;0.074357;0.000953;0.000953;0.000953;0.001907;0.000953;0.000953;0.000953;0.019066;0.002860;0.787417;0.000953
ek;0.006024;0.006024;0.012048;0.006024;0.018072;0.006024;0.006024;0.006024;0.566265;0.006024;0.006024;0.006024;0.048193;0.006024;0.102410;0.006024;0.120482;0.006024;0.006024;0.006024;0.006024;0.006024;0.012048;0.006024;0.006024;0.006024;0.006024
ev;0.000530;0.016967;0.000530;0.001591;0.039767;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.917815;0.000530;0.000530;0.000530;0.000530;0.012195;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530;0.000530
eb;0.004202;0.184874;0.004202;0.126050;0.008403;0.004202;0.004202;0.046218;0.033613;0.004202;0.004202;0.004202;0.058824;0.004202;0.021008;0.004202;0.004202;0.420168;0.004202;0.004202;0.004202;0.004202;0.004202;0.025210;0.004202;0.004202;0.004202
ef;0.001779;0.005338;0.026690;0.007117;0.069395;0.001779;0.001779;0.092527;0.206406;0.001779;0.001779;0.001779;0.115658;0.001779;0.014235;0.001779;0.023132;0.215302;0.001779;0.001779;0.001779;0.122776;0.001779;0.074733;0.001779;0.001779;0.001779
ew;0.002141;0.036403;0.006424;0.008565;0.019272;0.002141;0.017131;0.006424;0.582441;0.002141;0.004283;0.002141;0.059957;0.002141;0.192719;0.006424;0.019272;0.010707;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141;0.002141
eu;0.016129;0.016129;0.016129;0.387097;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.064516;0.016129;0.016129;0.016129;0.016129;0.016129;0.096774;0.016129
ed;0.000300;0.005404;0.002702;0.000901;0.061543;0.007805;0.000300;0.000600;0.819273;0.000300;0.000300;0.000300;0.014410;0.011408;0.012909;0.001501;0.035125;0.004803;0.000300;0.000300;0.000600;0.000300;0.001201;0.011108;0.005704;0.000300;0.000300
ep;0.001361;0.066667;0.029932;0.051701;0.040816;0.001361;0.017687;0.082993;0.121088;0.001361;0.001361;0.001361;0.058503;0.009524;0.013605;0.001361;0.006803;0.068027;0.001361;0.001361;0.001361;0.001361;0.001361;0.409524;0.001361;0.005442;0.001361
e#;0.001056;0.118268;0.002112;0.001056;0.049630;0.001056;0.001056;0.247096;0.080253;0.001056;0.001056;0.072862;0.027455;0.008448;0.001056;0.001056;0.002112;0.006336;0.001056;0.001056;0.001056;0.001056;0.001056;0.103485;0.001056;0.266103;0.001056
y(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ya;0.011364;0.011364;0.227273;0.045455;0.011364;0.011364;0.034091;0.011364;0.056818;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.340909;0.045455;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
yl;0.005025;0.015075;0.080402;0.005025;0.010050;0.005025;0.005025;0.005025;0.010050;0.005025;0.005025;0.005025;0.035176;0.005025;0.005025;0.005025;0.005025;0.025126;0.005025;0.708543;0.005025;0.005025;0.005025;0.020101;0.005025;0.005025;0.005025
yr;0.003436;0.006873;0.003436;0.003436;0.041237;0.003436;0.003436;0.003436;0.010309;0.003436;0.003436;0.003436;0.855670;0.003436;0.003436;0.003436;0.003436;0.010309;0.003436;0.003436;0.003436;0.003436;0.003436;0.003436;0.003436;0.003436;0.003436
yi;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.004474;0.002237;0.002237;0.002237;0.004474;0.002237;0.004474;0.935123;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237;0.002237
yg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483
yh;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
yt;0.005376;0.010753;0.005376;0.005376;0.021505;0.005376;0.822581;0.005376;0.005376;0.005376;0.005376;0.005376;0.016129;0.005376;0.005376;0.005376;0.005376;0.010753;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376;0.005376
y ;0.000111;0.106118;0.023026;0.022136;0.081758;0.028921;0.044049;0.144939;0.000111;0.008231;0.030367;0.037597;0.019577;0.028476;0.066852;0.024472;0.000111;0.047052;0.016352;0.008454;0.040378;0.036040;0.092659;0.006785;0.053170;0.030033;0.002225
yj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ym;0.011494;0.114943;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.057471;0.011494;0.034483;0.011494;0.068966;0.011494;0.011494;0.011494;0.011494;0.333333;0.011494;0.011494;0.057471;0.011494;0.011494;0.011494;0.011494;0.103448;0.011494
yc;0.022727;0.045455;0.181818;0.022727;0.022727;0.022727;0.227273;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ye;0.000928;0.651206;0.004638;0.117811;0.000928;0.000928;0.000928;0.029685;0.007421;0.000928;0.001855;0.000928;0.006494;0.000928;0.134508;0.000928;0.003711;0.000928;0.000928;0.001855;0.000928;0.000928;0.000928;0.000928;0.024119;0.002783;0.000928
yy;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ys;0.001718;0.003436;0.001718;0.001718;0.027491;0.001718;0.001718;0.063574;0.800687;0.001718;0.001718;0.001718;0.017182;0.001718;0.003436;0.001718;0.046392;0.003436;0.001718;0.001718;0.001718;0.003436;0.001718;0.001718;0.001718;0.001718;0.001718
yn;0.020408;0.102041;0.020408;0.020408;0.081633;0.020408;0.020408;0.020408;0.102041;0.020408;0.020408;0.020408;0.061224;0.061224;0.020408;0.081633;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.081633;0.020408;0.020408
y);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
yo;0.000263;0.000263;0.000263;0.011038;0.000263;0.000526;0.000263;0.000263;0.001840;0.000263;0.000263;0.000263;0.000263;0.000263;0.000263;0.018134;0.000788;0.000263;0.000263;0.000263;0.000263;0.000526;0.000263;0.961892;0.000263;0.000263;0.000263
yk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
yv;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.407407;0.018519;0.018519;0.018519;0.018519;0.129630;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
yb;0.003205;0.006410;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.442308;0.003205;0.003205;0.003205;0.003205;0.474359;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205
yf;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yw;0.014286;0.185714;0.014286;0.014286;0.014286;0.014286;0.214286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.257143;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
yu;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
yd;0.022727;0.204545;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.159091;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
yp;0.015152;0.090909;0.015152;0.015152;0.121212;0.015152;0.015152;0.060606;0.015152;0.015152;0.015152;0.015152;0.287879;0.015152;0.030303;0.030303;0.015152;0.075758;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
y#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
s(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
sa;0.000544;0.001088;0.018498;0.020131;0.254081;0.020131;0.000544;0.028836;0.003264;0.000544;0.055495;0.005985;0.000544;0.372688;0.011970;0.106094;0.001088;0.001088;0.004897;0.014146;0.005441;0.009249;0.033732;0.010881;0.011425;0.007073;0.000544
sl;0.003690;0.523985;0.003690;0.003690;0.110701;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.077491;0.118081;0.003690;0.003690;0.003690;0.062731;0.003690;0.003690;0.003690;0.003690;0.003690;0.029520;0.003690;0.003690;0.003690
sr;0.020408;0.367347;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408
si;0.000512;0.075230;0.010747;0.003071;0.000512;0.035312;0.000512;0.099284;0.006141;0.000512;0.011771;0.069601;0.007165;0.000512;0.054248;0.128454;0.000512;0.155067;0.000512;0.020471;0.063460;0.001024;0.000512;0.000512;0.200614;0.000512;0.053224
sg;0.024390;0.024390;0.024390;0.121951;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.219512;0.024390;0.024390;0.024390
sh;0.000648;0.051166;0.000648;0.007124;0.141192;0.000648;0.000648;0.000648;0.137306;0.000648;0.010363;0.000648;0.182642;0.002591;0.001943;0.003238;0.069948;0.367228;0.000648;0.000648;0.000648;0.001295;0.000648;0.014896;0.000648;0.000648;0.000648
st;0.000223;0.149699;0.007351;0.082869;0.114948;0.000223;0.000446;0.000446;0.410114;0.000223;0.003787;0.000223;0.098017;0.004233;0.018267;0.000223;0.012920;0.061038;0.000223;0.000223;0.000668;0.000223;0.000223;0.032301;0.000223;0.000446;0.000223
s ;0.000059;0.164321;0.026097;0.020701;0.087966;0.033486;0.038353;0.135761;0.000176;0.008210;0.032489;0.027328;0.020174;0.019059;0.042928;0.037474;0.000059;0.076061;0.005395;0.006568;0.047854;0.029146;0.079639;0.007096;0.019353;0.033017;0.001232
sj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
sm;0.004695;0.239437;0.004695;0.004695;0.028169;0.004695;0.004695;0.004695;0.342723;0.004695;0.004695;0.004695;0.150235;0.004695;0.014085;0.004695;0.037559;0.093897;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695;0.004695
sc;0.002519;0.214106;0.022670;0.103275;0.118388;0.002519;0.156171;0.002519;0.005038;0.002519;0.002519;0.002519;0.037783;0.002519;0.002519;0.002519;0.002519;0.078086;0.002519;0.002519;0.002519;0.002519;0.002519;0.219144;0.002519;0.002519;0.002519
se;0.000244;0.035383;0.037335;0.052709;0.002684;0.001952;0.000732;0.013177;0.438263;0.000244;0.001952;0.047828;0.112738;0.002684;0.036115;0.052221;0.021718;0.000244;0.000244;0.027330;0.001952;0.002440;0.000732;0.000244;0.076135;0.005612;0.027086
sy;0.003584;0.003584;0.516129;0.028674;0.003584;0.003584;0.003584;0.003584;0.189964;0.003584;0.032258;0.035842;0.003584;0.003584;0.100358;0.007168;0.021505;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584
ss;0.000633;0.043038;0.002532;0.001266;0.330380;0.000633;0.008861;0.000633;0.316456;0.000633;0.017722;0.000633;0.114557;0.006962;0.000633;0.001266;0.031646;0.021519;0.000633;0.000633;0.000633;0.004430;0.003165;0.084177;0.000633;0.005063;0.000633
sn;0.002817;0.014085;0.002817;0.002817;0.014085;0.002817;0.002817;0.861972;0.002817;0.002817;0.002817;0.002817;0.025352;0.002817;0.002817;0.002817;0.002817;0.019718;0.002817;0.002817;0.002817;0.002817;0.002817;0.005634;0.002817;0.002817;0.002817
s);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
so;0.000409;0.000818;0.035174;0.053579;0.000409;0.002045;0.000409;0.001636;0.362372;0.000409;0.264213;0.043354;0.000818;0.000409;0.000409;0.163190;0.017587;0.006135;0.000409;0.002045;0.001227;0.004090;0.000818;0.032720;0.002863;0.002045;0.000409
sk;0.005587;0.039106;0.005587;0.005587;0.184358;0.005587;0.005587;0.005587;0.329609;0.005587;0.005587;0.005587;0.240223;0.044693;0.022346;0.005587;0.022346;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.011173;0.005587;0.005587;0.005587
sv;0.033333;0.033333;0.033333;0.033333;0.133333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
sb;0.021739;0.108696;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.239130;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739
sf;0.023810;0.071429;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.190476;0.023810;0.023810;0.023810
sw;0.008929;0.133929;0.008929;0.008929;0.169643;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.419643;0.008929;0.008929;0.008929;0.008929;0.062500;0.008929;0.008929;0.008929;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929
su;0.001325;0.035762;0.043709;0.233113;0.035762;0.023841;0.001325;0.001325;0.001325;0.001325;0.042384;0.079470;0.157616;0.001325;0.050331;0.029139;0.001325;0.001325;0.001325;0.001325;0.050331;0.015894;0.001325;0.001325;0.025166;0.160265;0.001325
sd;0.023256;0.348837;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
