smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
wd;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333
wy;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.305556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
wu;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.137931;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
wk;0.030303;0.030303;0.030303;0.030303;0.060606;0.090909;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.121212;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
w#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
d(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
d);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
dt;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.468085;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
dh;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.317073;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
di;0.000980;0.000980;0.058824;0.000980;0.000980;0.141176;0.003922;0.002941;0.025490;0.053922;0.013725;0.072549;0.045098;0.083333;0.032353;0.187255;0.003922;0.017647;0.002941;0.000980;0.223529;0.000980;0.000980;0.000980;0.021569;0.001961
ds;0.003690;0.022140;0.014760;0.003690;0.007380;0.003690;0.841328;0.003690;0.003690;0.007380;0.003690;0.007380;0.029520;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690
d ;0.000141;0.000141;0.223130;0.055783;0.092126;0.067474;0.000141;0.024933;0.017749;0.113115;0.013100;0.038315;0.068038;0.028314;0.017467;0.018312;0.026342;0.049162;0.020425;0.054092;0.017608;0.023243;0.011692;0.004367;0.004930;0.009861
dm;0.013514;0.013514;0.013514;0.013514;0.581081;0.013514;0.013514;0.013514;0.067568;0.040541;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
de;0.000468;0.002341;0.018258;0.000468;0.000468;0.029963;0.104869;0.136236;0.014045;0.059457;0.001873;0.036049;0.009363;0.022472;0.154494;0.275281;0.046816;0.014513;0.013577;0.000936;0.048689;0.000468;0.000468;0.000468;0.007491;0.000468
da;0.001852;0.005556;0.177778;0.001852;0.007407;0.003704;0.046296;0.024074;0.001852;0.001852;0.001852;0.011111;0.001852;0.001852;0.050000;0.066667;0.001852;0.009259;0.025926;0.001852;0.016667;0.462963;0.007407;0.011111;0.055556;0.001852
dg;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.519231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
dc;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.229167;0.020833;0.020833;0.208333;0.020833;0.020833;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
do;0.000878;0.008780;0.050044;0.000878;0.067603;0.011414;0.251097;0.021949;0.129939;0.000878;0.004390;0.028973;0.012291;0.000878;0.007024;0.266023;0.005268;0.000878;0.014925;0.091308;0.000878;0.000878;0.013169;0.000878;0.002634;0.006146
df;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
dr;0.004878;0.004878;0.004878;0.004878;0.058537;0.004878;0.014634;0.004878;0.453659;0.170732;0.004878;0.004878;0.097561;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.034146;0.078049;0.004878;0.004878;0.004878
dn;0.007634;0.007634;0.709924;0.007634;0.030534;0.007634;0.007634;0.007634;0.083969;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634;0.007634
dp;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
db;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.161290;0.032258;0.032258;0.032258;0.032258
dl;0.008929;0.008929;0.008929;0.008929;0.258929;0.008929;0.008929;0.008929;0.205357;0.008929;0.008929;0.008929;0.071429;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.267857;0.008929;0.008929;0.008929;0.008929
dw;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.125000;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
dd;0.009709;0.019417;0.009709;0.009709;0.174757;0.077670;0.106796;0.009709;0.184466;0.009709;0.009709;0.009709;0.029126;0.009709;0.067961;0.009709;0.009709;0.009709;0.145631;0.009709;0.009709;0.029126;0.009709;0.009709;0.009709;0.009709
dy;0.005263;0.042105;0.005263;0.005263;0.021053;0.036842;0.763158;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.026316;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263;0.005263
du;0.007519;0.007519;0.045113;0.007519;0.007519;0.052632;0.007519;0.045113;0.022556;0.075188;0.015038;0.300752;0.007519;0.007519;0.233083;0.015038;0.030075;0.007519;0.045113;0.007519;0.015038;0.007519;0.007519;0.007519;0.007519;0.007519
dk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
dv;0.012195;0.012195;0.012195;0.012195;0.353659;0.012195;0.012195;0.012195;0.207317;0.146341;0.012195;0.012195;0.024390;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
d#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037
y(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
y);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yt;0.011364;0.011364;0.011364;0.602273;0.113636;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
yh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
yi;0.003876;0.003876;0.003876;0.003876;0.003876;0.015504;0.003876;0.003876;0.007752;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.887597;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876;0.003876
ys;0.003584;0.017921;0.082437;0.003584;0.046595;0.007168;0.759857;0.003584;0.014337;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584
y ;0.000194;0.000194;0.142829;0.058024;0.073938;0.077042;0.000194;0.034737;0.022123;0.108092;0.026004;0.047351;0.047933;0.037842;0.022123;0.024452;0.032020;0.042888;0.027169;0.083252;0.038618;0.013584;0.008733;0.007180;0.008927;0.014555
ym;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.047619;0.015873;0.301587;0.031746;0.015873;0.015873;0.158730;0.015873;0.015873;0.015873;0.095238;0.047619;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
ye;0.001842;0.003683;0.062615;0.001842;0.001842;0.167587;0.014733;0.001842;0.005525;0.620626;0.001842;0.001842;0.001842;0.001842;0.049724;0.001842;0.001842;0.001842;0.014733;0.001842;0.029466;0.001842;0.001842;0.001842;0.001842;0.001842
ya;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.103896;0.467532;0.012987;0.012987;0.129870;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
yg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yc;0.026316;0.026316;0.026316;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.210526;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yo;0.000755;0.000755;0.000755;0.000755;0.000755;0.001509;0.003019;0.000755;0.000755;0.000755;0.000755;0.000755;0.000755;0.000755;0.019623;0.018868;0.000755;0.000755;0.000755;0.000755;0.000755;0.000755;0.941132;0.000755;0.000755;0.000755
yf;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yr;0.006579;0.006579;0.006579;0.006579;0.105263;0.013158;0.006579;0.006579;0.723684;0.013158;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579
yn;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.051282;0.128205;0.025641;0.076923;0.051282;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641
yp;0.014493;0.014493;0.014493;0.014493;0.217391;0.028986;0.014493;0.014493;0.376812;0.014493;0.014493;0.014493;0.057971;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
yb;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.555556;0.007937;0.007937;0.007937;0.253968;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937
yl;0.019231;0.019231;0.019231;0.019231;0.096154;0.019231;0.019231;0.019231;0.076923;0.057692;0.019231;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.019231;0.096154;0.019231;0.019231;0.019231;0.038462;0.019231;0.192308;0.019231
yw;0.027778;0.027778;0.027778;0.166667;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
yd;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.325000;0.025000;0.050000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
yy;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yu;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
yk;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
yv;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.528302;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
y#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
u(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
u);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ut;0.000517;0.012913;0.013946;0.021694;0.029442;0.016012;0.825930;0.000517;0.037190;0.008264;0.000517;0.001550;0.007231;0.000517;0.003099;0.000517;0.002066;0.000517;0.002066;0.001550;0.002583;0.004649;0.005165;0.000517;0.000517;0.000517
uh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ui;0.005155;0.005155;0.304124;0.005155;0.005155;0.046392;0.005155;0.005155;0.046392;0.005155;0.005155;0.206186;0.005155;0.005155;0.046392;0.082474;0.005155;0.005155;0.144330;0.005155;0.025773;0.005155;0.005155;0.005155;0.005155;0.010309
us;0.000534;0.006948;0.252806;0.045965;0.046499;0.035275;0.163014;0.000534;0.325494;0.070016;0.000534;0.000534;0.000534;0.000534;0.000534;0.002672;0.005879;0.004810;0.025120;0.000534;0.000534;0.002138;0.006948;0.000534;0.000534;0.000534
u ;0.001038;0.001038;0.073728;0.097612;0.018692;0.068536;0.001038;0.036345;0.005192;0.083074;0.064382;0.101765;0.010384;0.039460;0.010384;0.012461;0.017653;0.019730;0.041537;0.073728;0.044652;0.004154;0.007269;0.152648;0.005192;0.008307
um;0.001565;0.007825;0.001565;0.001565;0.021909;0.010955;0.054773;0.017214;0.134585;0.020344;0.001565;0.001565;0.006260;0.001565;0.001565;0.003130;0.510172;0.189358;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565
ue;0.002439;0.026829;0.002439;0.002439;0.002439;0.560976;0.285366;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.004878;0.046341;0.002439;0.002439;0.007317;0.002439;0.021951;0.002439;0.002439;0.002439;0.002439;0.002439
ua;0.002941;0.002941;0.055882;0.002941;0.005882;0.005882;0.002941;0.005882;0.002941;0.002941;0.005882;0.002941;0.002941;0.002941;0.194118;0.017647;0.002941;0.017647;0.632353;0.002941;0.011765;0.002941;0.002941;0.002941;0.002941;0.002941
ug;0.002959;0.002959;0.002959;0.713018;0.005917;0.011834;0.050296;0.002959;0.076923;0.002959;0.047337;0.002959;0.002959;0.002959;0.002959;0.005917;0.002959;0.002959;0.014793;0.002959;0.002959;0.002959;0.023669;0.002959;0.002959;0.002959
uc;0.003484;0.003484;0.108014;0.515679;0.003484;0.003484;0.003484;0.003484;0.045296;0.038328;0.003484;0.027875;0.003484;0.003484;0.003484;0.003484;0.003484;0.003484;0.048780;0.003484;0.003484;0.003484;0.027875;0.125436;0.003484;0.003484
uo;0.015625;0.015625;0.531250;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.031250;0.031250;0.015625;0.015625;0.015625
uf;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.050847;0.016949;0.016949;0.016949;0.542373;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
ur;0.000770;0.005389;0.063125;0.000770;0.075443;0.073903;0.294072;0.003849;0.214781;0.026944;0.011547;0.020015;0.004619;0.001540;0.031563;0.070824;0.029253;0.017706;0.002309;0.000770;0.006928;0.008468;0.000770;0.003849;0.030023;0.000770
un;0.000962;0.004808;0.168269;0.001923;0.115385;0.032692;0.073077;0.002885;0.030769;0.009615;0.017308;0.083654;0.002885;0.007692;0.001923;0.057692;0.011538;0.000962;0.020192;0.002885;0.325000;0.000962;0.002885;0.018269;0.002885;0.002885
up;0.002141;0.017131;0.019272;0.010707;0.004283;0.036403;0.520343;0.002141;0.021413;0.004283;0.002141;0.004283;0.004283;0.002141;0.027837;0.002141;0.203426;0.002141;0.094218;0.002141;0.006424;0.002141;0.002141;0.002141;0.002141;0.002141
ub;0.002257;0.004515;0.015801;0.002257;0.004515;0.029345;0.013544;0.002257;0.009029;0.006772;0.002257;0.002257;0.002257;0.002257;0.002257;0.002257;0.015801;0.009029;0.814898;0.002257;0.002257;0.002257;0.036117;0.002257;0.002257;0.009029
ul;0.001182;0.007092;0.092199;0.001182;0.033097;0.002364;0.068558;0.001182;0.022459;0.101655;0.002364;0.002364;0.011820;0.004728;0.001182;0.001182;0.001182;0.001182;0.081560;0.001182;0.535461;0.016548;0.002364;0.003546;0.001182;0.001182
uw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ud;0.006579;0.013158;0.006579;0.006579;0.276316;0.006579;0.059211;0.006579;0.217105;0.006579;0.065789;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.046053;0.006579;0.078947;0.118421;0.013158;0.006579;0.006579;0.006579
uy;0.011494;0.011494;0.011494;0.011494;0.091954;0.275862;0.344828;0.011494;0.034483;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494;0.011494
uu;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.107143;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
uk;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.194444;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778
uv;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.479167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
u#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.176471;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.088235
k(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
k);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
kt;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
kh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037
ki;0.001835;0.001835;0.003670;0.001835;0.001835;0.009174;0.003670;0.012844;0.016514;0.001835;0.001835;0.011009;0.001835;0.001835;0.014679;0.860550;0.003670;0.001835;0.022018;0.001835;0.014679;0.001835;0.001835;0.001835;0.001835;0.001835
ks;0.005556;0.033333;0.005556;0.005556;0.005556;0.005556;0.816667;0.005556;0.011111;0.005556;0.011111;0.005556;0.011111;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556;0.005556
k ;0.000782;0.000782;0.194836;0.032081;0.106416;0.028951;0.000782;0.017997;0.004695;0.227700;0.007042;0.021127;0.086072;0.041471;0.017214;0.007042;0.024257;0.030516;0.008607;0.069640;0.010172;0.033646;0.014085;0.001565;0.003912;0.008607
km;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ke;0.000840;0.009244;0.048739;0.000840;0.005882;0.044538;0.548739;0.000840;0.049580;0.001681;0.000840;0.000840;0.000840;0.000840;0.043697;0.054622;0.009244;0.000840;0.030252;0.003361;0.115126;0.019328;0.001681;0.000840;0.005882;0.000840
ka;0.007353;0.007353;0.044118;0.029412;0.014706;0.007353;0.139706;0.007353;0.007353;0.007353;0.044118;0.007353;0.007353;0.007353;0.022059;0.036765;0.007353;0.036765;0.007353;0.014706;0.007353;0.485294;0.007353;0.007353;0.007353;0.022059
kg;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.264706;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
kc;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ko;0.017544;0.017544;0.105263;0.017544;0.017544;0.017544;0.035088;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.333333;0.017544;0.017544;0.035088;0.052632;0.035088;0.017544;0.017544;0.035088;0.017544;0.035088;0.017544
kf;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
kr;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
kn;0.002506;0.002506;0.002506;0.002506;0.010025;0.002506;0.002506;0.002506;0.057644;0.002506;0.002506;0.002506;0.874687;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506;0.002506
kp;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
kb;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
kl;0.017544;0.017544;0.017544;0.017544;0.087719;0.017544;0.017544;0.017544;0.122807;0.087719;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.315789;0.017544;0.017544;0.017544;0.017544
kw;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.166667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
