smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
tk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
tv;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.218750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
t#;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
h(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
h);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
ht;0.001818;0.038182;0.001818;0.001818;0.010909;0.058182;0.763636;0.003636;0.060000;0.001818;0.001818;0.001818;0.001818;0.003636;0.001818;0.001818;0.001818;0.001818;0.009091;0.001818;0.001818;0.020000;0.003636;0.001818;0.001818;0.001818
hh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hi;0.000302;0.000603;0.052171;0.000302;0.000302;0.443305;0.003317;0.052171;0.003016;0.000905;0.017189;0.053679;0.008745;0.003920;0.018396;0.286188;0.019300;0.000905;0.031062;0.000302;0.001508;0.000302;0.000302;0.000603;0.000302;0.000905
hs;0.015152;0.060606;0.045455;0.015152;0.015152;0.015152;0.545455;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
h ;0.000585;0.000585;0.180328;0.045082;0.104215;0.060890;0.000585;0.050937;0.011710;0.128220;0.014052;0.040398;0.077283;0.031616;0.022248;0.018735;0.032201;0.027518;0.012295;0.057963;0.025176;0.024590;0.008782;0.014637;0.004098;0.005269
