,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
631,MCARTHUR,45-64,R
632,MCARTHUR,45-64,None
633,MCARTHUR,45-64,None
634,MCARTHUR,45-64,R
635,MCARTHUR,45-64,None
636,MCARTHUR,45-64,D
637,MCARTHUR,45-64,R
638,MCARTHUR,45-64,None
639,MCARTHUR,45-64,None
640,MCARTHUR,45-64,None
641,MCARTHUR,45-64,None
642,MCARTHUR,45-64,R
643,MCARTHUR,45-64,None
644,MCARTHUR,45-64,None
645,MCARTHUR,45-64,None
646,MCARTHUR,45-64,None
647,MCARTHUR,45-64,None
648,MCARTHUR,45-64,None
649,MCARTHUR,45-64,None
650,MCARTHUR,45-64,None
651,MCARTHUR,45-64,None
652,MCARTHUR,45-64,None
653,MCARTHUR,45-64,None
654,MCARTHUR,45-64,None
655,MCARTHUR,45-64,None
656,MCARTHUR,45-64,None
657,MCARTHUR,45-64,None
658,MCARTHUR,45-64,None
659,MCARTHUR,45-64,None
660,MCARTHUR,45-64,None
661,MCARTHUR,45-64,None
662,MCARTHUR,45-64,None
663,MCARTHUR,45-64,None
664,MCARTHUR,45-64,None
665,MCARTHUR,45-64,None
666,MCARTHUR,45-64,None
667,MCARTHUR,45-64,None
668,MCARTHUR,45-64,None
669,MCARTHUR,45-64,None
670,MCARTHUR,45-64,None
671,MCARTHUR,45-64,None
672,MCARTHUR,45-64,R
673,MCARTHUR,45-64,R
674,MCARTHUR,45-64,D
675,MCARTHUR,45-64,R
676,MCARTHUR,45-64,R
677,MCARTHUR,45-64,R
678,MCARTHUR,45-64,R
679,MCARTHUR,45-64,R
680,MCARTHUR,45-64,R
681,MCARTHUR,45-64,R
682,MCARTHUR,45-64,R
683,MCARTHUR,45-64,R
684,MCARTHUR,45-64,R
685,MCARTHUR,45-64,R
686,MCARTHUR,45-64,None
687,MCARTHUR,45-64,R
688,MCARTHUR,45-64,R
689,MCARTHUR,45-64,D
690,MCARTHUR,45-64,None
691,MCARTHUR,45-64,None
692,MCARTHUR,45-64,D
693,MCARTHUR,45-64,None
694,MCARTHUR,45-64,None
695,MCARTHUR,45-64,D
696,MCARTHUR,45-64,D
697,MCARTHUR,45-64,None
698,MCARTHUR,45-64,R
699,MCARTHUR,45-64,R
700,MCARTHUR,45-64,D
701,MCARTHUR,45-64,R
702,MCARTHUR,45-64,R
703,MCARTHUR,45-64,R
704,MCARTHUR,45-64,R
705,MCARTHUR,45-64,R
706,MCARTHUR,45-64,None
707,MCARTHUR,45-64,R
708,MCARTHUR,45-64,None
709,MCARTHUR,45-64,None
710,MCARTHUR,45-64,None
711,MCARTHUR,45-64,R
712,MCARTHUR,45-64,None
713,MCARTHUR,45-64,R
714,MCARTHUR,45-64,None
715,MCARTHUR,45-64,None
716,MCARTHUR,45-64,None
717,MCARTHUR,45-64,None
718,MCARTHUR,45-64,None
719,MCARTHUR,45-64,None
720,MCARTHUR,45-64,None
721,MCARTHUR,45-64,None
722,MCARTHUR,45-64,D
723,MCARTHUR,45-64,R
724,MCARTHUR,45-64,R
725,MCARTHUR,45-64,None
726,MCARTHUR,45-64,D
727,MCARTHUR,45-64,None
728,MCARTHUR,45-64,None
729,MCARTHUR,45-64,None
730,MCARTHUR,45-64,R
731,MCARTHUR,45-64,None
732,MCARTHUR,45-64,R
733,MCARTHUR,45-64,None
734,MCARTHUR,45-64,None
735,MCARTHUR,45-64,None
736,MCARTHUR,45-64,None
737,MCARTHUR,45-64,None
738,MCARTHUR,45-64,None
739,MCARTHUR,45-64,None
740,MCARTHUR,45-64,None
741,MCARTHUR,45-64,None
742,MCARTHUR,45-64,None
743,MCARTHUR,45-64,None
744,MCARTHUR,45-64,None
745,MCARTHUR,45-64,None
746,MCARTHUR,45-64,None
747,MCARTHUR,45-64,None
748,MCARTHUR,45-64,None
749,MCARTHUR,45-64,None
750,MCARTHUR,45-64,None
751,MCARTHUR,45-64,None
752,MCARTHUR,45-64,None
753,MCARTHUR,45-64,R
754,MCARTHUR,45-64,None
755,MCARTHUR,45-64,R
756,MCARTHUR,45-64,R
757,MCARTHUR,45-64,D
758,MCARTHUR,45-64,R
759,MCARTHUR,45-64,R
760,MCARTHUR,45-64,R
761,MCARTHUR,45-64,R
762,MCARTHUR,45-64,R
763,MCARTHUR,45-64,R
764,MCARTHUR,45-64,R
765,MCARTHUR,45-64,None
766,MCARTHUR,45-64,None
767,MCARTHUR,45-64,R
768,MCARTHUR,45-64,R
769,MCARTHUR,45-64,R
770,MCARTHUR,45-64,R
771,MCARTHUR,45-64,D
772,MCARTHUR,45-64,R
773,MCARTHUR,45-64,R
774,MCARTHUR,45-64,None
775,MCARTHUR,45-64,None
776,MCARTHUR,45-64,R
777,MCARTHUR,45-64,R
778,MCARTHUR,45-64,None
779,MCARTHUR,45-64,R
780,MCARTHUR,45-64,R
781,MCARTHUR,45-64,None
782,MCARTHUR,45-64,D
783,MCARTHUR,45-64,D
784,MCARTHUR,45-64,None
785,MCARTHUR,45-64,R
786,MCARTHUR,45-64,D
787,MCARTHUR,45-64,None
788,MCARTHUR,45-64,R
789,MCARTHUR,45-64,None
790,MCARTHUR,45-64,None
791,MCARTHUR,45-64,None
792,MCARTHUR,45-64,None
793,MCARTHUR,45-64,R
794,MCARTHUR,45-64,None
795,MCARTHUR,45-64,R
796,MCARTHUR,45-64,None
797,MCARTHUR,45-64,R
798,MCARTHUR,45-64,None
799,MCARTHUR,45-64,R
800,MCARTHUR,45-64,None
801,MCARTHUR,45-64,None
802,MCARTHUR,45-64,None
803,MCARTHUR,45-64,None
804,MCARTHUR,45-64,None
805,MCARTHUR,45-64,None
806,MCARTHUR,45-64,None
807,MCARTHUR,45-64,None
808,MCARTHUR,45-64,R
809,MCARTHUR,45-64,None
810,MCARTHUR,45-64,None
811,MCARTHUR,45-64,None
812,MCARTHUR,45-64,None
813,MCARTHUR,45-64,None
814,MCARTHUR,45-64,None
815,MCARTHUR,45-64,R
816,MCARTHUR,45-64,R
817,MCARTHUR,45-64,None
818,MCARTHUR,45-64,None
819,MCARTHUR,45-64,None
820,MCARTHUR,45-64,None
821,MCARTHUR,45-64,None
822,MCARTHUR,45-64,None
823,MCARTHUR,45-64,R
824,MCARTHUR,45-64,None
825,MCARTHUR,45-64,None
826,MCARTHUR,45-64,R
827,MCARTHUR,45-64,None
828,MCARTHUR,45-64,None
829,MCARTHUR,45-64,None
830,MCARTHUR,45-64,None
831,MCARTHUR,45-64,None
832,MCARTHUR,45-64,None
833,MCARTHUR,45-64,R
834,MCARTHUR,45-64,R
835,MCARTHUR,45-64,D
836,MCARTHUR,45-64,None
837,MCARTHUR,45-64,D
838,MCARTHUR,45-64,R
839,MCARTHUR,45-64,R
840,MCARTHUR,45-64,R
841,MCARTHUR,45-64,R
842,MCARTHUR,45-64,D
843,MCARTHUR,45-64,None
844,MCARTHUR,45-64,R
845,MCARTHUR,45-64,D
846,MCARTHUR,45-64,R
847,MCARTHUR,45-64,R
848,MCARTHUR,45-64,None
849,MCARTHUR,45-64,None
850,MCARTHUR,45-64,None
851,MCARTHUR,45-64,R
852,MCARTHUR,45-64,R
853,MCARTHUR,45-64,R
854,MCARTHUR,45-64,None
855,MCARTHUR,45-64,None
856,MCARTHUR,45-64,R
857,MCARTHUR,45-64,R
858,MCARTHUR,45-64,R
859,MCARTHUR,45-64,R
860,MCARTHUR,45-64,R
861,MCARTHUR,45-64,R
862,MCARTHUR,45-64,None
