,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
669,ATHENS,0-24,None
670,ATHENS,0-24,None
671,ATHENS,0-24,None
672,ATHENS,0-24,None
673,ATHENS,0-24,None
674,ATHENS,0-24,None
675,ATHENS,0-24,None
676,ATHENS,0-24,None
677,ATHENS,0-24,None
678,ATHENS,0-24,None
679,ATHENS,0-24,None
680,ATHENS,0-24,None
681,ATHENS,0-24,None
682,ATHENS,0-24,D
683,ATHENS,0-24,None
684,ATHENS,0-24,None
685,ATHENS,0-24,None
686,ATHENS,0-24,None
687,ATHENS,0-24,None
688,ATHENS,0-24,None
689,ATHENS,0-24,None
690,ATHENS,0-24,None
691,ATHENS,0-24,D
692,ATHENS,0-24,None
693,ATHENS,0-24,None
694,ATHENS,0-24,D
695,ATHENS,0-24,None
696,ATHENS,0-24,None
697,ATHENS,0-24,None
698,ATHENS,0-24,None
699,ATHENS,0-24,None
700,ATHENS,0-24,None
701,ATHENS,0-24,R
702,ATHENS,0-24,R
703,ATHENS,0-24,None
704,ATHENS,0-24,None
705,ATHENS,0-24,None
706,ATHENS,0-24,None
707,ATHENS,0-24,None
708,ATHENS,0-24,None
709,ATHENS,0-24,None
710,ATHENS,0-24,None
711,ATHENS,0-24,None
712,ATHENS,0-24,None
713,ATHENS,0-24,R
714,ATHENS,0-24,None
715,ATHENS,0-24,None
716,ATHENS,0-24,D
717,ATHENS,0-24,None
718,ATHENS,0-24,None
719,ATHENS,0-24,None
720,ATHENS,0-24,None
721,ATHENS,0-24,None
722,ATHENS,0-24,None
723,ATHENS,0-24,None
724,ATHENS,0-24,None
725,ATHENS,0-24,None
726,ATHENS,0-24,None
727,ATHENS,0-24,None
728,ATHENS,0-24,None
729,ATHENS,0-24,None
730,ATHENS,0-24,None
731,ATHENS,0-24,None
732,ATHENS,0-24,None
733,ATHENS,0-24,None
734,ATHENS,0-24,None
735,ATHENS,0-24,None
736,ATHENS,0-24,D
737,ATHENS,0-24,None
738,ATHENS,0-24,None
739,ATHENS,0-24,None
740,ATHENS,0-24,None
741,ATHENS,0-24,None
742,ATHENS,0-24,None
743,ATHENS,0-24,None
744,ATHENS,0-24,None
745,ATHENS,0-24,None
746,ATHENS,0-24,None
747,ATHENS,0-24,None
748,ATHENS,0-24,None
749,ATHENS,0-24,None
750,ATHENS,0-24,None
751,ATHENS,0-24,D
752,ATHENS,0-24,None
753,ATHENS,0-24,None
754,ATHENS,0-24,None
755,ATHENS,0-24,None
756,ATHENS,0-24,None
757,ATHENS,0-24,None
758,ATHENS,0-24,None
759,ATHENS,0-24,None
760,ATHENS,0-24,None
761,ATHENS,0-24,None
762,ATHENS,0-24,None
763,ATHENS,0-24,None
764,ATHENS,0-24,None
765,ATHENS,0-24,None
766,ATHENS,0-24,None
767,ATHENS,0-24,None
768,ATHENS,0-24,None
769,ATHENS,0-24,D
770,ATHENS,0-24,None
771,ATHENS,0-24,None
772,ATHENS,0-24,None
773,ATHENS,0-24,None
774,ATHENS,0-24,None
775,ATHENS,0-24,D
776,ATHENS,0-24,None
777,ATHENS,0-24,None
778,ATHENS,0-24,None
779,ATHENS,0-24,None
780,ATHENS,0-24,None
781,ATHENS,0-24,None
782,ATHENS,0-24,None
783,ATHENS,0-24,None
784,ATHENS,0-24,None
785,ATHENS,0-24,None
786,ATHENS,0-24,D
787,ATHENS,0-24,None
788,ATHENS,0-24,None
789,ATHENS,0-24,None
790,ATHENS,0-24,R
791,ATHENS,0-24,None
792,ATHENS,0-24,None
793,ATHENS,0-24,None
794,ATHENS,0-24,D
795,ATHENS,0-24,None
796,ATHENS,0-24,None
797,ATHENS,0-24,None
798,ATHENS,0-24,D
799,ATHENS,0-24,None
800,ATHENS,0-24,None
801,ATHENS,0-24,None
802,ATHENS,0-24,None
803,ATHENS,0-24,None
804,ATHENS,0-24,D
805,ATHENS,0-24,D
806,ATHENS,0-24,None
807,ATHENS,0-24,None
808,ATHENS,0-24,None
809,ATHENS,0-24,None
810,ATHENS,0-24,None
811,ATHENS,0-24,D
812,ATHENS,0-24,None
813,ATHENS,0-24,None
814,ATHENS,0-24,None
815,ATHENS,0-24,None
816,ATHENS,0-24,None
817,ATHENS,0-24,None
818,ATHENS,0-24,None
819,ATHENS,0-24,None
820,ATHENS,0-24,None
821,ATHENS,0-24,None
822,ATHENS,0-24,None
823,ATHENS,0-24,R
824,ATHENS,0-24,None
825,ATHENS,0-24,None
826,ATHENS,0-24,None
827,ATHENS,0-24,None
828,ATHENS,0-24,None
829,ATHENS,0-24,None
830,ATHENS,0-24,None
831,ATHENS,0-24,None
832,ATHENS,0-24,None
833,ATHENS,0-24,None
834,ATHENS,0-24,None
835,ATHENS,0-24,None
836,ATHENS,0-24,None
837,ATHENS,0-24,None
838,ATHENS,0-24,None
839,ATHENS,0-24,None
840,ATHENS,0-24,None
841,ATHENS,0-24,None
842,ATHENS,0-24,None
843,ATHENS,0-24,None
844,ATHENS,0-24,None
845,ATHENS,0-24,None
846,ATHENS,0-24,None
847,ATHENS,0-24,None
848,ATHENS,0-24,None
849,ATHENS,0-24,None
850,ATHENS,0-24,None
851,ATHENS,0-24,None
852,ATHENS,0-24,None
853,ATHENS,0-24,None
854,ATHENS,0-24,None
855,ATHENS,0-24,None
856,ATHENS,0-24,None
857,ATHENS,0-24,None
858,ATHENS,0-24,None
859,ATHENS,0-24,None
860,ATHENS,0-24,None
861,ATHENS,0-24,D
862,ATHENS,0-24,R
863,ATHENS,0-24,None
864,ATHENS,0-24,None
865,ATHENS,0-24,None
866,ATHENS,0-24,None
867,ATHENS,0-24,None
868,ATHENS,0-24,None
869,ATHENS,0-24,None
870,ATHENS,0-24,None
871,ATHENS,0-24,None
872,ATHENS,0-24,None
873,ATHENS,0-24,None
874,ATHENS,0-24,None
875,ATHENS,0-24,None
876,ATHENS,0-24,D
877,ATHENS,0-24,None
878,ATHENS,0-24,None
879,ATHENS,0-24,None
880,ATHENS,0-24,None
881,ATHENS,0-24,None
882,ATHENS,0-24,R
883,ATHENS,0-24,None
884,ATHENS,0-24,D
885,ATHENS,0-24,D
886,ATHENS,0-24,None
887,ATHENS,0-24,None
888,ATHENS,0-24,None
889,ATHENS,0-24,None
890,ATHENS,0-24,None
891,ATHENS,0-24,None
892,ATHENS,0-24,None
893,ATHENS,0-24,None
894,ATHENS,0-24,None
895,ATHENS,0-24,None
896,ATHENS,0-24,None
897,ATHENS,0-24,None
898,ATHENS,0-24,None
899,ATHENS,0-24,None
900,ATHENS,0-24,None
901,ATHENS,0-24,None
902,ATHENS,0-24,None
903,ATHENS,0-24,None
904,ATHENS,0-24,None
905,ATHENS,0-24,None
906,ATHENS,0-24,None
907,ATHENS,0-24,None
908,ATHENS,0-24,None
909,ATHENS,0-24,None
910,ATHENS,0-24,None
911,ATHENS,0-24,None
912,ATHENS,0-24,None
913,ATHENS,0-24,None
