,STREET,AGE_RANGE,PARTY_AFFILIATION
378,"BEECHGROVE RD, LONDONDERRY",24-44,None
379,"KELLY RD, RAY",24-44,None
380,"BEECHGROVE RD, LONDONDERRY",24-44,None
381,"OLD RT 50, LONDONDERRY",24-44,None
382,"US HIGHWAY 50, MCARTHUR",65+,D
383,"BUNKER HILL RD, MCARTHUR",24-44,None
384,"MURPHY REMY RD, MCARTHUR",45-64,R
385,"US HIGHWAY 50, MCARTHUR",24-44,None
386,"ENGLE DR, MCARTHUR",45-64,None
387,"E NORTH ST, MCARTHUR",0-24,None
388,"US HIGHWAY 50, MCARTHUR",65+,D
389,"UNION RIDGE RD, ALBANY",45-64,None
390,"N MARKET ST, MCARTHUR",65+,None
391,"MURPHY REMY RD, MCARTHUR",45-64,R
392,"N MAIN ST, HAMDEN",24-44,None
393,"US HIGHWAY 50, MCARTHUR",45-64,D
394,"CURRY RD, MCARTHUR",24-44,R
395,"VETERANS MEMORIAL DR, MCARTHUR",45-64,None
396,"PONETOWN RD, RAY",24-44,None
397,"LOCKER PLANT RD, MCARTHUR",45-64,None
398,"GOOSECREEK RD, MCARTHUR",0-24,None
399,"GRAVES RD, LONDONDERRY",24-44,R
400,"GRAVES RD, LONDONDERRY",24-44,R
401,"ST RT 683, MCARTHUR",24-44,None
402,"ZION RD, HAMDEN",0-24,None
403,"VINTON AVE, MCARTHUR",65+,R
404,"WILKESVILLE ST, HAMDEN",0-24,None
405,"MOUNT OLIVE RD, MCARTHUR",45-64,None
406,"ST RT 328, NEW PLYMOUTH",45-64,None
407,"NORTH FAIRVIEW RD, LOGAN",45-64,None
408,"OLD RT 50, LONDONDERRY",24-44,None
409,"W SOUTH ST, MCARTHUR",0-24,None
410,"ST RT 278, MCARTHUR",24-44,None
411,"LOCUST GROVE RD, CREOLA",45-64,R
412,"PRETTY RUN RD, MCARTHUR",24-44,R
413,"N MARKET ST, MCARTHUR",45-64,R
414,"LOCKER PLANT RD, MCARTHUR",24-44,R
415,"WILKESVILLE ST, HAMDEN",0-24,R
416,"N FIRST ST, ZALESKI",24-44,R
417,"LOCKER PLANT RD, MCARTHUR",24-44,R
418,"US HIGHWAY 50, MCARTHUR",24-44,None
419,"ST RT 278, MCARTHUR",24-44,None
420,"ST RT 93 N, MCARTHUR",24-44,None
421,"W HIGH ST, MCARTHUR",24-44,None
422,"PAINE ST, HAMDEN",45-64,None
423,"KELLY RD, RAY",24-44,None
424,"BROOKS MARTIN RD, MCARTHUR",24-44,None
425,"KELLY RD, RAY",24-44,None
426,"ST RT 683, MCARTHUR",45-64,None
427,"CLARK RD, RAY",65+,None
428,"ST RT 327, LAURELVILLE",65+,None
429,"LOCUST GROVE RD, MCARTHUR",65+,None
430,"CREOLA CEMETERY RD, CREOLA",65+,None
431,"GARRETT RIDGE RD, MCARTHUR",65+,None
432,"N FIRST ST, ZALESKI",24-44,None
433,"S MARKET ST, MCARTHUR",24-44,None
434,"ST RT 93 N, MCARTHUR",24-44,None
435,"S PEARL ST, MCARTHUR",24-44,None
436,"E MAIN ST, MCARTHUR",65+,None
437,"E MAIN ST, MCARTHUR",65+,None
438,"RANDERSON RD, MCARTHUR",24-44,None
439,"COOPER RD, RADCLIFF",45-64,None
440,"ST RT 671, LONDONDERRY",24-44,None
441,"OLD RT 50, LONDONDERRY",24-44,None
442,"UNION RIDGE RD, ALBANY",24-44,None
443,"ST RT 93, HAMDEN",24-44,None
444,"S MARKET ST, MCARTHUR",65+,None
445,"LOCUST GROVE RD, MCARTHUR",45-64,None
446,"LOCUST GROVE RD, MCARTHUR",45-64,None
447,"THOMPSON RD, RAY",45-64,None
448,"OLD RT 50, LONDONDERRY",65+,None
449,"BROOKS MARTIN RD, MCARTHUR",65+,None
450,"CLARK RD, RAY",45-64,None
451,"ST RT 93 N, MCARTHUR",24-44,None
452,"THOMPSON ST, MCARTHUR",24-44,None
453,"ST RT 683, MCARTHUR",24-44,None
454,"ST RT 56, NEW PLYMOUTH",24-44,None
455,"FAIRVIEW AVE, MCARTHUR",24-44,None
456,"DONAHUE RD, VINTON",45-64,None
457,"ST RT 327, LONDONDERRY",24-44,None
458,"ENGLE DR, MCARTHUR",24-44,None
459,"SCOTT AVE, HAMDEN",45-64,None
460,"ST RT 327, LONDONDERRY",24-44,None
461,"PIERCE LEMAR, HAMDEN",24-44,None
462,"MURPHY REMY RD, MCARTHUR",24-44,None
463,"ST RT 327, LONDONDERRY",24-44,None
464,"ST RT 327, LONDONDERRY",24-44,None
465,"LAKEVIEW RD, HAMDEN",24-44,D
466,"OLD RT 50, LONDONDERRY",45-64,None
467,"ST RT 56, NEW PLYMOUTH",24-44,R
468,"FRAZEE LN, MCARTHUR",65+,None
469,"MCARTHUR PARK DR, MCARTHUR",24-44,None
470,"OWINGS RD, MCARTHUR",45-64,None
471,"US HIGHWAY 50, MCARTHUR",24-44,None
472,"ST RT 327, LONDONDERRY",24-44,None
473,"FRAZEE LN, MCARTHUR",24-44,None
474,"OVERVIEW DR, MCARTHUR",24-44,None
475,"WOLF HILL RD, MCARTHUR",45-64,None
476,"SCOTT AVE, HAMDEN",45-64,None
477,"N PEARL ST, MCARTHUR",45-64,None
478,"ST RT 160, HAMDEN",24-44,None
479,"CURRY RD, MCARTHUR",24-44,None
480,"ST RT 683, MCARTHUR",24-44,None
481,"WOODGEARD RD, CREOLA",45-64,None
482,"W MILL ST, MCARTHUR",24-44,None
483,"CHILLICOTHE ST, HAMDEN",65+,None
484,"S MARKET ST, MCARTHUR",24-44,None
485,"ST RT 93, HAMDEN",24-44,None
486,"CURRY RD, MCARTHUR",65+,None
487,"E HIGH ST, MCARTHUR",24-44,None
488,"COOPER RD, RADCLIFF",24-44,None
489,"BOLAR RD, MCARTHUR",24-44,None
490,"ST RT 278, MCARTHUR",65+,None
491,"GENG RD, CREOLA",24-44,None
492,"KELLY RD, RAY",45-64,None
493,"S SPRING ST, MCARTHUR",24-44,None
494,"BECKNER DR, HAMDEN",45-64,None
495,"ST RT 327, LONDONDERRY",24-44,None
496,"N SUGAR ST, MCARTHUR",24-44,None
497,"POWDER PLANT RD, MCARTHUR",24-44,None
498,"MARTINDILL RD, MCARTHUR",45-64,None
499,"US HIGHWAY 50, MCARTHUR",65+,None
500,"E CENTRAL AVE, HAMDEN",45-64,R
501,"W SOUTH ST, MCARTHUR",45-64,None
502,"ZIMMERMAN RD, ALBANY",24-44,None
503,"WOLF HILL RD, MCARTHUR",24-44,None
504,"CARPENTER RD, MCARTHUR",24-44,None
505,"MCARTHUR PARK DR, MCARTHUR",45-64,None
506,"ST RT 56, NEW PLYMOUTH",24-44,None
507,"VINTON STATION RD, MCARTHUR",65+,None
508,"ASHMORE RD, MCARTHUR",45-64,None
509,"LOCUST GROVE RD, MCARTHUR",24-44,None
510,"KNOX RD, RADCLIFF",24-44,None
511,"US HIGHWAY 50, LONDONDERRY",65+,None
512,"ST RT 683, MCARTHUR",24-44,None
513,"MURPHY REMY RD, MCARTHUR",65+,None
514,"MEEKSVILLE RD, MCARTHUR",24-44,None
515,"ST RT 683, MCARTHUR",24-44,None
516,"OVERVIEW DR, MCARTHUR",24-44,None
517,"ST RT 683, MCARTHUR",24-44,None
518,"N WALNUT ST, MCARTHUR",24-44,R
519,"PRETTY RUN RD, SOUTH BLOOMINGVILLE",24-44,None
520,"ST RT 324, HAMDEN",45-64,None
521,"US HIGHWAY 50, MCARTHUR",24-44,None
